Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    64.500,      0.00,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    65.500,      0.00,      0.02,      0.02,      0.02,      0.02,      0.02,      0.02,      0.02,      0.02,      0.02,      0.02,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.03,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    66.500,      0.00,      0.08,      0.08,      0.08,      0.08,      0.08,      0.08,      0.08,      0.08,      0.09,      0.09,      0.09,      0.10,      0.10,      0.10,      0.10,      0.11,      0.11,      0.11,      0.11,      0.11,      0.11,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    67.500,      0.00,      0.16,      0.17,      0.17,      0.16,      0.16,      0.16,      0.16,      0.17,      0.17,      0.17,      0.18,      0.18,      0.19,      0.20,      0.20,      0.20,      0.20,      0.20,      0.20,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.21,      0.20,      0.20,      0.20,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    68.500,      0.00,      0.21,      0.22,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.26,      0.27,      0.28,      0.28,      0.29,      0.29,      0.29,      0.29,      0.29,      0.29,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.30,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    69.500,      0.00,      0.22,      0.23,      0.32,      0.32,      0.32,      0.33,      0.33,      0.34,      0.34,      0.35,      0.35,      0.35,      0.35,      0.36,      0.36,      0.36,      0.36,      0.36,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.37,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    70.500,      0.00,      0.26,      0.26,      0.34,      0.36,      0.37,      0.39,      0.39,      0.40,      0.40,      0.40,      0.40,      0.40,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.42,      0.42,      0.42,      0.42,      0.42,      0.42,      0.42,      0.42,      0.42,      0.42,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    71.500,      0.00,      0.28,      0.29,      0.40,      0.42,      0.43,      0.44,      0.44,      0.44,      0.45,      0.45,      0.45,      0.45,      0.45,      0.45,      0.45,      0.45,      0.45,      0.45,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.46,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    72.500,      0.00,      0.33,      0.34,      0.37,      0.41,      0.43,      0.46,      0.47,      0.48,      0.48,      0.48,      0.48,      0.48,      0.48,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.49,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    73.500,      0.00,      0.39,      0.39,      0.43,      0.45,      0.46,      0.47,      0.48,      0.50,      0.49,      0.50,      0.51,      0.51,      0.51,      0.52,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.51,      0.52,      0.52,      0.52,      0.52,      0.52,      0.00,
