Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    64.500,      0.00,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    65.500,      0.00,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.41,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    66.500,      0.00,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.74,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    67.500,      0.00,      1.04,      1.04,      1.04,      1.04,      1.04,      1.04,      1.04,      1.04,      1.04,      1.04,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      1.05,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    68.500,      0.00,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.33,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      1.34,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    69.500,      0.00,      1.59,      1.59,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      1.60,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    70.500,      0.00,      1.84,      1.84,      1.84,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      1.85,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    71.500,      0.00,      2.07,      2.07,      2.07,      2.07,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.08,      2.07,      2.07,      2.07,      2.07,      2.07,      2.07,      2.07,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    72.500,      0.00,      2.29,      2.29,      2.28,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.29,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      2.28,      0.00,
NH3PorewaterAnaerobic_KB_Layer2(mgN/L),    73.500,      0.00,      2.49,      2.49,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.48,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      2.47,      0.00,
