Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    64.500,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    65.500,      0.00,      0.07,      0.07,      0.08,      0.09,      0.09,      0.09,      0.09,      0.09,      0.09,      0.09,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.11,      0.11,      0.11,      0.11,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.10,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    66.500,      0.00,      0.16,      0.16,      0.17,      0.19,      0.21,      0.21,      0.21,      0.21,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    67.500,      0.00,      0.21,      0.21,      0.22,      0.23,      0.26,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    68.500,      0.00,      0.22,      0.22,      0.24,      0.29,      0.30,      0.31,      0.31,      0.31,      0.31,      0.30,      0.30,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.28,      0.28,      0.28,      0.28,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    69.500,      0.00,      0.22,      0.22,      0.26,      0.30,      0.31,      0.31,      0.31,      0.30,      0.29,      0.29,      0.29,      0.29,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.26,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    70.500,      0.00,      0.21,      0.21,      0.27,      0.27,      0.29,      0.30,      0.30,      0.30,      0.30,      0.29,      0.29,      0.29,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.26,      0.26,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    71.500,      0.00,      0.20,      0.20,      0.25,      0.29,      0.28,      0.29,      0.29,      0.29,      0.29,      0.28,      0.27,      0.27,      0.27,      0.26,      0.26,      0.26,      0.26,      0.25,      0.25,      0.25,      0.24,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    72.500,      0.00,      0.17,      0.17,      0.20,      0.25,      0.26,      0.27,      0.28,      0.28,      0.28,      0.28,      0.28,      0.28,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    73.500,      0.00,      0.15,      0.15,      0.25,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.27,      0.26,      0.25,      0.24,      0.23,      0.23,      0.23,      0.23,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    74.500,      0.00,      0.17,      0.16,      0.23,      0.27,      0.28,      0.28,      0.27,      0.28,      0.27,      0.26,      0.26,      0.25,      0.25,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.24,      0.24,      0.24,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    75.500,      0.00,      0.17,      0.16,      0.17,      0.20,      0.26,      0.27,      0.27,      0.26,      0.26,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    76.500,      0.00,      0.17,      0.17,      0.17,      0.17,      0.21,      0.24,      0.25,      0.26,      0.26,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.22,      0.22,      0.22,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    77.500,      0.00,      0.20,      0.18,      0.17,      0.17,      0.18,      0.22,      0.23,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.22,      0.22,      0.22,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    78.500,      0.00,      0.20,      0.19,      0.18,      0.22,      0.23,      0.24,      0.24,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    79.500,      0.00,      0.20,      0.20,      0.19,      0.20,      0.24,      0.24,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23,      0.23,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    80.500,      0.00,      0.20,      0.20,      0.20,      0.20,      0.23,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    81.500,      0.00,      0.21,      0.21,      0.22,      0.24,      0.24,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    82.500,      0.00,      0.21,      0.21,      0.24,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.23,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    83.500,      0.00,      0.21,      0.21,      0.21,      0.23,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.24,      0.24,      0.24,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    84.500,      0.00,      0.21,      0.21,      0.21,      0.22,      0.23,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    85.500,      0.00,      0.20,      0.20,      0.20,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    86.500,      0.00,      0.19,      0.19,      0.19,      0.20,      0.23,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    87.500,      0.00,      0.20,      0.19,      0.19,      0.20,      0.21,      0.22,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.22,      0.22,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    88.500,      0.00,      0.21,      0.20,      0.19,      0.20,      0.21,      0.21,      0.22,      0.23,      0.24,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    89.500,      0.00,      0.23,      0.22,      0.20,      0.20,      0.21,      0.22,      0.22,      0.24,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    90.500,      0.00,      0.23,      0.23,      0.21,      0.22,      0.23,      0.22,      0.22,      0.22,      0.23,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    91.500,      0.00,      0.22,      0.21,      0.23,      0.23,      0.22,      0.24,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    92.500,      0.00,      0.22,      0.21,      0.22,      0.22,      0.24,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.24,      0.25,      0.25,      0.25,      0.25,      0.24,      0.24,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
NO3PorewaterAerobic_KB_Layer1(mgN/L),    93.500,      0.00,      0.25,      0.24,      0.23,      0.23,      0.23,      0.24,      0.25,      0.26,      0.26,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.25,      0.26,      0.26,      0.25,      0.24,      0.24,      0.24,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.23,      0.00,
