Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    64.500,      0.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    65.500,      0.00,     10.11,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.12,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,     10.11,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    66.500,      0.00,     10.20,     10.20,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.20,     10.20,     10.20,     10.20,     10.20,     10.20,     10.20,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,     10.19,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    67.500,      0.00,     10.24,     10.24,     10.24,     10.25,     10.26,     10.26,     10.25,     10.25,     10.25,     10.24,     10.23,     10.23,     10.23,     10.22,     10.22,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,     10.21,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    68.500,      0.00,     10.28,     10.27,     10.24,     10.26,     10.27,     10.27,     10.27,     10.26,     10.25,     10.24,     10.23,     10.23,     10.22,     10.21,     10.20,     10.20,     10.19,     10.19,     10.19,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,     10.18,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    69.500,      0.00,     10.40,     10.37,     10.23,     10.25,     10.27,     10.26,     10.25,     10.25,     10.23,     10.22,     10.21,     10.20,     10.19,     10.17,     10.17,     10.16,     10.15,     10.15,     10.15,     10.14,     10.13,     10.13,     10.13,     10.13,     10.13,     10.13,     10.13,     10.13,     10.13,     10.13,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    70.500,      0.00,     10.54,     10.52,     10.26,     10.26,     10.26,     10.25,     10.23,     10.22,     10.20,     10.19,     10.18,     10.17,     10.15,     10.13,     10.13,     10.12,     10.11,     10.10,     10.10,     10.09,     10.08,     10.08,     10.08,     10.08,     10.08,     10.08,     10.08,     10.08,     10.07,     10.07,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    71.500,      0.00,     10.70,     10.68,     10.29,     10.27,     10.26,     10.23,     10.21,     10.19,     10.18,     10.16,     10.15,     10.14,     10.11,     10.10,     10.09,     10.08,     10.07,     10.06,     10.06,     10.05,     10.03,     10.03,     10.03,     10.03,     10.03,     10.02,     10.02,     10.02,     10.02,     10.02,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    72.500,      0.00,     10.82,     10.81,     10.38,     10.32,     10.28,     10.22,     10.19,     10.17,     10.16,     10.14,     10.12,     10.11,     10.08,     10.06,     10.06,     10.05,     10.04,     10.03,     10.02,     10.01,      9.99,      9.98,      9.98,      9.98,      9.98,      9.98,      9.97,      9.97,      9.97,      9.97,      0.00,
SO4PorewaterAnaerobic_KB_Layer2(mgS/L),    73.500,      0.00,     10.87,     10.89,     10.49,     10.38,     10.33,     10.25,     10.21,     10.17,     10.16,     10.13,     10.10,     10.09,     10.06,     10.04,     10.04,     10.02,     10.02,     10.01,      9.99,      9.97,      9.94,      9.94,      9.94,      9.94,      9.93,      9.93,      9.93,      9.92,      9.92,      9.92,      0.00,
