Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
Temperature_KB_Layer1(C),    64.500,      0.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,     10.00,      0.00,
Temperature_KB_Layer1(C),    65.500,      0.00,      9.82,      9.85,      9.89,      9.89,      9.89,      9.89,      9.89,      9.88,      9.88,      9.87,      9.85,      9.85,      9.85,      9.82,      9.83,      9.82,      9.81,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      9.80,      0.00,
Temperature_KB_Layer1(C),    66.500,      0.00,      9.21,      9.20,      9.34,      9.42,      9.43,      9.43,      9.41,      9.38,      9.33,      9.28,      9.23,      9.20,      9.17,      9.13,      9.10,      9.04,      9.01,      9.00,      8.99,      8.99,      8.99,      8.99,      8.99,      9.00,      9.00,      9.00,      9.01,      9.01,      9.01,      9.01,      0.00,
Temperature_KB_Layer1(C),    67.500,      0.00,      8.73,      8.61,      8.49,      8.64,      8.82,      8.81,      8.75,      8.69,      8.64,      8.55,      8.48,      8.44,      8.34,      8.26,      8.23,      8.15,      8.13,      8.10,      8.10,      8.07,      8.02,      8.01,      8.01,      8.02,      8.02,      8.02,      8.02,      8.03,      8.03,      8.03,      0.00,
Temperature_KB_Layer1(C),    68.500,      0.00,      9.57,      9.29,      8.08,      8.18,      8.34,      8.34,      8.26,      8.22,      8.15,      8.09,      8.00,      7.94,      7.84,      7.75,      7.75,      7.71,      7.66,      7.65,      7.60,      7.52,      7.45,      7.42,      7.43,      7.43,      7.43,      7.42,      7.42,      7.42,      7.42,      7.42,      0.00,
Temperature_KB_Layer1(C),    69.500,      0.00,     10.90,     10.69,      8.19,      8.18,      8.17,      8.07,      7.96,      7.88,      7.78,      7.74,      7.69,      7.65,      7.59,      7.52,      7.47,      7.41,      7.38,      7.35,      7.30,      7.25,      7.21,      7.20,      7.20,      7.19,      7.18,      7.18,      7.17,      7.16,      7.16,      7.16,      0.00,
Temperature_KB_Layer1(C),    70.500,      0.00,     11.14,     11.23,      9.19,      8.66,      8.35,      8.02,      7.89,      7.80,      7.75,      7.68,      7.64,      7.61,      7.48,      7.40,      7.38,      7.35,      7.32,      7.31,      7.30,      7.27,      7.16,      7.12,      7.13,      7.13,      7.12,      7.10,      7.09,      7.06,      7.06,      7.06,      0.00,
Temperature_KB_Layer1(C),    71.500,      0.00,     11.45,     11.49,      8.62,      8.45,      8.07,      7.88,      7.79,      7.74,      7.70,      7.63,      7.56,      7.51,      7.43,      7.36,      7.36,      7.34,      7.33,      7.29,      7.25,      7.21,      7.11,      7.08,      7.08,      7.06,      7.04,      7.03,      7.01,      7.01,      7.00,      7.00,      0.00,
Temperature_KB_Layer1(C),    72.500,      0.00,     10.73,     10.90,     10.52,      9.61,      9.19,      8.41,      8.13,      7.95,      7.92,      7.76,      7.69,      7.67,      7.60,      7.52,      7.52,      7.49,      7.51,      7.49,      7.44,      7.30,      7.08,      7.05,      7.05,      7.05,      7.03,      7.00,      6.97,      6.97,      6.97,      6.97,      0.00,
Temperature_KB_Layer1(C),    73.500,      0.00,      9.67,      9.99,     10.03,      9.39,      9.23,      8.86,      8.60,      8.30,      8.34,      8.09,      7.90,      7.85,      7.68,      7.62,      7.64,      7.62,      7.57,      7.41,      7.21,      7.11,      7.03,      7.02,      7.01,      6.99,      6.98,      6.96,      6.95,      6.94,      6.94,      6.94,      0.00,
