 JDAY,ELEVATION(m),DisslvedOxygen(mg/l)
   64.5000,  123.90,  -99.00,
   64.5000,  123.80,   11.10,
   64.5000,  120.35,   11.10,
   64.5000,  118.35,   11.10,
   64.5000,  116.35,   11.10,
   64.5000,  114.35,   11.10,
   64.5000,  112.35,   11.10,
   64.5000,  110.35,   11.00,
   64.5000,  108.35,   11.00,
   64.5000,  106.35,   10.40,
   64.5000,  104.35,    9.90,
   64.5000,  102.35,    9.70,
   64.5000,  100.35,    9.20,
   64.5000,   98.35,    9.00,
   64.5000,   96.35,    8.90,
   64.5000,   94.35,    8.90,
   64.5000,   92.35,    8.90,
   64.5000,   90.35,    8.90,
   64.5000,   88.35,    9.00,
   64.5000,   86.35,    9.10,
   64.5000,   84.35,    9.00,
   64.5000,   82.35,    9.30,
   64.5000,   80.35,    9.30,
   64.5000,   78.35,    9.30,
   64.5000,   76.35,    9.30,
   64.5000,   74.35,    9.30,
   64.5000,   72.35,    9.30,
   64.5000,   70.35,    9.30,
   64.5000,   68.35,    9.10,
   65.5000,  123.90,  -99.00,
   65.5000,  123.80,   11.13,
   65.5000,  120.35,   11.12,
   65.5000,  118.35,   11.11,
   65.5000,  116.35,   11.11,
   65.5000,  114.35,   11.10,
   65.5000,  112.35,   11.10,
   65.5000,  110.35,   11.10,
   65.5000,  108.35,   11.10,
   65.5000,  106.35,   11.10,
   65.5000,  104.35,   11.09,
   65.5000,  102.35,   11.06,
   65.5000,  100.35,   11.05,
   65.5000,   98.35,   11.07,
   65.5000,   96.35,   10.98,
   65.5000,   94.35,   10.51,
   65.5000,   92.35,    9.85,
   65.5000,   90.35,    9.29,
   65.5000,   88.35,    8.98,
   65.5000,   86.35,    8.85,
   65.5000,   84.35,    8.85,
   65.5000,   82.35,    8.99,
   65.5000,   80.35,    9.11,
   65.5000,   78.35,    9.15,
   65.5000,   76.35,    9.16,
   65.5000,   74.35,    9.16,
   65.5000,   72.35,    9.16,
   65.5000,   70.35,    9.16,
   65.5000,   68.35,    9.16,
   66.5000,  123.90,  -99.00,
   66.5000,  123.80,   11.10,
   66.5000,  120.35,   11.09,
   66.5000,  118.35,   11.08,
   66.5000,  116.35,   11.07,
   66.5000,  114.35,   11.06,
   66.5000,  112.35,   11.04,
   66.5000,  110.35,   11.04,
   66.5000,  108.35,   11.03,
   66.5000,  106.35,   11.03,
   66.5000,  104.35,   11.00,
   66.5000,  102.35,   10.91,
   66.5000,  100.35,   10.68,
   66.5000,   98.35,   10.19,
   66.5000,   96.35,    9.53,
   66.5000,   94.35,    8.98,
   66.5000,   92.35,    8.89,
   66.5000,   90.35,    8.92,
   66.5000,   88.35,    8.94,
   66.5000,   86.35,    8.97,
   66.5000,   84.35,    9.03,
   66.5000,   82.35,    9.06,
   66.5000,   80.35,    9.07,
   66.5000,   78.35,    9.07,
   66.5000,   76.35,    9.07,
   66.5000,   74.35,    9.07,
   66.5000,   72.35,    9.07,
   66.5000,   70.35,    9.07,
   66.5000,   68.35,    9.07,
   67.5000,  123.90,  -99.00,
   67.5000,  123.80,   10.98,
   67.5000,  120.35,   10.94,
   67.5000,  118.35,   10.92,
   67.5000,  116.35,   10.90,
   67.5000,  114.35,   10.88,
   67.5000,  112.35,   10.84,
   67.5000,  110.35,   10.78,
   67.5000,  108.35,   10.68,
   67.5000,  106.35,   10.55,
   67.5000,  104.35,   10.38,
   67.5000,  102.35,   10.17,
   67.5000,  100.35,    9.94,
   67.5000,   98.35,    9.69,
   67.5000,   96.35,    9.43,
   67.5000,   94.35,    9.21,
   67.5000,   92.35,    9.04,
   67.5000,   90.35,    8.93,
   67.5000,   88.35,    8.88,
   67.5000,   86.35,    8.88,
   67.5000,   84.35,    8.89,
   67.5000,   82.35,    8.93,
   67.5000,   80.35,    8.97,
   67.5000,   78.35,    8.98,
   67.5000,   76.35,    8.96,
   67.5000,   74.35,    8.96,
   67.5000,   72.35,    8.96,
   67.5000,   70.35,    8.96,
   67.5000,   68.35,    8.96,
   68.5000,  123.90,  -99.00,
   68.5000,  123.80,   10.98,
   68.5000,  120.35,   10.97,
   68.5000,  118.35,   10.96,
   68.5000,  116.35,   10.95,
   68.5000,  114.35,   10.94,
   68.5000,  112.35,   10.93,
   68.5000,  110.35,   10.90,
   68.5000,  108.35,   10.74,
   68.5000,  106.35,   10.32,
   68.5000,  104.35,    9.79,
   68.5000,  102.35,    9.37,
   68.5000,  100.35,    9.12,
   68.5000,   98.35,    8.97,
   68.5000,   96.35,    8.90,
   68.5000,   94.35,    8.86,
   68.5000,   92.35,    8.84,
   68.5000,   90.35,    8.83,
   68.5000,   88.35,    8.83,
   68.5000,   86.35,    8.84,
   68.5000,   84.35,    8.86,
   68.5000,   82.35,    8.89,
   68.5000,   80.35,    8.90,
   68.5000,   78.35,    8.86,
   68.5000,   76.35,    8.86,
   68.5000,   74.35,    8.86,
   68.5000,   72.35,    8.86,
   68.5000,   70.35,    8.86,
   68.5000,   68.35,    8.86,
   69.5000,  123.90,  -99.00,
   69.5000,  123.80,   10.94,
   69.5000,  120.35,   10.93,
   69.5000,  118.35,   10.93,
   69.5000,  116.35,   10.93,
   69.5000,  114.35,   10.93,
   69.5000,  112.35,   10.92,
   69.5000,  110.35,   10.90,
   69.5000,  108.35,   10.83,
   69.5000,  106.35,   10.64,
   69.5000,  104.35,   10.19,
   69.5000,  102.35,    9.51,
   69.5000,  100.35,    8.98,
   69.5000,   98.35,    8.84,
   69.5000,   96.35,    8.82,
   69.5000,   94.35,    8.78,
   69.5000,   92.35,    8.76,
   69.5000,   90.35,    8.76,
   69.5000,   88.35,    8.77,
   69.5000,   86.35,    8.78,
   69.5000,   84.35,    8.80,
   69.5000,   82.35,    8.81,
   69.5000,   80.35,    8.79,
   69.5000,   78.35,    8.74,
   69.5000,   76.35,    8.74,
   69.5000,   74.35,    8.74,
   69.5000,   72.35,    8.74,
   69.5000,   70.35,    8.74,
   69.5000,   68.35,    8.74,
   70.5000,  123.90,  -99.00,
   70.5000,  123.80,   10.87,
   70.5000,  120.35,   10.83,
   70.5000,  118.35,   10.74,
   70.5000,  116.35,   10.67,
   70.5000,  114.35,   10.56,
   70.5000,  112.35,   10.41,
   70.5000,  110.35,   10.21,
   70.5000,  108.35,    9.97,
   70.5000,  106.35,    9.73,
   70.5000,  104.35,    9.51,
   70.5000,  102.35,    9.34,
   70.5000,  100.35,    9.15,
   70.5000,   98.35,    8.97,
   70.5000,   96.35,    8.85,
   70.5000,   94.35,    8.77,
   70.5000,   92.35,    8.73,
   70.5000,   90.35,    8.70,
   70.5000,   88.35,    8.70,
   70.5000,   86.35,    8.70,
   70.5000,   84.35,    8.72,
   70.5000,   82.35,    8.74,
   70.5000,   80.35,    8.75,
   70.5000,   78.35,    8.63,
   70.5000,   76.35,    8.63,
   70.5000,   74.35,    8.63,
   70.5000,   72.35,    8.63,
   70.5000,   70.35,    8.63,
   70.5000,   68.35,    8.63,
   71.5000,  123.90,  -99.00,
   71.5000,  123.80,   10.83,
   71.5000,  120.35,   10.81,
   71.5000,  118.35,   10.78,
   71.5000,  116.35,   10.66,
   71.5000,  114.35,   10.48,
   71.5000,  112.35,   10.21,
   71.5000,  110.35,    9.90,
   71.5000,  108.35,    9.64,
   71.5000,  106.35,    9.45,
   71.5000,  104.35,    9.30,
   71.5000,  102.35,    9.17,
   71.5000,  100.35,    9.04,
   71.5000,   98.35,    8.91,
   71.5000,   96.35,    8.80,
   71.5000,   94.35,    8.72,
   71.5000,   92.35,    8.67,
   71.5000,   90.35,    8.63,
   71.5000,   88.35,    8.62,
   71.5000,   86.35,    8.63,
   71.5000,   84.35,    8.65,
   71.5000,   82.35,    8.66,
   71.5000,   80.35,    8.67,
   71.5000,   78.35,    8.55,
   71.5000,   76.35,    8.50,
   71.5000,   74.35,    8.50,
   71.5000,   72.35,    8.50,
   71.5000,   70.35,    8.50,
   71.5000,   68.35,    8.50,
   72.5000,  123.90,  -99.00,
   72.5000,  123.80,   10.42,
   72.5000,  120.35,   10.23,
   72.5000,  118.35,   10.01,
   72.5000,  116.35,    9.90,
   72.5000,  114.35,    9.79,
   72.5000,  112.35,    9.69,
   72.5000,  110.35,    9.58,
   72.5000,  108.35,    9.47,
   72.5000,  106.35,    9.37,
   72.5000,  104.35,    9.27,
   72.5000,  102.35,    9.17,
   72.5000,  100.35,    9.06,
   72.5000,   98.35,    8.94,
   72.5000,   96.35,    8.80,
   72.5000,   94.35,    8.69,
   72.5000,   92.35,    8.61,
   72.5000,   90.35,    8.57,
   72.5000,   88.35,    8.56,
   72.5000,   86.35,    8.56,
   72.5000,   84.35,    8.58,
   72.5000,   82.35,    8.58,
   72.5000,   80.35,    8.55,
   72.5000,   78.35,    8.38,
   72.5000,   76.35,    8.38,
   72.5000,   74.35,    8.38,
   72.5000,   72.35,    8.38,
   72.5000,   70.35,    8.38,
   72.5000,   68.35,    8.38,
   73.5000,  123.91,  -99.00,
   73.5000,  123.81,   10.34,
   73.5000,  120.35,   10.31,
   73.5000,  118.35,   10.29,
   73.5000,  116.35,   10.28,
   73.5000,  114.35,   10.25,
   73.5000,  112.35,   10.22,
   73.5000,  110.35,   10.18,
   73.5000,  108.35,   10.14,
   73.5000,  106.35,   10.08,
   73.5000,  104.35,   10.01,
   73.5000,  102.35,    9.93,
   73.5000,  100.35,    9.83,
   73.5000,   98.35,    9.71,
   73.5000,   96.35,    9.59,
   73.5000,   94.35,    9.47,
   73.5000,   92.35,    9.36,
   73.5000,   90.35,    9.21,
   73.5000,   88.35,    9.00,
   73.5000,   86.35,    8.77,
   73.5000,   84.35,    8.59,
   73.5000,   82.35,    8.51,
   73.5000,   80.35,    8.52,
   73.5000,   78.35,    8.48,
   73.5000,   76.35,    8.38,
   73.5000,   74.35,    8.30,
   73.5000,   72.35,    8.26,
   73.5000,   70.35,    8.24,
   73.5000,   68.35,    8.24,
   74.5000,  123.90,  -99.00,
   74.5000,  123.80,   10.62,
   74.5000,  120.35,   10.61,
   74.5000,  118.35,   10.61,
   74.5000,  116.35,   10.61,
   74.5000,  114.35,   10.60,
   74.5000,  112.35,   10.60,
   74.5000,  110.35,   10.60,
   74.5000,  108.35,   10.60,
   74.5000,  106.35,   10.60,
   74.5000,  104.35,   10.60,
   74.5000,  102.35,   10.60,
   74.5000,  100.35,   10.60,
   74.5000,   98.35,   10.58,
   74.5000,   96.35,   10.53,
   74.5000,   94.35,   10.46,
   74.5000,   92.35,   10.34,
   74.5000,   90.35,   10.17,
   74.5000,   88.35,    9.93,
   74.5000,   86.35,    9.62,
   74.5000,   84.35,    9.30,
   74.5000,   82.35,    9.01,
   74.5000,   80.35,    8.74,
   74.5000,   78.35,    8.49,
   74.5000,   76.35,    8.35,
   74.5000,   74.35,    8.35,
   74.5000,   72.35,    8.35,
   74.5000,   70.35,    8.35,
   74.5000,   68.35,    8.29,
   75.5000,  123.90,  -99.00,
   75.5000,  123.80,   10.56,
   75.5000,  120.35,   10.49,
   75.5000,  118.35,   10.35,
   75.5000,  116.35,   10.17,
   75.5000,  114.35,   10.07,
   75.5000,  112.35,    9.99,
   75.5000,  110.35,    9.90,
   75.5000,  108.35,    9.80,
   75.5000,  106.35,    9.70,
   75.5000,  104.35,    9.60,
   75.5000,  102.35,    9.51,
   75.5000,  100.35,    9.42,
   75.5000,   98.35,    9.33,
   75.5000,   96.35,    9.25,
   75.5000,   94.35,    9.20,
   75.5000,   92.35,    9.15,
   75.5000,   90.35,    9.10,
   75.5000,   88.35,    9.05,
   75.5000,   86.35,    8.99,
   75.5000,   84.35,    8.92,
   75.5000,   82.35,    8.82,
   75.5000,   80.35,    8.69,
   75.5000,   78.35,    8.53,
   75.5000,   76.35,    8.39,
   75.5000,   74.35,    8.26,
   75.5000,   72.35,    8.18,
   75.5000,   70.35,    8.17,
   75.5000,   68.35,    8.05,
   76.5000,  123.90,  -99.00,
   76.5000,  123.80,   10.05,
   76.5000,  120.35,    9.93,
   76.5000,  118.35,    9.73,
   76.5000,  116.35,    9.64,
   76.5000,  114.35,    9.55,
   76.5000,  112.35,    9.48,
   76.5000,  110.35,    9.41,
   76.5000,  108.35,    9.35,
   76.5000,  106.35,    9.28,
   76.5000,  104.35,    9.22,
   76.5000,  102.35,    9.16,
   76.5000,  100.35,    9.10,
   76.5000,   98.35,    9.03,
   76.5000,   96.35,    8.97,
   76.5000,   94.35,    8.93,
   76.5000,   92.35,    8.88,
   76.5000,   90.35,    8.80,
   76.5000,   88.35,    8.71,
   76.5000,   86.35,    8.61,
   76.5000,   84.35,    8.53,
   76.5000,   82.35,    8.46,
   76.5000,   80.35,    8.39,
   76.5000,   78.35,    8.34,
   76.5000,   76.35,    8.28,
   76.5000,   74.35,    8.22,
   76.5000,   72.35,    8.13,
   76.5000,   70.35,    8.02,
   76.5000,   68.35,    7.68,
   77.5000,  123.90,  -99.00,
   77.5000,  123.80,   10.01,
   77.5000,  120.35,    9.98,
   77.5000,  118.35,    9.94,
   77.5000,  116.35,    9.89,
   77.5000,  114.35,    9.84,
   77.5000,  112.35,    9.81,
   77.5000,  110.35,    9.78,
   77.5000,  108.35,    9.75,
   77.5000,  106.35,    9.73,
   77.5000,  104.35,    9.69,
   77.5000,  102.35,    9.66,
   77.5000,  100.35,    9.62,
   77.5000,   98.35,    9.57,
   77.5000,   96.35,    9.51,
   77.5000,   94.35,    9.44,
   77.5000,   92.35,    9.34,
   77.5000,   90.35,    9.19,
   77.5000,   88.35,    9.04,
   77.5000,   86.35,    8.91,
   77.5000,   84.35,    8.78,
   77.5000,   82.35,    8.64,
   77.5000,   80.35,    8.50,
   77.5000,   78.35,    8.39,
   77.5000,   76.35,    8.29,
   77.5000,   74.35,    8.22,
   77.5000,   72.35,    8.10,
   77.5000,   70.35,    7.94,
   77.5000,   68.35,    7.59,
   78.5000,  123.90,  -99.00,
   78.5000,  123.80,   10.26,
   78.5000,  120.35,   10.24,
   78.5000,  118.35,   10.23,
   78.5000,  116.35,   10.23,
   78.5000,  114.35,   10.23,
   78.5000,  112.35,   10.23,
   78.5000,  110.35,   10.23,
   78.5000,  108.35,   10.23,
   78.5000,  106.35,   10.22,
   78.5000,  104.35,   10.22,
   78.5000,  102.35,   10.22,
   78.5000,  100.35,   10.22,
   78.5000,   98.35,   10.20,
   78.5000,   96.35,   10.10,
   78.5000,   94.35,    9.94,
   78.5000,   92.35,    9.73,
   78.5000,   90.35,    9.49,
   78.5000,   88.35,    9.21,
   78.5000,   86.35,    8.94,
   78.5000,   84.35,    8.72,
   78.5000,   82.35,    8.54,
   78.5000,   80.35,    8.37,
   78.5000,   78.35,    8.20,
   78.5000,   76.35,    8.02,
   78.5000,   74.35,    7.90,
   78.5000,   72.35,    7.80,
   78.5000,   70.35,    7.80,
   78.5000,   68.35,    7.80,
   79.5000,  123.90,  -99.00,
   79.5000,  123.80,   10.28,
   79.5000,  120.35,   10.23,
   79.5000,  118.35,   10.20,
   79.5000,  116.35,   10.17,
   79.5000,  114.35,   10.04,
   79.5000,  112.35,    9.80,
   79.5000,  110.35,    9.49,
   79.5000,  108.35,    9.27,
   79.5000,  106.35,    9.16,
   79.5000,  104.35,    9.16,
   79.5000,  102.35,    9.06,
   79.5000,  100.35,    8.97,
   79.5000,   98.35,    8.86,
   79.5000,   96.35,    8.77,
   79.5000,   94.35,    8.69,
   79.5000,   92.35,    8.64,
   79.5000,   90.35,    8.60,
   79.5000,   88.35,    8.56,
   79.5000,   86.35,    8.53,
   79.5000,   84.35,    8.50,
   79.5000,   82.35,    8.43,
   79.5000,   80.35,    8.33,
   79.5000,   78.35,    8.20,
   79.5000,   76.35,    8.09,
   79.5000,   74.35,    7.91,
   79.5000,   72.35,    7.69,
   79.5000,   70.35,    7.63,
   79.5000,   68.35,    7.63,
   80.5000,  123.90,  -99.00,
   80.5000,  123.80,   10.25,
   80.5000,  120.35,   10.15,
   80.5000,  118.35,   10.02,
   80.5000,  116.35,    9.94,
   80.5000,  114.35,    9.85,
   80.5000,  112.35,    9.71,
   80.5000,  110.35,    9.48,
   80.5000,  108.35,    9.29,
   80.5000,  106.35,    9.16,
   80.5000,  104.35,    8.97,
   80.5000,  102.35,    8.76,
   80.5000,  100.35,    8.62,
   80.5000,   98.35,    8.52,
   80.5000,   96.35,    8.47,
   80.5000,   94.35,    8.41,
   80.5000,   92.35,    8.36,
   80.5000,   90.35,    8.33,
   80.5000,   88.35,    8.32,
   80.5000,   86.35,    8.28,
   80.5000,   84.35,    8.22,
   80.5000,   82.35,    8.15,
   80.5000,   80.35,    8.08,
   80.5000,   78.35,    8.00,
   80.5000,   76.35,    7.90,
   80.5000,   74.35,    7.73,
   80.5000,   72.35,    7.41,
   80.5000,   70.35,    7.41,
   80.5000,   68.35,    7.41,
   81.5000,  123.90,  -99.00,
   81.5000,  123.80,   10.26,
   81.5000,  120.35,   10.25,
   81.5000,  118.35,   10.25,
   81.5000,  116.35,   10.24,
   81.5000,  114.35,   10.24,
   81.5000,  112.35,   10.24,
   81.5000,  110.35,   10.24,
   81.5000,  108.35,   10.24,
   81.5000,  106.35,   10.24,
   81.5000,  104.35,   10.24,
   81.5000,  102.35,   10.24,
   81.5000,  100.35,   10.24,
   81.5000,   98.35,   10.24,
   81.5000,   96.35,   10.21,
   81.5000,   94.35,    9.73,
   81.5000,   92.35,    9.03,
   81.5000,   90.35,    8.58,
   81.5000,   88.35,    8.38,
   81.5000,   86.35,    8.28,
   81.5000,   84.35,    8.22,
   81.5000,   82.35,    8.13,
   81.5000,   80.35,    8.02,
   81.5000,   78.35,    7.88,
   81.5000,   76.35,    7.71,
   81.5000,   74.35,    7.58,
   81.5000,   72.35,    7.42,
   81.5000,   70.35,    7.42,
   81.5000,   68.35,    7.42,
   82.5000,  123.90,  -99.00,
   82.5000,  123.80,   10.26,
   82.5000,  120.35,   10.24,
   82.5000,  118.35,   10.20,
   82.5000,  116.35,   10.18,
   82.5000,  114.35,   10.17,
   82.5000,  112.35,   10.09,
   82.5000,  110.35,    9.91,
   82.5000,  108.35,    9.62,
   82.5000,  106.35,    9.23,
   82.5000,  104.35,    8.85,
   82.5000,  102.35,    8.57,
   82.5000,  100.35,    8.39,
   82.5000,   98.35,    8.37,
   82.5000,   96.35,    8.31,
   82.5000,   94.35,    8.27,
   82.5000,   92.35,    8.25,
   82.5000,   90.35,    8.23,
   82.5000,   88.35,    8.24,
   82.5000,   86.35,    8.17,
   82.5000,   84.35,    8.08,
   82.5000,   82.35,    8.00,
   82.5000,   80.35,    7.92,
   82.5000,   78.35,    7.82,
   82.5000,   76.35,    7.65,
   82.5000,   74.35,    7.48,
   82.5000,   72.35,    7.29,
   82.5000,   70.35,    7.29,
   82.5000,   68.35,    7.29,
   83.5000,  123.90,  -99.00,
   83.5000,  123.80,   10.13,
   83.5000,  120.35,   10.02,
   83.5000,  118.35,    9.86,
   83.5000,  116.35,    9.86,
   83.5000,  114.35,    9.74,
   83.5000,  112.35,    9.55,
   83.5000,  110.35,    9.24,
   83.5000,  108.35,    8.90,
   83.5000,  106.35,    8.64,
   83.5000,  104.35,    8.47,
   83.5000,  102.35,    8.34,
   83.5000,  100.35,    8.24,
   83.5000,   98.35,    8.18,
   83.5000,   96.35,    8.16,
   83.5000,   94.35,    8.15,
   83.5000,   92.35,    8.16,
   83.5000,   90.35,    8.16,
   83.5000,   88.35,    8.16,
   83.5000,   86.35,    8.16,
   83.5000,   84.35,    8.16,
   83.5000,   82.35,    8.16,
   83.5000,   80.35,    8.10,
   83.5000,   78.35,    7.98,
   83.5000,   76.35,    7.82,
   83.5000,   74.35,    7.64,
   83.5000,   72.35,    7.14,
   83.5000,   70.35,    7.14,
   83.5000,   68.35,    7.14,
   84.5000,  123.90,  -99.00,
   84.5000,  123.80,   10.06,
   84.5000,  120.35,   10.05,
   84.5000,  118.35,   10.05,
   84.5000,  116.35,   10.03,
   84.5000,  114.35,   10.03,
   84.5000,  112.35,   10.01,
   84.5000,  110.35,    9.98,
   84.5000,  108.35,    9.96,
   84.5000,  106.35,    9.92,
   84.5000,  104.35,    9.84,
   84.5000,  102.35,    9.73,
   84.5000,  100.35,    9.62,
   84.5000,   98.35,    9.53,
   84.5000,   96.35,    9.45,
   84.5000,   94.35,    9.34,
   84.5000,   92.35,    9.16,
   84.5000,   90.35,    8.92,
   84.5000,   88.35,    8.64,
   84.5000,   86.35,    8.38,
   84.5000,   84.35,    8.19,
   84.5000,   82.35,    8.10,
   84.5000,   80.35,    8.09,
   84.5000,   78.35,    8.08,
   84.5000,   76.35,    7.97,
   84.5000,   74.35,    7.85,
   84.5000,   72.35,    7.38,
   84.5000,   70.35,    6.90,
   84.5000,   68.35,    6.90,
   85.5000,  123.90,  -99.00,
   85.5000,  123.80,   10.12,
   85.5000,  120.35,   10.11,
   85.5000,  118.35,   10.10,
   85.5000,  116.35,   10.10,
   85.5000,  114.35,   10.10,
   85.5000,  112.35,   10.10,
   85.5000,  110.35,   10.10,
   85.5000,  108.35,   10.10,
   85.5000,  106.35,   10.10,
   85.5000,  104.35,   10.10,
   85.5000,  102.35,   10.10,
   85.5000,  100.35,   10.10,
   85.5000,   98.35,   10.08,
   85.5000,   96.35,   10.02,
   85.5000,   94.35,    9.57,
   85.5000,   92.35,    8.80,
   85.5000,   90.35,    8.31,
   85.5000,   88.35,    8.10,
   85.5000,   86.35,    8.02,
   85.5000,   84.35,    8.00,
   85.5000,   82.35,    7.96,
   85.5000,   80.35,    7.90,
   85.5000,   78.35,    7.78,
   85.5000,   76.35,    7.59,
   85.5000,   74.35,    7.21,
   85.5000,   72.35,    6.89,
   85.5000,   70.35,    6.89,
   85.5000,   68.35,    6.89,
   86.5000,  123.90,  -99.00,
   86.5000,  123.80,   10.05,
   86.5000,  120.35,    9.97,
   86.5000,  118.35,    9.79,
   86.5000,  116.35,    9.53,
   86.5000,  114.35,    9.30,
   86.5000,  112.35,    9.00,
   86.5000,  110.35,    8.73,
   86.5000,  108.35,    8.53,
   86.5000,  106.35,    8.38,
   86.5000,  104.35,    8.25,
   86.5000,  102.35,    8.14,
   86.5000,  100.35,    8.07,
   86.5000,   98.35,    8.03,
   86.5000,   96.35,    8.00,
   86.5000,   94.35,    7.97,
   86.5000,   92.35,    7.94,
   86.5000,   90.35,    7.94,
   86.5000,   88.35,    7.94,
   86.5000,   86.35,    7.94,
   86.5000,   84.35,    7.93,
   86.5000,   82.35,    7.91,
   86.5000,   80.35,    7.88,
   86.5000,   78.35,    7.83,
   86.5000,   76.35,    7.76,
   86.5000,   74.35,    7.42,
   86.5000,   72.35,    7.16,
   86.5000,   70.35,    7.03,
   86.5000,   68.35,    6.84,
   87.5000,  123.90,  -99.00,
   87.5000,  123.80,    9.77,
   87.5000,  120.35,    9.58,
   87.5000,  118.35,    9.36,
   87.5000,  116.35,    9.32,
   87.5000,  114.35,    9.32,
   87.5000,  112.35,    9.27,
   87.5000,  110.35,    9.20,
   87.5000,  108.35,    9.12,
   87.5000,  106.35,    9.03,
   87.5000,  104.35,    8.92,
   87.5000,  102.35,    8.79,
   87.5000,  100.35,    8.65,
   87.5000,   98.35,    8.47,
   87.5000,   96.35,    8.29,
   87.5000,   94.35,    8.13,
   87.5000,   92.35,    8.01,
   87.5000,   90.35,    7.92,
   87.5000,   88.35,    7.87,
   87.5000,   86.35,    7.87,
   87.5000,   84.35,    7.86,
   87.5000,   82.35,    7.83,
   87.5000,   80.35,    7.77,
   87.5000,   78.35,    7.69,
   87.5000,   76.35,    7.57,
   87.5000,   74.35,    7.29,
   87.5000,   72.35,    6.78,
   87.5000,   70.35,    6.78,
   87.5000,   68.35,    6.78,
   88.5000,  123.90,  -99.00,
   88.5000,  123.80,    9.67,
   88.5000,  120.35,    9.65,
   88.5000,  118.35,    9.62,
   88.5000,  116.35,    9.59,
   88.5000,  114.35,    9.53,
   88.5000,  112.35,    9.45,
   88.5000,  110.35,    9.39,
   88.5000,  108.35,    9.36,
   88.5000,  106.35,    9.32,
   88.5000,  104.35,    9.24,
   88.5000,  102.35,    9.10,
   88.5000,  100.35,    8.85,
   88.5000,   98.35,    8.53,
   88.5000,   96.35,    8.22,
   88.5000,   94.35,    7.98,
   88.5000,   92.35,    7.85,
   88.5000,   90.35,    7.79,
