Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 31,  1,       29500.00,   471905.42670,  3784580.09900, 15,    66.350
 30,  1,       28500.00,   470995.46759,  3784994.79699, 15,    66.350
 29,  1,       27500.00,   470085.50848,  3785409.49498, 15,    68.350
 28,  1,       26500.00,   469175.54938,  3785824.19297, 15,    72.350
 27,  1,       25500.00,   468265.59027,  3786238.89096, 15,    74.350
 26,  1,       24500.00,   467355.63116,  3786653.58896, 15,    76.350
 25,  1,       23500.00,   466445.67206,  3787068.28695, 15,    78.350
 24,  1,       22500.00,   465535.71295,  3787482.98494, 15,    80.350
 23,  1,       21500.00,   464625.75385,  3787897.68293, 15,    82.350
 22,  1,       20500.00,   463715.79474,  3788312.38092, 15,    86.350
 21,  1,       19500.00,   462805.83563,  3788727.07892, 15,    90.350
 20,  1,       18500.00,   461895.87653,  3789141.77691, 15,    92.350
 19,  1,       17500.00,   460985.91742,  3789556.47490, 15,    94.350
 18,  1,       16500.00,   460075.95831,  3789971.17289, 15,    96.350
 17,  1,       15500.00,   459165.99921,  3790385.87088, 15,    98.350
 16,  1,       14500.00,   458256.04010,  3790800.56888, 15,    98.350
 15,  1,       13500.00,   457346.08099,  3791215.26687, 15,    98.350
 14,  1,       12500.00,   456436.12189,  3791629.96486, 15,   100.350
 13,  1,       11500.00,   455526.16278,  3792044.66285, 15,   102.350
 12,  1,       10500.00,   454616.20367,  3792459.36085, 15,   102.350
 11,  1,        9500.00,   453706.24457,  3792874.05884, 15,   104.350
 10,  1,        8500.00,   452796.28546,  3793288.75683, 15,   106.350
  9,  1,        7500.00,   451886.32636,  3793703.45482, 15,   106.350
  8,  1,        6500.00,   450976.36725,  3794118.15281, 15,   108.350
  7,  1,        5500.00,   450066.40814,  3794532.85081, 15,   110.350
  6,  1,        4500.00,   449156.44904,  3794947.54880, 15,   112.350
  5,  1,        3500.00,   448246.48993,  3795362.24679, 15,   114.350
  4,  1,        2500.00,   447336.53082,  3795776.94478, 15,   116.350
  3,  1,        1500.00,   446426.57172,  3796191.64277, 15,   118.350
  2,  1,         500.00,   445516.61261,  3796606.34077, 15,   118.350
