JDAY,K,I,EX_TOXIN_1,EX_TOXIN_2,EX_TOXIN_3,EX_TOXIN_4,IN_TOXIN_1,IN_TOXIN_2,IN_TOXIN_3,IN_TOXIN_4,CTESS_TOXIN_1,CTESS_TOXIN_2,CTESS_TOXIN_3,CTESS_TOXIN_4,ALG_1,
    64.500,   8,  28,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1000E+00,
    64.500,  15,  28,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,
    64.604,   8,  28,  0.2626E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4620E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2742E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9152E-01,
    64.604,  15,  28,  0.1714E-05,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1020E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6086E-09,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2405E-02,
    64.701,   8,  28,  0.4740E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3703E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2168E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7359E-01,
    64.701,  15,  28,  0.1705E-04,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5594E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3328E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1219E-01,
    64.806,   8,  28,  0.6536E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2797E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1603E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5478E-01,
    64.806,  15,  28,  0.7072E-04,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1430E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8476E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2978E-01,
    64.903,   8,  28,  0.7791E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2197E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1229E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4341E-01,
    64.903,  15,  28,  0.1601E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2111E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1245E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4288E-01,
    65.000,   8,  28,  0.8864E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2035E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1119E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4077E-01,
    65.000,  15,  28,  0.2679E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2355E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1379E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4709E-01,
    65.104,   8,  28,  0.1013E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2381E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1312E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4840E-01,
    65.104,  15,  28,  0.3733E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2077E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1200E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4081E-01,
    65.201,   8,  28,  0.1161E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3059E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1701E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6227E-01,
    65.201,  15,  28,  0.4294E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1471E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8303E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2850E-01,
    65.306,   8,  28,  0.1376E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3690E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2054E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7456E-01,
    65.306,  15,  28,  0.4491E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8954E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4835E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1732E-01,
    65.403,   8,  28,  0.1564E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4327E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2415E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8729E-01,
    65.403,  15,  28,  0.4773E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6172E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3144E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1217E-01,
    65.500,   8,  28,  0.1768E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4544E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2526E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9071E-01,
    65.500,  15,  28,  0.5918E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6169E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3021E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1262E-01,
    65.604,   8,  28,  0.1975E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4044E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2206E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.7975E-01,
    65.604,  15,  28,  0.9238E-03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1135E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5754E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2382E-01,
    65.701,   8,  28,  0.2134E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3182E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1670E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6229E-01,
    65.701,  15,  28,  0.1309E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1900E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9886E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3898E-01,
    65.806,   8,  28,  0.2262E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2288E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1116E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.4491E-01,
    65.806,  15,  28,  0.1679E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2529E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1322E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5124E-01,
    65.903,   8,  28,  0.2362E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2008E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.9344E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3975E-01,
    65.903,  15,  28,  0.1998E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2896E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1505E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.5831E-01,
    66.000,   8,  28,  0.2437E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1844E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8269E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3685E-01,
    66.000,  15,  28,  0.2291E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3105E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1597E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6232E-01,
    66.104,   8,  28,  0.2516E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1969E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.8921E-08,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3980E-01,
    66.104,  15,  28,  0.2577E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.3122E-02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.1573E-07,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.6224E-01,
