$Concentration file for segment 31

JDAY,     TDS,    Gen1,    Gen3,    ISS1,      N2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,MICROCYS,
    64.500,   51.0000,  100.0000,   10.0000,    2.0000,   19.9988,    0.0100,    0.1400,    0.1400,    0.7000,    2.0220,    0.1000,    0.0572,   10.8382,   11.9100,   31.0000,    0.0000,
    64.604,   51.0000,  100.0000,    9.2045,    1.9926,   19.9958,    0.0100,    0.1402,    0.1401,    0.6957,    2.0221,    0.0997,    0.0594,   10.8796,   11.8981,   31.0000,    0.0001,
    64.701,   51.0000,  100.0000,    8.4722,    1.9857,   19.9928,    0.0101,    0.1404,    0.1402,    0.6914,    2.0222,    0.0995,    0.0581,   10.8511,   11.8869,   31.0000,    0.0003,
    64.806,   51.0000,  100.0000,    7.7529,    1.9794,   19.9896,    0.0102,    0.1407,    0.1404,    0.6868,    2.0223,    0.0992,    0.0560,   10.8090,   11.8755,   31.0000,    0.0004,
    64.903,   51.0000,  100.0000,    7.1370,    1.9736,   19.9886,    0.0103,    0.1409,    0.1405,    0.6826,    2.0224,    0.0990,    0.0550,   10.7839,   11.8734,   31.0000,    0.0005,
    65.000,   51.0000,  100.0000,    6.5689,    1.9648,   19.9866,    0.0104,    0.1411,    0.1406,    0.6783,    2.0225,    0.0987,    0.0553,   10.7958,   11.8672,   31.0000,    0.0007,
    65.104,   51.0000,  100.0000,    6.0098,    1.9496,   19.9823,    0.0105,    0.1413,    0.1408,    0.6738,    2.0226,    0.0982,    0.0542,   10.7940,   11.8498,   31.0000,    0.0008,
    65.201,   51.0000,  100.0000,    5.5193,    1.8925,   19.9618,    0.0104,    0.1415,    0.1409,    0.6690,    2.0227,    0.0968,    0.0627,   11.0232,   11.7595,   31.0000,    0.0012,
    65.306,   51.0000,  100.0000,    5.0452,    1.8398,   19.9437,    0.0104,    0.1418,    0.1411,    0.6641,    2.0228,    0.0954,    0.0675,   11.0700,   11.6780,   31.0000,    0.0014,
    65.403,   51.0000,  100.0000,    4.6405,    1.7991,   19.9298,    0.0105,    0.1419,    0.1412,    0.6597,    2.0229,    0.0943,    0.0744,   11.0969,   11.6138,   31.0000,    0.0016,
    65.500,   51.0000,  100.0000,    4.2693,    1.7727,   19.9203,    0.0106,    0.1421,    0.1413,    0.6554,    2.0230,    0.0936,    0.0786,   11.0996,   11.5696,   31.0000,    0.0018,
    65.604,   51.0000,  100.0000,    3.9031,    1.7713,   19.9198,    0.0109,    0.1423,    0.1414,    0.6509,    2.0231,    0.0935,    0.0788,   11.0923,   11.5694,   31.0000,    0.0019,
    65.701,   51.0000,  100.0000,    3.5891,    1.7450,   19.9101,    0.0112,    0.1425,    0.1415,    0.6465,    2.0232,    0.0928,    0.0836,   11.0957,   11.5253,   31.0000,    0.0022,
    65.806,   51.0000,  100.0000,    3.2796,    1.7214,   19.9016,    0.0114,    0.1427,    0.1416,    0.6418,    2.0233,    0.0921,    0.0846,   11.0954,   11.4865,   31.0000,    0.0024,
    65.903,   51.0000,  100.0000,    3.0134,    1.7002,   19.8947,    0.0117,    0.1428,    0.1418,    0.6373,    2.0234,    0.0915,    0.0802,   11.0941,   11.4564,   31.0000,    0.0026,
    66.000,   51.0000,  100.0000,    2.7682,    1.6696,   19.8849,    0.0120,    0.1430,    0.1419,    0.6326,    2.0235,    0.0906,    0.0745,   11.0956,   11.4135,   31.0000,    0.0027,
    66.104,   51.0000,  100.0000,    2.5284,    1.6720,   19.8870,    0.0123,    0.1432,    0.1421,    0.6281,    2.0236,    0.0906,    0.0740,   11.0832,   11.4264,   31.0000,    0.0029,
    66.201,   51.0000,  100.0000,    2.3248,    1.6841,   19.8924,    0.0126,    0.1435,    0.1422,    0.6241,    2.0237,    0.0909,    0.0736,   11.0576,   11.4536,   31.0000,    0.0030,
    66.306,   51.0000,  100.0000,    2.1269,    1.7020,   19.8998,    0.0130,    0.1437,    0.1424,    0.6201,    2.0238,    0.0913,    0.0703,   11.0079,   11.4894,   31.0000,    0.0031,
    66.403,   51.0000,  100.0000,    1.9560,    1.7075,   19.9021,    0.0132,    0.1439,    0.1426,    0.6161,    2.0239,    0.0914,    0.0686,   11.0051,   11.5023,   31.0000,    0.0033,
