$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,     TDS,    Gen1,    Gen3,    ISS1,      N2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,MICROCYS,
    64.500,   51.0000,  100.0000,   10.0000,    2.0000,   19.2202,    0.0100,    0.1400,    0.1400,    0.7000,    2.0220,    0.1000,    0.1000,   11.8434,   11.9100,   31.0000,    0.0000,
    64.604,   51.0000,  100.0000,    9.2005,    1.9909,   19.2148,    0.0100,    0.1402,    0.1401,    0.6956,    2.0221,    0.0997,    0.0993,   11.8441,   11.8957,   31.0000,    0.0003,
    64.701,   51.0000,  100.0000,    8.4637,    1.9755,   19.1870,    0.0100,    0.1404,    0.1402,    0.6912,    2.0222,    0.0993,    0.0920,   11.8384,   11.8703,   31.0000,    0.0005,
    64.806,   51.0000,  100.0000,    7.7390,    1.9610,   19.1624,    0.0101,    0.1406,    0.1404,    0.6865,    2.0223,    0.0989,    0.0799,   11.8366,   11.8434,   31.0000,    0.0007,
    64.903,   51.0000,  100.0000,    7.1185,    1.9491,   19.1459,    0.0101,    0.1409,    0.1405,    0.6821,    2.0224,    0.0986,    0.0698,   11.8351,   11.8294,   31.0000,    0.0009,
    65.000,   51.0000,  100.0000,    6.5468,    1.9228,   19.1195,    0.0102,    0.1411,    0.1406,    0.6777,    2.0225,    0.0979,    0.0621,   11.8271,   11.7989,   31.0000,    0.0010,
    65.104,   51.0000,  100.0000,    5.9840,    1.8654,   19.2210,    0.0101,    0.1413,    0.1408,    0.6728,    2.0226,    0.0963,    0.0577,   11.8099,   11.7274,   31.0000,    0.0011,
    65.201,   51.0000,  100.0000,    5.5068,    1.7712,   19.2441,    0.0100,    0.1415,    0.1409,    0.6683,    2.0227,    0.0937,    0.0613,   11.8027,   11.5630,   31.0000,    0.0012,
    65.306,   51.0000,  100.0000,    5.0410,    1.7644,   19.2758,    0.0101,    0.1417,    0.1411,    0.6637,    2.0228,    0.0934,    0.0720,   11.8170,   11.5544,   31.0000,    0.0014,
    65.403,   51.0000,  100.0000,    4.6412,    1.7495,   19.2814,    0.0103,    0.1419,    0.1412,    0.6595,    2.0229,    0.0930,    0.0815,   11.8155,   11.5278,   31.0000,    0.0016,
    65.500,   51.0000,  100.0000,    4.2720,    1.7288,   19.2448,    0.0105,    0.1421,    0.1412,    0.6553,    2.0230,    0.0924,    0.0898,   11.7897,   11.4884,   31.0000,    0.0018,
    65.604,   51.0000,  100.0000,    3.9058,    1.6899,   19.1586,    0.0108,    0.1422,    0.1413,    0.6506,    2.0231,    0.0914,    0.0951,   11.7274,   11.4153,   31.0000,    0.0020,
    65.701,   51.0000,  100.0000,    3.5886,    1.6541,   19.0872,    0.0112,    0.1423,    0.1414,    0.6459,    2.0232,    0.0904,    0.0848,   11.6741,   11.3581,   31.0000,    0.0022,
    65.806,   51.0000,  100.0000,    3.2751,    1.5986,   19.0624,    0.0115,    0.1425,    0.1415,    0.6409,    2.0233,    0.0888,    0.0584,   11.6535,   11.2962,   31.0000,    0.0024,
    65.903,   51.0000,  100.0000,    3.0077,    1.5718,   19.0829,    0.0118,    0.1427,    0.1417,    0.6362,    2.0234,    0.0879,    0.0479,   11.6662,   11.2728,   31.0000,    0.0025,
    66.000,   51.0000,  100.0000,    2.7624,    1.5620,   19.1006,    0.0120,    0.1430,    0.1419,    0.6317,    2.0235,    0.0876,    0.0465,   11.6786,   11.2680,   31.0000,    0.0026,
    66.104,   51.0000,  100.0000,    2.5218,    1.5574,   19.1252,    0.0122,    0.1432,    0.1420,    0.6270,    2.0237,    0.0874,    0.0504,   11.6903,   11.2689,   31.0000,    0.0027,
    66.201,   51.0000,  100.0000,    2.3160,    1.5477,   19.1454,    0.0123,    0.1434,    0.1422,    0.6225,    2.0237,    0.0870,    0.0569,   11.7019,   11.2631,   31.0000,    0.0028,
