Derived constituent file for segment 31

JDAY,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,
    64.500,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    64.604,    0.5105,    0.0001,    0.0244,    2.4430,    2.1523,    6.7089,    2.9903,
    64.701,    0.5104,    0.0001,    0.0244,    2.4325,    2.1439,    6.7081,    2.9923,
    64.806,    0.5102,    0.0001,    0.0245,    2.4216,    2.1351,    6.7081,    2.9953,
    64.903,    0.5101,    0.0001,    0.0246,    2.4129,    2.1282,    6.7093,    2.9971,
    65.000,    0.5101,    0.0001,    0.0247,    2.4023,    2.1196,    6.7092,    2.9977,
    65.104,    0.5100,    0.0001,    0.0248,    2.3824,    2.1036,    6.7102,    3.0006,
    65.201,    0.5105,    0.0001,    0.0247,    2.3228,    2.0556,    6.7185,    2.9954,
    65.306,    0.5108,    0.0001,    0.0247,    2.2609,    2.0058,    6.7272,    2.9946,
    65.403,    0.5112,    0.0001,    0.0247,    2.2173,    1.9707,    6.7325,    2.9899,
    65.500,    0.5114,    0.0001,    0.0249,    2.1882,    1.9472,    6.7371,    2.9874,
    65.604,    0.5114,    0.0001,    0.0251,    2.1863,    1.9456,    6.7364,    2.9874,
    65.701,    0.5117,    0.0001,    0.0254,    2.1585,    1.9232,    6.7410,    2.9838,
    65.806,    0.5117,    0.0001,    0.0256,    2.1296,    1.8997,    6.7443,    2.9844,
    65.903,    0.5112,    0.0001,    0.0259,    2.0970,    1.8733,    6.7466,    2.9916,
    66.000,    0.5106,    0.0001,    0.0261,    2.0506,    1.8355,    6.7528,    3.0016,
    66.104,    0.5106,    0.0001,    0.0264,    2.0519,    1.8364,    6.7523,    3.0023,
    66.201,    0.5107,    0.0001,    0.0266,    2.0660,    1.8479,    6.7496,    3.0017,
    66.306,    0.5105,    0.0001,    0.0270,    2.0844,    1.8628,    6.7463,    3.0037,
    66.403,    0.5104,    0.0001,    0.0272,    2.0890,    1.8666,    6.7446,    3.0053,
    66.500,    0.5102,    0.0001,    0.0275,    2.0972,    1.8733,    6.7418,    3.0082,
    66.604,    0.5101,    0.0001,    0.0280,    2.1280,    1.8983,    6.7379,    3.0092,
    66.701,    0.5102,    0.0001,    0.0285,    2.1465,    1.9134,    6.7354,    3.0074,
    66.806,    0.5103,    0.0001,    0.0290,    2.1659,    1.9292,    6.7335,    3.0057,
    66.903,    0.5104,    0.0001,    0.0295,    2.1760,    1.9373,    6.7325,    3.0057,
    67.000,    0.5103,    0.0001,    0.0300,    2.1824,    1.9425,    6.7296,    3.0064,
    67.104,    0.5102,    0.0001,    0.0306,    2.1895,    1.9482,    6.7273,    3.0080,
    67.201,    0.5100,    0.0001,    0.0312,    2.1961,    1.9536,    6.7267,    3.0109,
    67.306,    0.5098,    0.0001,    0.0317,    2.2032,    1.9594,    6.7243,    3.0153,
    67.403,    0.5094,    0.0001,    0.0324,    2.2137,    1.9678,    6.7219,    3.0201,
    67.500,    0.5091,    0.0001,    0.0330,    2.2287,    1.9799,    6.7189,    3.0251,
    67.604,    0.5089,    0.0001,    0.0338,    2.2428,    1.9914,    6.7170,    3.0278,
    67.701,    0.5089,    0.0001,    0.0343,    2.2450,    1.9931,    6.7169,    3.0276,
    67.806,    0.5090,    0.0001,    0.0347,    2.2387,    1.9880,    6.7172,    3.0268,
    67.903,    0.5090,    0.0001,    0.0349,    2.2281,    1.9793,    6.7190,    3.0271,
    68.000,    0.5090,    0.0001,    0.0351,    2.2151,    1.9688,    6.7195,    3.0285,
    68.104,    0.5088,    0.0001,    0.0353,    2.1959,    1.9532,    6.7220,    3.0315,
    68.201,    0.5086,    0.0001,    0.0354,    2.1730,    1.9345,    6.7209,    3.0359,
    68.306,    0.5084,    0.0001,    0.0355,    2.1464,    1.9129,    6.7239,    3.0415,
    68.403,    0.5082,    0.0001,    0.0351,    2.0928,    1.8692,    6.7267,    3.0466,
    68.500,    0.5082,    0.0001,    0.0344,    1.9928,    1.7875,    6.7352,    3.0503,
    68.604,    0.5085,    0.0001,    0.0333,    1.8256,    1.6504,    6.7514,    3.0500,
    68.701,    0.5089,    0.0001,    0.0330,    1.7076,    1.5534,    6.7632,    3.0473,
    68.806,    0.5090,    0.0001,    0.0333,    1.6259,    1.4859,    6.7733,    3.0489,
    68.903,    0.5084,    0.0002,    0.0337,    1.5546,    1.4265,    6.7807,    3.0596,
    69.000,    0.5079,    0.0002,    0.0343,    1.5055,    1.3854,    6.7868,    3.0709,
    69.104,    0.5074,    0.0002,    0.0348,    1.4603,    1.3474,    6.7933,    3.0803,
    69.201,    0.5072,    0.0002,    0.0352,    1.4304,    1.3224,    6.7979,    3.0849,
    69.306,    0.5074,    0.0002,    0.0354,    1.4284,    1.3206,    6.7981,    3.0839,
    69.403,    0.5075,    0.0002,    0.0355,    1.4518,    1.3400,    6.7930,    3.0823,
