$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,
    64.500,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    64.604,    0.5137,    0.0001,    0.0246,    2.4914,    2.1911,    6.7078,    2.9424,
    64.701,    0.5130,    0.0001,    0.0245,    2.4633,    2.1686,    6.7100,    2.9517,
    64.806,    0.5121,    0.0001,    0.0245,    2.4290,    2.1411,    6.7100,    2.9672,
    64.903,    0.5112,    0.0001,    0.0245,    2.4016,    2.1191,    6.7100,    2.9803,
    65.000,    0.5106,    0.0001,    0.0245,    2.3604,    2.0861,    6.7167,    2.9919,
    65.104,    0.5101,    0.0001,    0.0244,    2.2851,    2.0255,    6.7164,    3.0025,
    65.201,    0.5100,    0.0001,    0.0242,    2.1649,    1.9284,    6.7374,    3.0084,
    65.306,    0.5109,    0.0001,    0.0244,    2.1671,    1.9302,    6.7400,    2.9962,
    65.403,    0.5116,    0.0001,    0.0246,    2.1603,    1.9247,    6.7400,    2.9865,
    65.500,    0.5121,    0.0001,    0.0248,    2.1454,    1.9126,    6.7465,    2.9785,
    65.604,    0.5123,    0.0001,    0.0251,    2.1047,    1.8796,    6.7500,    2.9745,
    65.701,    0.5114,    0.0001,    0.0254,    2.0478,    1.8334,    6.7557,    2.9888,
    65.806,    0.5091,    0.0001,    0.0255,    1.9448,    1.7493,    6.7600,    3.0261,
    65.903,    0.5081,    0.0001,    0.0257,    1.8964,    1.7097,    6.7600,    3.0427,
    66.000,    0.5080,    0.0001,    0.0259,    1.8815,    1.6975,    6.7700,    3.0459,
    66.104,    0.5082,    0.0001,    0.0261,    1.8794,    1.6958,    6.7700,    3.0421,
    66.201,    0.5087,    0.0001,    0.0263,    1.8742,    1.6915,    6.7700,    3.0355,
    66.306,    0.5095,    0.0001,    0.0265,    1.8819,    1.6978,    6.7700,    3.0238,
    66.403,    0.5102,    0.0001,    0.0267,    1.8844,    1.6999,    6.7700,    3.0141,
    66.500,    0.5102,    0.0001,    0.0269,    1.8969,    1.7101,    6.7660,    3.0129,
    66.604,    0.5104,    0.0001,    0.0271,    1.9209,    1.7297,    6.7600,    3.0088,
    66.701,    0.5104,    0.0001,    0.0274,    1.9545,    1.7573,    6.7564,    3.0082,
    66.806,    0.5101,    0.0001,    0.0279,    1.9968,    1.7917,    6.7536,    3.0118,
    66.903,    0.5100,    0.0001,    0.0283,    2.0347,    1.8226,    6.7475,    3.0139,
    67.000,    0.5101,    0.0001,    0.0288,    2.0652,    1.8475,    6.7400,    3.0117,
    67.104,    0.5105,    0.0001,    0.0294,    2.0877,    1.8658,    6.7395,    3.0065,
    67.201,    0.5106,    0.0001,    0.0300,    2.1019,    1.8773,    6.7396,    3.0051,
    67.306,    0.5105,    0.0001,    0.0306,    2.1147,    1.8877,    6.7395,    3.0071,
    67.403,    0.5103,    0.0001,    0.0314,    2.1337,    1.9032,    6.7300,    3.0097,
    67.500,    0.5102,    0.0001,    0.0320,    2.1511,    1.9172,    6.7282,    3.0110,
    67.604,    0.5104,    0.0001,    0.0322,    2.1474,    1.9142,    6.7288,    3.0077,
    67.701,    0.5103,    0.0001,    0.0318,    2.0765,    1.8567,    6.7300,    3.0100,
    67.806,    0.5091,    0.0001,    0.0314,    1.9675,    1.7679,    6.7400,    3.0317,
    67.903,    0.5080,    0.0001,    0.0313,    1.8891,    1.7037,    6.7500,    3.0514,
    68.000,    0.5074,    0.0001,    0.0313,    1.8332,    1.6578,    6.7500,    3.0634,
    68.104,    0.5074,    0.0001,    0.0315,    1.8175,    1.6449,    6.7554,    3.0636,
    68.201,    0.5074,    0.0001,    0.0315,    1.7640,    1.6008,    6.7553,    3.0665,
    68.306,    0.5077,    0.0001,    0.0316,    1.7193,    1.5639,    6.7600,    3.0657,
    68.403,    0.5081,    0.0001,    0.0316,    1.6737,    1.5261,    6.7656,    3.0614,
    68.500,    0.5090,    0.0001,    0.0319,    1.6252,    1.4859,    6.7700,    3.0495,
    68.604,    0.5096,    0.0001,    0.0323,    1.5776,    1.4463,    6.7800,    3.0402,
    68.701,    0.5088,    0.0002,    0.0329,    1.5110,    1.3907,    6.7900,    3.0529,
    68.806,    0.5071,    0.0002,    0.0339,    1.4230,    1.3168,    6.8000,    3.0824,
    68.903,    0.5062,    0.0002,    0.0345,    1.3653,    1.2682,    6.8000,    3.1004,
    69.000,    0.5061,    0.0002,    0.0350,    1.3509,    1.2561,    6.8100,    3.1029,
    69.104,    0.5062,    0.0002,    0.0353,    1.3404,    1.2472,    6.8100,    3.1023,
    69.201,    0.5066,    0.0002,    0.0354,    1.3435,    1.2498,    6.8100,    3.0968,
    69.306,    0.5070,    0.0002,    0.0355,    1.3417,    1.2483,    6.8100,    3.0914,
    69.403,    0.5072,    0.0002,    0.0357,    1.3372,    1.2445,    6.8100,    3.0890,
    69.500,    0.5072,    0.0002,    0.0358,    1.3335,    1.2413,    6.8100,    3.0877,
    69.604,    0.5073,    0.0002,    0.0359,    1.3290,    1.2375,    6.8100,    3.0861,
    69.701,    0.5072,    0.0002,    0.0361,    1.3221,    1.2317,    6.8100,    3.0891,
    69.806,    0.5069,    0.0002,    0.0366,    1.3177,    1.2279,    6.8100,    3.0958,
    69.903,    0.5070,    0.0002,    0.0369,    1.3391,    1.2461,    6.8063,    3.0965,
    70.000,    0.5073,    0.0002,    0.0370,    1.3839,    1.2838,    6.7958,    3.0922,
    70.104,    0.5075,    0.0002,    0.0371,    1.4012,    1.2985,    6.7900,    3.0892,
    70.201,    0.5078,    0.0002,    0.0372,    1.4426,    1.3333,    6.7800,    3.0851,
    70.306,    0.5079,    0.0002,    0.0371,    1.4415,    1.3324,    6.7800,    3.0855,
    70.403,    0.5079,    0.0002,    0.0370,    1.4159,    1.3109,    6.7800,    3.0860,
    70.500,    0.5082,    0.0002,    0.0368,    1.3602,    1.2639,    6.7900,    3.0817,
    70.604,    0.5088,    0.0002,    0.0366,    1.2779,    1.1942,    6.8000,    3.0718,
    70.701,    0.5082,    0.0002,    0.0365,    1.1996,    1.1275,    6.8100,    3.0824,
    70.806,    0.5066,    0.0002,    0.0366,    1.1395,    1.0760,    6.8200,    3.1106,
    70.903,    0.5057,    0.0002,    0.0367,    1.1031,    1.0447,    6.8200,    3.1272,
    71.000,    0.5054,    0.0002,    0.0368,    1.0786,    1.0236,    6.8300,    3.1347,
    71.104,    0.5055,    0.0002,    0.0368,    1.0645,    1.0114,    6.8300,    3.1343,
    71.201,    0.5061,    0.0002,    0.0368,    1.0607,    1.0082,    6.8300,    3.1275,
    71.306,    0.5068,    0.0002,    0.0369,    1.0632,    1.0103,    6.8300,    3.1176,
    71.403,    0.5072,    0.0002,    0.0370,    1.0782,    1.0233,    6.8295,    3.1110,
    71.500,    0.5073,    0.0002,    0.0373,    1.1233,    1.0621,    6.8203,    3.1081,
    71.604,    0.5074,    0.0002,    0.0375,    1.1452,    1.0809,    6.8200,    3.1060,
    71.701,    0.5075,    0.0002,    0.0380,    1.1920,    1.1210,    6.8100,    3.1067,
    71.806,    0.5074,    0.0002,    0.0386,    1.2465,    1.1675,    6.7900,    3.1097,
    71.903,    0.5076,    0.0002,    0.0394,    1.3047,    1.2169,    6.7800,    3.1104,
    72.000,    0.5080,    0.0001,    0.0403,    1.3715,    1.2734,    6.7700,    3.1065,
    72.104,    0.5089,    0.0001,    0.0420,    1.4817,    1.3661,    6.7500,    3.0966,
    72.201,    0.5096,    0.0001,    0.0436,    1.5773,    1.4460,    6.7400,    3.0901,
    72.306,    0.5099,    0.0001,    0.0447,    1.6190,    1.4808,    6.7300,    3.0896,
    72.403,    0.5101,    0.0001,    0.0454,    1.6392,    1.4976,    6.7300,    3.0893,
    72.500,    0.5105,    0.0001,    0.0469,    1.6925,    1.5417,    6.7300,    3.0863,
    72.604,    0.5110,    0.0001,    0.0490,    1.7665,    1.6029,    6.7200,    3.0812,
    72.701,    0.5115,    0.0001,    0.0511,    1.8266,    1.6524,    6.7200,    3.0784,
    72.806,    0.5116,    0.0001,    0.0529,    1.8668,    1.6854,    6.7100,    3.0808,
    72.903,    0.5115,    0.0001,    0.0531,    1.8510,    1.6725,    6.7100,    3.0859,
    73.000,    0.5112,    0.0001,    0.0524,    1.8050,    1.6346,    6.7200,    3.0915,
    73.104,    0.5111,    0.0001,    0.0517,    1.7569,    1.5950,    6.7200,    3.0957,
    73.201,    0.5108,    0.0001,    0.0503,    1.6643,    1.5184,    6.7300,    3.1027,
    73.306,    0.5112,    0.0001,    0.0505,    1.6050,    1.4689,    6.7380,    3.1041,
    73.403,    0.5114,    0.0001,    0.0501,    1.5228,    1.4006,    6.7500,    3.1067,
    73.500,    0.5117,    0.0001,    0.0499,    1.4654,    1.3525,    6.7600,    3.1063,
    73.604,    0.5115,    0.0001,    0.0492,    1.3449,    1.2510,    6.7819,    3.1167,
    73.701,    0.5109,    0.0002,    0.0488,    1.2146,    1.1403,    6.8006,    3.1327,
    73.806,    0.5103,    0.0002,    0.0486,    1.1055,    1.0468,    6.8200,    3.1486,
    73.903,    0.5100,    0.0002,    0.0486,    1.0358,    0.9866,    6.8400,    3.1589,
    74.000,    0.5098,    0.0002,    0.0485,    0.9793,    0.9376,    6.8500,    3.1669,
    74.104,    0.5097,    0.0002,    0.0485,    0.9328,    0.8970,    6.8600,    3.1721,
    74.201,    0.5097,    0.0002,    0.0485,    0.9032,    0.8711,    6.8600,    3.1746,
    74.306,    0.5098,    0.0002,    0.0485,    0.8889,    0.8585,    6.8600,    3.1753,
    74.403,    0.5098,    0.0002,    0.0486,    0.8753,    0.8466,    6.8700,    3.1758,
    74.500,    0.5099,    0.0002,    0.0485,    0.8664,    0.8387,    6.8700,    3.1756,
    74.604,    0.5099,    0.0002,    0.0485,    0.8589,    0.8322,    6.8700,    3.1752,
    74.701,    0.5099,    0.0002,    0.0485,    0.8498,    0.8241,    6.8700,    3.1770,
    74.806,    0.5098,    0.0002,    0.0486,    0.8390,    0.8146,    6.8700,    3.1809,
    74.903,    0.5097,    0.0002,    0.0487,    0.8319,    0.8084,    6.8700,    3.1834,
    75.000,    0.5098,    0.0002,    0.0489,    0.8300,    0.8066,    6.8700,    3.1839,
    75.104,    0.5097,    0.0002,    0.0483,    0.7966,    0.7771,    6.8796,    3.1881,
    75.201,    0.5102,    0.0002,    0.0489,    0.8256,    0.8028,    6.8700,    3.1823,
    75.306,    0.5105,    0.0002,    0.0489,    0.8296,    0.8063,    6.8700,    3.1794,
    75.403,    0.5108,    0.0002,    0.0493,    0.8792,    0.8499,    6.8604,    3.1750,
    75.500,    0.5110,    0.0002,    0.0495,    0.8975,    0.8661,    6.8500,    3.1725,
    75.604,    0.5120,    0.0002,    0.0507,    1.0235,    0.9759,    6.8200,    3.1597,
    75.701,    0.5132,    0.0002,    0.0526,    1.1887,    1.1181,    6.7900,    3.1456,
    75.806,    0.5147,    0.0001,    0.0557,    1.3716,    1.2736,    6.7600,    3.1332,
    75.903,    0.5153,    0.0001,    0.0572,    1.4417,    1.3325,    6.7500,    3.1295,
    76.000,    0.5160,    0.0001,    0.0586,    1.5049,    1.3855,    6.7456,    3.1251,
    76.104,    0.5162,    0.0001,    0.0589,    1.5111,    1.3907,    6.7466,    3.1248,
    76.201,    0.5163,    0.0001,    0.0589,    1.5071,    1.3873,    6.7384,    3.1253,
    76.306,    0.5161,    0.0001,    0.0579,    1.4496,    1.3391,    6.7466,    3.1301,
    76.403,    0.5158,    0.0001,    0.0567,    1.3744,    1.2757,    6.7554,    3.1352,
    76.500,    0.5159,    0.0001,    0.0563,    1.3451,    1.2509,    6.7626,    3.1367,
    76.604,    0.5159,    0.0001,    0.0555,    1.3022,    1.2148,    6.7700,    3.1378,
