$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,
    64.500,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
    64.604,    0.5105,    0.0001,    0.0244,    2.4429,    2.1522,    6.7089,    2.9904,
    64.701,    0.5104,    0.0001,    0.0244,    2.4324,    2.1439,    6.7081,    2.9924,
    64.806,    0.5102,    0.0001,    0.0245,    2.4215,    2.1351,    6.7081,    2.9953,
    64.903,    0.5101,    0.0001,    0.0246,    2.4130,    2.1282,    6.7093,    2.9972,
    65.000,    0.5101,    0.0001,    0.0247,    2.4023,    2.1196,    6.7092,    2.9977,
    65.104,    0.5100,    0.0001,    0.0248,    2.3825,    2.1037,    6.7102,    3.0006,
    65.201,    0.5105,    0.0001,    0.0247,    2.3230,    2.0558,    6.7184,    2.9954,
    65.306,    0.5108,    0.0001,    0.0247,    2.2610,    2.0059,    6.7271,    2.9946,
    65.403,    0.5112,    0.0001,    0.0247,    2.2174,    1.9708,    6.7325,    2.9899,
    65.500,    0.5114,    0.0001,    0.0249,    2.1883,    1.9473,    6.7371,    2.9874,
    65.604,    0.5114,    0.0001,    0.0251,    2.1864,    1.9458,    6.7364,    2.9874,
    65.701,    0.5117,    0.0001,    0.0254,    2.1587,    1.9233,    6.7410,    2.9838,
    65.806,    0.5117,    0.0001,    0.0256,    2.1299,    1.9000,    6.7442,    2.9844,
    65.903,    0.5112,    0.0001,    0.0259,    2.0973,    1.8735,    6.7466,    2.9915,
    66.000,    0.5106,    0.0001,    0.0261,    2.0509,    1.8357,    6.7528,    3.0016,
    66.104,    0.5106,    0.0001,    0.0264,    2.0522,    1.8367,    6.7522,    3.0023,
    66.201,    0.5107,    0.0001,    0.0266,    2.0663,    1.8481,    6.7496,    3.0016,
    66.306,    0.5105,    0.0001,    0.0270,    2.0847,    1.8631,    6.7463,    3.0037,
    66.403,    0.5104,    0.0001,    0.0272,    2.0893,    1.8668,    6.7446,    3.0053,
    66.500,    0.5102,    0.0001,    0.0275,    2.0975,    1.8736,    6.7418,    3.0082,
    66.604,    0.5101,    0.0001,    0.0280,    2.1283,    1.8986,    6.7379,    3.0092,
    66.701,    0.5102,    0.0001,    0.0285,    2.1468,    1.9136,    6.7354,    3.0074,
    66.806,    0.5103,    0.0001,    0.0290,    2.1662,    1.9294,    6.7335,    3.0057,
    66.903,    0.5104,    0.0001,    0.0295,    2.1763,    1.9375,    6.7324,    3.0056,
    67.000,    0.5103,    0.0001,    0.0300,    2.1826,    1.9426,    6.7295,    3.0064,
    67.104,    0.5102,    0.0001,    0.0306,    2.1896,    1.9483,    6.7273,    3.0080,
    67.201,    0.5100,    0.0001,    0.0312,    2.1962,    1.9537,    6.7267,    3.0109,
    67.306,    0.5098,    0.0001,    0.0317,    2.2034,    1.9595,    6.7242,    3.0153,
