     TKN_interval, Fraction_of_volume,      TN_interval, Fraction_of_volume,     NH3_interval, Fraction_of_volume,
    1.0000,  0.2580E-01,    1.0000,  0.1823E+00,    1.0000,  0.0000E+00,
    0.9500,  0.5279E-02,    0.9500,  0.4925E-01,    0.9500,  0.0000E+00,
    0.9000,  0.7319E-02,    0.9000,  0.4803E-01,    0.9000,  0.0000E+00,
    0.8500,  0.1337E-01,    0.8500,  0.5154E-01,    0.8500,  0.0000E+00,
    0.8000,  0.1902E-01,    0.8000,  0.8576E-01,    0.8000,  0.0000E+00,
    0.7500,  0.2122E-01,    0.7500,  0.1224E+00,    0.7500,  0.0000E+00,
    0.7000,  0.2467E-01,    0.7000,  0.1031E+00,    0.7000,  0.0000E+00,
    0.6500,  0.2814E-01,    0.6500,  0.7478E-01,    0.6500,  0.0000E+00,
    0.6000,  0.3486E-01,    0.6000,  0.5932E-01,    0.6000,  0.0000E+00,
    0.5500,  0.4664E-01,    0.5500,  0.5646E-01,    0.5500,  0.0000E+00,
    0.5000,  0.1150E+00,    0.5000,  0.9350E-01,    0.5000,  0.0000E+00,
    0.4500,  0.2240E+00,    0.4500,  0.2028E-01,    0.4500,  0.0000E+00,
    0.4000,  0.9484E-01,    0.4000,  0.1699E-01,    0.4000,  0.0000E+00,
    0.3500,  0.1658E+00,    0.3500,  0.1621E-01,    0.3500,  0.0000E+00,
    0.3000,  0.1326E+00,    0.3000,  0.1458E-01,    0.3000,  0.0000E+00,
    0.2500,  0.4107E-01,    0.2500,  0.5251E-02,    0.2500,  0.0000E+00,
    0.2000,  0.3609E-03,    0.2000,  0.2652E-03,    0.2000,  0.0000E+00,
    0.1500,  0.0000E+00,    0.1500,  0.0000E+00,    0.1500,  0.0000E+00,
    0.1000,  0.0000E+00,    0.1000,  0.0000E+00,    0.1000,  0.1921E-02,
    0.0500,  0.0000E+00,    0.0500,  0.0000E+00,    0.0500,  0.9981E+00,

Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,Sum_of_fractions,   1.0000,

Average,  0.4982E+00,Average,  0.7948E+00,Average,  0.1042E-01,
