 "Temperature interval,","Fraction of volume"
 30.00,  0.9519E-01,
 29.00,  0.3390E-01,
 28.00,  0.1274E-01,
 27.00,  0.3248E-01,
 26.00,  0.2547E-01,
 25.00,  0.1426E-01,
 24.00,  0.2182E-01,
 23.00,  0.1437E-01,
 22.00,  0.2968E-01,
 21.00,  0.3369E-01,
 20.00,  0.2904E-01,
 19.00,  0.2100E-01,
 18.00,  0.1969E-01,
 17.00,  0.4225E-01,
 16.00,  0.4012E-01,
 15.00,  0.2247E-01,
 14.00,  0.2991E-01,
 13.00,  0.4466E-01,
 12.00,  0.5499E-01,
 11.00,  0.3823E+00,

 Sum of fractions,   0.1000E+01

 Average,   0.1702E+02
