 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
    64.507,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    64.604,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    64.701,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    64.806,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    64.903,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.000,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.104,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.201,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.306,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.403,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.500,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.604,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.701,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.806,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    65.903,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.000,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.104,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.201,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.306,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.403,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.500,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.604,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.701,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.806,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.903,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
