                  JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),SedimentDiagenesisPFlux(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg),SedimentDiagenesisNH4Flux(kg),SedimentDiagenesisNO3Flux(kg)
    64.500,   1,  0.20467310E+05,   0.00000000E+00,   0.00000000E+00,   0.77757818E-01,   0.00000000E+00,   0.00000000E+00,   0.12600000E-03,   0.00000000E+00,   0.54000000E-02,   0.17682773E-01,   0.00000000E+00,   0.00000000E+00,   0.67967934E-04,   0.42803252E+06,   0.00000000E+00,   0.00000000E+00,   0.21513251E+01,   0.00000000E+00,   0.00000000E+00,   0.34560000E-02,   0.00000000E+00,   0.79920000E+00,   0.20129919E-02,   0.40271911E-02,   0.00000000E+00,   0.00000000E+00,  -0.50742053E-06,  -0.50583820E-06,
    71.500,   1,  0.51597891E+05,   0.00000000E+00,   0.00000000E+00,   0.14882510E+03,   0.00000000E+00,   0.00000000E+00,   0.21821893E+00,   0.00000000E+00,   0.19710000E+00,   0.17879822E+02,   0.00000000E+00,   0.00000000E+00,   0.56416435E+00,   0.42820878E+06,   0.00000000E+00,   0.00000000E+00,   0.22549939E+04,   0.00000000E+00,   0.00000000E+00,   0.35871526E+01,   0.00000000E+00,   0.70634700E+03,   0.19894145E+01,   0.36853225E+01,   0.00000000E+00,   0.00000000E+00,   0.24456475E-01,   0.25496401E-01,
    78.500,   1,  0.57639170E+05,   0.00000000E+00,   0.00000000E+00,   0.47626554E+03,   0.00000000E+00,   0.00000000E+00,   0.68875800E+00,   0.00000000E+00,   0.33085800E+02,   0.35817695E+02,   0.00000000E+00,   0.00000000E+00,   0.90876657E+00,   0.44932987E+06,   0.00000000E+00,   0.00000000E+00,   0.46800368E+04,   0.00000000E+00,   0.00000000E+00,   0.74381753E+01,   0.00000000E+00,   0.16023231E+04,   0.38935101E+01,   0.89686686E+01,   0.00000000E+00,   0.00000000E+00,   0.17257817E+00,   0.75034449E-01,
    85.500,   1,  0.55230063E+05,   0.00000000E+00,   0.00000000E+00,   0.82225556E+03,   0.00000000E+00,   0.00000000E+00,   0.11959925E+01,   0.00000000E+00,   0.10909890E+03,   0.53831300E+02,   0.00000000E+00,   0.00000000E+00,   0.10912350E+01,   0.48124836E+06,   0.00000000E+00,   0.00000000E+00,   0.73071634E+04,   0.00000000E+00,   0.00000000E+00,   0.11602641E+02,   0.00000000E+00,   0.29719008E+04,   0.57142996E+01,   0.16967831E+02,   0.00000000E+00,   0.00000000E+00,   0.39873794E+00,   0.12337979E+00,
    92.500,   1,  0.52434965E+05,   0.00000000E+00,   0.00000000E+00,   0.11617102E+04,   0.00000000E+00,   0.00000000E+00,   0.17103909E+01,   0.00000000E+00,   0.18530370E+03,   0.71920637E+02,   0.00000000E+00,   0.00000000E+00,   0.11961719E+01,   0.51436553E+06,   0.00000000E+00,   0.00000000E+00,   0.10139376E+05,   0.00000000E+00,   0.00000000E+00,   0.16081554E+02,   0.00000000E+00,   0.42778098E+04,   0.74517832E+01,   0.28299153E+02,   0.00000000E+00,   0.00000000E+00,   0.66182090E+00,   0.16847587E+00,
    99.500,   1,  0.50381991E+05,   0.00000000E+00,   0.00000000E+00,   0.14935995E+04,   0.00000000E+00,   0.00000000E+00,   0.22367728E+01,   0.00000000E+00,   0.22861980E+03,   0.90085708E+02,   0.00000000E+00,   0.00000000E+00,   0.12632847E+01,   0.54653734E+06,   0.00000000E+00,   0.00000000E+00,   0.13202778E+05,   0.00000000E+00,   0.00000000E+00,   0.20901831E+02,   0.00000000E+00,   0.55632474E+04,   0.91059607E+01,   0.47984057E+02,   0.00000000E+00,   0.00000000E+00,   0.92969998E+00,   0.21898454E+00,
   106.500,   1,  0.49071921E+05,   0.00000000E+00,   0.00000000E+00,   0.18428798E+04,   0.00000000E+00,   0.00000000E+00,   0.28116173E+01,   0.00000000E+00,   0.29458890E+03,   0.10825068E+03,   0.00000000E+00,   0.00000000E+00,   0.13108956E+01,   0.57996762E+06,   0.00000000E+00,   0.00000000E+00,   0.16504677E+05,   0.00000000E+00,   0.00000000E+00,   0.26121001E+02,   0.00000000E+00,   0.72634374E+04,   0.10710629E+02,   0.76531570E+02,   0.00000000E+00,   0.00000000E+00,   0.11968521E+01,   0.27211330E+00,
   113.500,   1,  0.48843637E+05,   0.00000000E+00,   0.00000000E+00,   0.21922795E+04,   0.00000000E+00,   0.00000000E+00,   0.33923993E+01,   0.00000000E+00,   0.41372640E+03,   0.12631613E+03,   0.00000000E+00,   0.00000000E+00,   0.13478023E+01,   0.61420774E+06,   0.00000000E+00,   0.00000000E+00,   0.19979152E+05,   0.00000000E+00,   0.00000000E+00,   0.31623621E+02,   0.00000000E+00,   0.86717034E+04,   0.12310101E+02,   0.94267064E+02,   0.00000000E+00,   0.00000000E+00,   0.14599145E+01,   0.32392356E+00,
   120.500,   1,  0.49226450E+05,   0.00000000E+00,   0.00000000E+00,   0.25460266E+04,   0.00000000E+00,   0.00000000E+00,   0.39874595E+01,   0.00000000E+00,   0.49012290E+03,   0.14428161E+03,   0.00000000E+00,   0.00000000E+00,   0.13784338E+01,   0.64707112E+06,   0.00000000E+00,   0.00000000E+00,   0.23630907E+05,   0.00000000E+00,   0.00000000E+00,   0.37444668E+02,   0.00000000E+00,   0.94949253E+04,   0.13904575E+02,   0.13665152E+03,   0.00000000E+00,   0.00000000E+00,   0.17096143E+01,   0.38155738E+00,
   127.500,   1,  0.49330195E+05,   0.00000000E+00,   0.00000000E+00,   0.29126556E+04,   0.00000000E+00,   0.00000000E+00,   0.46004169E+01,   0.00000000E+00,   0.56632770E+03,   0.16214713E+03,   0.00000000E+00,   0.00000000E+00,   0.14051681E+01,   0.67883024E+06,   0.00000000E+00,   0.00000000E+00,   0.27514546E+05,   0.00000000E+00,   0.00000000E+00,   0.43647362E+02,   0.00000000E+00,   0.11018519E+05,   0.15494051E+02,   0.16287536E+03,   0.00000000E+00,   0.00000000E+00,   0.19528123E+01,   0.43861379E+00,
