$Flow file for segment 31
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    64.500,   12.620,           12.600,
    64.604,   12.620,           12.600,
    64.701,   12.620,           12.600,
    64.806,   12.620,           12.600,
    64.903,   12.620,           12.600,
    65.000,   12.620,           12.600,
    65.104,   12.620,           12.600,
    65.201,   12.620,           12.600,
    65.306,   12.620,           12.600,
    65.403,   12.620,           12.600,
    65.500,   12.620,           12.600,
    65.604,   12.620,           12.600,
    65.701,   12.620,           12.600,
    65.806,   12.620,           12.600,
    65.903,   12.620,           12.600,
    66.000,   12.620,           12.600,
    66.104,   12.620,           12.600,
    66.201,   12.620,           12.600,
    66.306,   12.620,           12.600,
    66.403,   12.620,           12.600,
    66.500,   12.620,           12.600,
    66.604,   12.620,           12.600,
    66.701,   12.620,           12.600,
    66.806,   12.620,           12.600,
    66.903,   12.620,           12.600,
    67.000,   12.620,           12.600,
    67.104,   12.620,           12.600,
    67.201,   12.620,           12.600,
    67.306,   12.620,           12.600,
    67.403,   12.620,           12.600,
    67.500,   12.620,           12.600,
    67.604,   12.620,           12.600,
    67.701,   12.620,           12.600,
    67.806,   12.620,           12.600,
    67.903,   12.620,           12.600,
    68.000,   12.620,           12.600,
    68.104,   12.620,           12.600,
    68.201,   12.620,           12.600,
    68.306,   12.620,           12.600,
    68.403,   12.620,           12.600,
    68.500,   12.620,           12.600,
    68.604,   12.620,           12.600,
    68.701,   12.620,           12.600,
    68.806,   12.620,           12.600,
    68.903,   12.620,           12.600,
    69.000,   12.620,           12.600,
    69.104,   12.620,           12.600,
    69.201,   12.620,           12.600,
    69.306,   12.620,           12.600,
    69.403,   12.620,           12.600,
    69.500,   12.620,           12.600,
    69.604,   12.620,           12.600,
    69.701,   12.620,           12.600,
    69.806,   12.620,           12.600,
    69.903,   12.620,           12.600,
    70.000,   12.620,           12.600,
    70.104,   12.620,           12.600,
    70.201,   12.620,           12.600,
    70.306,   12.620,           12.600,
    70.403,   12.620,           12.600,
    70.500,   12.620,           12.600,
    70.604,   12.620,           12.600,
    70.701,   12.620,           12.600,
    70.806,   12.620,           12.600,
    70.903,   12.620,           12.600,
    71.000,   12.620,           12.600,
    71.104,   12.620,           12.600,
    71.201,   12.620,           12.600,
    71.306,   12.620,           12.600,
    71.403,   12.620,           12.600,
    71.500,   12.620,           12.600,
    71.604,   12.620,           12.600,
    71.701,   12.620,           12.600,
    71.806,   12.620,           12.600,
    71.903,   12.620,           12.600,
    72.000,   12.620,           12.600,
    72.104,   12.620,           12.600,
    72.201,   12.620,           12.600,
    72.306,   12.620,           12.600,
    72.403,   12.620,           12.600,
    72.500,   12.620,           12.600,
    72.604,   12.620,           12.600,
    72.701,   12.620,           12.600,
    72.806,   12.620,           12.600,
    72.903,   12.620,           12.600,
    73.000,   12.620,           12.600,
    73.104,   12.620,           12.600,
    73.201,   12.620,           12.600,
    73.306,   12.620,           12.600,
    73.403,   12.620,           12.600,
    73.500,   12.620,           12.600,
    73.604,   12.620,           12.600,
    73.701,   12.620,           12.600,
    73.806,   12.620,           12.600,
    73.903,   12.620,           12.600,
    74.000,   12.620,           12.600,
    74.104,   12.620,           12.600,
    74.201,   12.620,           12.600,
    74.306,   12.620,           12.600,
    74.403,   12.620,           12.600,
    74.500,   12.620,           12.600,
    74.604,   12.620,           12.600,
    74.701,   12.620,           12.600,
    74.806,   12.620,           12.600,
    74.903,   12.620,           12.600,
    75.000,   12.620,           12.600,
    75.104,   12.620,           12.600,
    75.201,   12.620,           12.600,
    75.306,   12.620,           12.600,
    75.403,   12.620,           12.600,
    75.500,   12.620,           12.600,
    75.604,   12.620,           12.600,
    75.701,   12.620,           12.600,
    75.806,   12.620,           12.600,
    75.903,   12.620,           12.600,
    76.000,   12.620,           12.600,
    76.104,   12.620,           12.600,
    76.201,   12.620,           12.600,
    76.306,   12.620,           12.600,
    76.403,   12.620,           12.600,
    76.500,   12.620,           12.600,
    76.604,   12.620,           12.600,
    76.701,   12.620,           12.600,
    76.806,   12.620,           12.600,
    76.903,   12.620,           12.600,
    77.000,   12.620,           12.600,
    77.104,   12.620,           12.600,
    77.201,   12.620,           12.600,
    77.306,   12.620,           12.600,
    77.403,   12.620,           12.600,
    77.500,   12.620,           12.600,
    77.604,   12.620,           12.600,
    77.701,   12.620,           12.600,
    77.806,   12.620,           12.600,
    77.903,   12.620,           12.600,
    78.000,   12.620,           12.600,
    78.104,   12.620,           12.600,
    78.201,   12.620,           12.600,
    78.306,   12.620,           12.600,
    78.403,   12.620,           12.600,
    78.500,   12.620,           12.600,
    78.604,   12.620,           12.600,
    78.701,   12.620,           12.600,
    78.806,   12.620,           12.600,
    78.903,   12.620,           12.600,
    79.000,   12.620,           12.600,
    79.104,   12.620,           12.600,
    79.201,   12.620,           12.600,
    79.306,   12.620,           12.600,
    79.403,   12.620,           12.600,
    79.500,   12.620,           12.600,
    79.604,   12.620,           12.600,
    79.701,   12.620,           12.600,
    79.806,   12.620,           12.600,
    79.903,   12.620,           12.600,
    80.000,   12.620,           12.600,
    80.104,   12.620,           12.600,
    80.201,   12.620,           12.600,
    80.306,   12.620,           12.600,
    80.403,   12.620,           12.600,
    80.500,   12.620,           12.600,
    80.604,   12.620,           12.600,
    80.701,   12.620,           12.600,
    80.806,   12.620,           12.600,
    80.903,   12.620,           12.600,
    81.000,   12.620,           12.600,
    81.104,   12.620,           12.600,
    81.201,   12.620,           12.600,
    81.306,   12.620,           12.600,
    81.403,   12.620,           12.600,
    81.500,   12.620,           12.600,
    81.604,   12.620,           12.600,
    81.701,   12.620,           12.600,
    81.806,   12.620,           12.600,
    81.903,   12.620,           12.600,
    82.000,   12.620,           12.600,
    82.104,   12.620,           12.600,
    82.201,   12.620,           12.600,
    82.306,   12.620,           12.600,
    82.403,   12.620,           12.600,
    82.500,   12.620,           12.600,
    82.604,   12.620,           12.600,
    82.701,   12.620,           12.600,
    82.806,   12.620,           12.600,
    82.903,   12.620,           12.600,
    83.000,   12.620,           12.600,
    83.104,   12.620,           12.600,
    83.201,   12.620,           12.600,
    83.306,   12.620,           12.600,
    83.403,   12.620,           12.600,
    83.500,   12.620,           12.600,
    83.604,   12.620,           12.600,
    83.701,   12.620,           12.600,
    83.806,   12.620,           12.600,
    83.903,   12.620,           12.600,
    84.000,   12.620,           12.600,
    84.104,   12.620,           12.600,
    84.201,   12.620,           12.600,
    84.306,   12.620,           12.600,
    84.403,   12.620,           12.600,
    84.500,   12.620,           12.600,
    84.604,   12.620,           12.600,
    84.701,   12.620,           12.600,
    84.806,   12.620,           12.600,
    84.903,   12.620,           12.600,
    85.000,   12.620,           12.600,
    85.104,   12.620,           12.600,
    85.201,   12.620,           12.600,
    85.306,   12.620,           12.600,
    85.403,   12.620,           12.600,
    85.500,   12.620,           12.600,
    85.604,   12.620,           12.600,
    85.701,   12.620,           12.600,
    85.806,   12.620,           12.600,
    85.903,   12.620,           12.600,
    86.000,   12.620,           12.600,
    86.104,   12.620,           12.600,
    86.201,   12.620,           12.600,
    86.306,   12.620,           12.600,
    86.403,   12.620,           12.600,
    86.500,   12.620,           12.600,
    86.604,   12.620,           12.600,
    86.701,   12.620,           12.600,
    86.806,   12.620,           12.600,
    86.903,   12.620,           12.600,
    87.000,   12.620,           12.600,
    87.104,   12.620,           12.600,
    87.201,   12.620,           12.600,
    87.306,   12.620,           12.600,
    87.403,   12.620,           12.600,
    87.500,   12.620,           12.600,
    87.604,   12.620,           12.600,
    87.701,   12.620,           12.600,
    87.806,   12.620,           12.600,
    87.903,   12.620,           12.600,
    88.000,   12.620,           12.600,
    88.104,   12.620,           12.600,
    88.201,   12.620,           12.600,
