$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,QWD(m3s-1)
    64.500,   12.6000
    64.604,   12.6000
    64.701,   12.6000
    64.806,   12.6000
    64.903,   12.6000
    65.000,   12.6000
    65.104,   12.6000
    65.201,   12.6000
    65.306,   12.6000
    65.403,   12.6000
    65.500,   12.6000
    65.604,   12.6000
    65.701,   12.6000
    65.806,   12.6000
    65.903,   12.6000
    66.000,   12.6000
    66.104,   12.6000
    66.201,   12.6000
    66.306,   12.6000
    66.403,   12.6000
    66.500,   12.6000
    66.604,   12.6000
    66.701,   12.6000
    66.806,   12.6000
    66.903,   12.6000
    67.000,   12.6000
    67.104,   12.6000
    67.201,   12.6000
    67.306,   12.6000
    67.403,   12.6000
    67.500,   12.6000
    67.604,   12.6000
    67.701,   12.6000
    67.806,   12.6000
    67.903,   12.6000
    68.000,   12.6000
    68.104,   12.6000
    68.201,   12.6000
    68.306,   12.6000
    68.403,   12.6000
    68.500,   12.6000
    68.604,   12.6000
    68.701,   12.6000
    68.806,   12.6000
    68.903,   12.6000
    69.000,   12.6000
    69.104,   12.6000
    69.201,   12.6000
    69.306,   12.6000
    69.403,   12.6000
    69.500,   12.6000
    69.604,   12.6000
    69.701,   12.6000
    69.806,   12.6000
    69.903,   12.6000
    70.000,   12.6000
    70.104,   12.6000
    70.201,   12.6000
    70.306,   12.6000
    70.403,   12.6000
    70.500,   12.6000
    70.604,   12.6000
    70.701,   12.6000
    70.806,   12.6000
    70.903,   12.6000
    71.000,   12.6000
    71.104,   12.6000
    71.201,   12.6000
    71.306,   12.6000
    71.403,   12.6000
    71.500,   12.6000
    71.604,   12.6000
    71.701,   12.6000
    71.806,   12.6000
    71.903,   12.6000
    72.000,   12.6000
    72.104,   12.6000
    72.201,   12.6000
    72.306,   12.6000
    72.403,   12.6000
    72.500,   12.6000
    72.604,   12.6000
    72.701,   12.6000
    72.806,   12.6000
    72.903,   12.6000
    73.000,   12.6000
    73.104,   12.6000
    73.201,   12.6000
    73.306,   12.6000
    73.403,   12.6000
    73.500,   12.6000
    73.604,   12.6000
    73.701,   12.6000
    73.806,   12.6000
    73.903,   12.6000
    74.000,   12.6000
    74.104,   12.6000
    74.201,   12.6000
    74.306,   12.6000
    74.403,   12.6000
    74.500,   12.6000
    74.604,   12.6000
    74.701,   12.6000
    74.806,   12.6000
    74.903,   12.6000
    75.000,   12.6000
    75.104,   12.6000
    75.201,   12.6000
    75.306,   12.6000
    75.403,   12.6000
    75.500,   12.6000
    75.604,   12.6000
    75.701,   12.6000
    75.806,   12.6000
    75.903,   12.6000
    76.000,   12.6000
    76.104,   12.6000
    76.201,   12.6000
    76.306,   12.6000
    76.403,   12.6000
    76.500,   12.6000
    76.604,   12.6000
    76.701,   12.6000
    76.806,   12.6000
    76.903,   12.6000
    77.000,   12.6000
    77.104,   12.6000
    77.201,   12.6000
    77.306,   12.6000
    77.403,   12.6000
    77.500,   12.6000
    77.604,   12.6000
    77.701,   12.6000
    77.806,   12.6000
    77.903,   12.6000
    78.000,   12.6000
    78.104,   12.6000
    78.201,   12.6000
    78.306,   12.6000
    78.403,   12.6000
    78.500,   12.6000
    78.604,   12.6000
    78.701,   12.6000
    78.806,   12.6000
    78.903,   12.6000
    79.000,   12.6000
    79.104,   12.6000
    79.201,   12.6000
    79.306,   12.6000
    79.403,   12.6000
    79.500,   12.6000
    79.604,   12.6000
    79.701,   12.6000
    79.806,   12.6000
    79.903,   12.6000
