Constituent,Julian_day,Seg_26 ,
Temperature,   100.701,      11.546,
TDS                                   ,   100.701,     51.0594,
GC1                                   ,   100.701,    100.0000,
ISS                                   ,   100.701,      0.1682,
Phosphate                             ,   100.701,      0.0469,
Ammonium                              ,   100.701,      0.1906,
Nitrate-Nitrite                       ,   100.701,      0.2561,
Labile_DOM                            ,   100.701,      0.0313,
Refractory_DOM                        ,   100.701,      2.0641,
Labile_POM                            ,   100.701,      0.0157,
Algae                                 ,   100.701,      0.0007,
Dissolved_oxygen                      ,   100.701,      8.4403,
Total_nitrogen                        ,   100.701,      0.6156,
Unionized_ammonia                     ,   100.701,      0.0005,
Total_phosphorus                      ,   100.701,      0.0574,
Turbidity                             ,   100.701,      0.1714,
Total_suspended_Solids                ,   100.701,      0.1847,
pH_                                   ,   100.701,      7.0341,
Secchi_disk_depth                     ,   100.701,      3.2973,
Temperature,   110.701,      12.101,
TDS                                   ,   110.701,     51.1239,
GC1                                   ,   110.701,    100.0000,
ISS                                   ,   110.701,      0.0839,
Phosphate                             ,   110.701,      0.0468,
Ammonium                              ,   110.701,      0.1802,
Nitrate-Nitrite                       ,   110.701,      0.3097,
Labile_DOM                            ,   110.701,      0.0108,
Refractory_DOM                        ,   110.701,      2.1401,
Labile_POM                            ,   110.701,      0.0085,
Algae                                 ,   110.701,      0.0004,
Dissolved_oxygen                      ,   110.701,      7.9193,
Total_nitrogen                        ,   110.701,      0.6626,
Unionized_ammonia                     ,   110.701,      0.0006,
Total_phosphorus                      ,   110.701,      0.0576,
Turbidity                             ,   110.701,      0.0815,
Total_suspended_Solids                ,   110.701,      0.0927,
pH_                                   ,   110.701,      7.0949,
Secchi_disk_depth                     ,   110.701,      3.3143,
Temperature,   120.701,      13.740,
TDS                                   ,   120.701,     51.1531,
GC1                                   ,   120.701,    100.0000,
ISS                                   ,   120.701,      0.0346,
Phosphate                             ,   120.701,      0.0478,
Ammonium                              ,   120.701,      0.1716,
Nitrate-Nitrite                       ,   120.701,      0.3660,
Labile_DOM                            ,   120.701,      0.0039,
Refractory_DOM                        ,   120.701,      2.1756,
Labile_POM                            ,   120.701,      0.0044,
Algae                                 ,   120.701,      0.0010,
Dissolved_oxygen                      ,   120.701,      7.1766,
Total_nitrogen                        ,   120.701,      0.7124,
Unionized_ammonia                     ,   120.701,      0.0007,
Total_phosphorus                      ,   120.701,      0.0588,
Turbidity                             ,   120.701,      0.0329,
Total_suspended_Solids                ,   120.701,      0.0401,
pH_                                   ,   120.701,      7.1430,
Secchi_disk_depth                     ,   120.701,      3.3228,
Temperature,   130.701,      14.418,
TDS                                   ,   130.701,     51.1544,
GC1                                   ,   130.701,    100.0000,
ISS                                   ,   130.701,      0.0166,
Phosphate                             ,   130.701,      0.0491,
Ammonium                              ,   130.701,      0.1688,
Nitrate-Nitrite                       ,   130.701,      0.4155,
Labile_DOM                            ,   130.701,      0.0020,
Refractory_DOM                        ,   130.701,      2.1859,
Labile_POM                            ,   130.701,      0.0032,
Algae                                 ,   130.701,      0.0028,
Dissolved_oxygen                      ,   130.701,      6.2919,
Total_nitrogen                        ,   130.701,      0.7598,
Unionized_ammonia                     ,   130.701,      0.0007,
Total_phosphorus                      ,   130.701,      0.0600,
Turbidity                             ,   130.701,      0.0174,
Total_suspended_Solids                ,   130.701,      0.0226,
pH_                                   ,   130.701,      7.1406,
Secchi_disk_depth                     ,   130.701,      3.3233,
Temperature,   140.701,      15.558,
TDS                                   ,   140.701,     51.1692,
GC1                                   ,   140.701,    100.0000,
ISS                                   ,   140.701,      0.0069,
Phosphate                             ,   140.701,      0.0502,
Ammonium                              ,   140.701,      0.1514,
Nitrate-Nitrite                       ,   140.701,      0.4643,
Labile_DOM                            ,   140.701,      0.0017,
Refractory_DOM                        ,   140.701,      2.2523,
Labile_POM                            ,   140.701,      0.0051,
Algae                                 ,   140.701,      0.0158,
Dissolved_oxygen                      ,   140.701,      5.8323,
Total_nitrogen                        ,   140.701,      0.7976,
Unionized_ammonia                     ,   140.701,      0.0008,
Total_phosphorus                      ,   140.701,      0.0616,
Turbidity                             ,   140.701,      0.0208,
Total_suspended_Solids                ,   140.701,      0.0278,
pH_                                   ,   140.701,      7.1695,
Secchi_disk_depth                     ,   140.701,      3.3023,
Temperature,   150.701,      16.925,
TDS                                   ,   150.701,     51.1694,
GC1                                   ,   150.701,    100.0000,
ISS                                   ,   150.701,      0.0031,
Phosphate                             ,   150.701,      0.0508,
Ammonium                              ,   150.701,      0.1430,
Nitrate-Nitrite                       ,   150.701,      0.4968,
Labile_DOM                            ,   150.701,      0.0057,
Refractory_DOM                        ,   150.701,      2.2814,
Labile_POM                            ,   150.701,      0.0228,
Algae                                 ,   150.701,      0.0929,
Dissolved_oxygen                      ,   150.701,      5.4608,
Total_nitrogen                        ,   150.701,      0.8320,
Unionized_ammonia                     ,   150.701,      0.0011,
Total_phosphorus                      ,   150.701,      0.0628,
Turbidity                             ,   150.701,      0.1047,
Total_suspended_Solids                ,   150.701,      0.1187,
pH_                                   ,   150.701,      7.2509,
Secchi_disk_depth                     ,   150.701,      3.1756,
Temperature,   160.701,      18.066,
TDS                                   ,   160.701,     51.1684,
GC1                                   ,   160.701,    100.0000,
ISS                                   ,   160.701,      0.0016,
Phosphate                             ,   160.701,      0.0467,
Ammonium                              ,   160.701,      0.1410,
Nitrate-Nitrite                       ,   160.701,      0.4495,
Labile_DOM                            ,   160.701,      0.0325,
Refractory_DOM                        ,   160.701,      2.3081,
Labile_POM                            ,   160.701,      0.1388,
Algae                                 ,   160.701,      0.4218,
Dissolved_oxygen                      ,   160.701,      5.5835,
Total_nitrogen                        ,   160.701,      0.8230,
Unionized_ammonia                     ,   160.701,      0.0113,
Total_phosphorus                      ,   160.701,      0.0612,
Turbidity                             ,   160.701,      0.5821,
Total_suspended_Solids                ,   160.701,      0.5618,
pH_                                   ,   160.701,      7.7689,
Secchi_disk_depth                     ,   160.701,      2.7439,
Temperature,   170.701,      18.354,
TDS                                   ,   170.701,     51.1592,
GC1                                   ,   170.701,    100.0000,
ISS                                   ,   170.701,      0.0007,
Phosphate                             ,   170.701,      0.0397,
Ammonium                              ,   170.701,      0.1401,
Nitrate-Nitrite                       ,   170.701,      0.3535,
Labile_DOM                            ,   170.701,      0.0646,
Refractory_DOM                        ,   170.701,      2.3376,
Labile_POM                            ,   170.701,      0.3531,
Algae                                 ,   170.701,      0.6920,
Dissolved_oxygen                      ,   170.701,      5.6934,
Total_nitrogen                        ,   170.701,      0.7693,
Unionized_ammonia                     ,   170.701,      0.0104,
Total_phosphorus                      ,   170.701,      0.0569,
