 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   64.5000,      0.00,     12.60,    115.00,
   64.6250,      7.29,     12.60,    115.00,
   64.7500,      7.29,     12.60,    115.00,
   64.8750,      7.28,     12.60,    115.00,
   65.0000,      7.29,     12.60,    115.00,
   65.1250,      7.31,     12.60,    115.00,
   65.2500,      7.41,     12.60,    115.00,
   65.3750,      7.45,     12.60,    115.00,
   65.5000,      7.51,     12.60,    115.00,
   65.6250,      7.54,     12.60,    110.00,
   65.7500,      7.62,     12.60,    110.00,
   65.8750,      7.71,     12.60,    110.00,
   66.0000,      7.78,     12.60,    110.00,
   66.1250,      7.74,     12.60,    110.00,
   66.2500,      7.67,     12.60,    110.00,
   66.3750,      7.63,     12.60,    110.00,
   66.5000,      7.60,     12.60,    110.00,
   66.6250,      7.55,     12.60,    110.00,
   66.7500,      7.52,     12.60,    110.00,
   66.8750,      7.49,     12.60,    110.00,
   67.0000,      7.46,     12.60,    110.00,
   67.1250,      7.44,     12.60,    110.00,
   67.2500,      7.42,     12.60,    110.00,
   67.3750,      7.39,     12.60,    110.00,
   67.5000,      7.35,     12.60,    110.00,
   67.6250,      7.30,     12.60,    110.00,
   67.7500,      7.31,     12.60,    110.00,
   67.8750,      7.33,     12.60,    110.00,
   68.0000,      7.35,     12.60,    110.00,
   68.1250,      7.39,     12.60,    110.00,
   68.2500,      7.44,     12.60,    110.00,
   68.3750,      7.53,     12.60,    110.00,
   68.5000,      7.78,     12.60,    110.00,
   68.6250,      8.23,     12.60,    110.00,
   68.7500,      8.53,     12.60,    110.00,
   68.8750,      8.72,     12.60,    110.00,
   69.0000,      8.80,     12.60,    110.00,
   69.1250,      8.83,     12.60,    110.00,
   69.2500,      8.80,     12.60,    110.00,
   69.3750,      8.73,     12.60,    110.00,
   69.5000,      8.68,     12.60,    110.00,
   69.6250,      8.62,     12.60,    110.00,
   69.7500,      8.45,     12.60,    110.00,
   69.8750,      8.16,     12.60,    110.00,
   70.0000,      7.94,     12.60,    110.00,
   70.1250,      7.78,     12.60,    110.00,
   70.2500,      7.64,     12.60,    110.00,
   70.3750,      7.56,     12.60,    110.00,
   70.5000,      7.61,     12.60,    110.00,
   70.6250,      7.71,     12.60,    110.00,
   70.7500,      7.83,     12.60,    110.00,
   70.8750,      7.92,     12.60,    110.00,
   71.0000,      7.81,     12.60,    110.00,
   71.1250,      7.52,     12.60,    110.00,
   71.2500,      7.37,     12.60,    110.00,
   71.3750,      7.37,     12.60,    110.00,
   71.5000,      7.40,     12.60,    110.00,
   71.6250,      7.50,     12.60,    110.00,
   71.7500,      7.50,     12.60,    110.00,
   71.8750,      7.45,     12.60,    110.00,
   72.0000,      7.38,     12.60,    110.00,
   72.1250,      7.28,     12.60,    110.00,
   72.2500,      7.19,     12.60,    110.00,
   72.3750,      7.15,     12.60,    110.00,
   72.5000,      7.11,     12.60,    110.00,
   72.6250,      7.07,     12.60,    110.00,
   72.7500,      7.04,     12.60,    110.00,
   72.8750,      7.04,     12.60,    110.00,
   73.0000,      7.05,     12.60,    110.00,
   73.1250,      7.07,     12.60,    110.00,
   73.2500,      7.11,     12.60,    110.00,
   73.3750,      7.22,     12.60,    110.00,
   73.5000,      7.55,     12.60,    110.00,
