JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     TDS,    Gen1,    Gen3,    ISS1,      N2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,MICROCYS,     EPI,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,NH4NITR (kg/d),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),NH3GAS  (kg/d),NO3DEN  (kg/d),NO3AG   (kg/d),NO3EG   (kg/d),NO3SED  (kg/d),LDOMDK  (kg/d),LRDOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d), CO2GASX(kg/d), SD_C_IN(kg/d), SD_N_IN(kg/d), SD_P_IN(kg/d), DOSEDIA(kg/d),PLIM_ALG1    ,NLIM_ALG1    ,LLIM_ALG1    ,
    64.500,   600.000,   123.800,     7.400,    -0.001,     8.603,   265.401,     0.510,    51.450,  2866.000,     1.000,     7.173,   253.587,   250.378,   317.874,   341.344,     1.715,   -28.395,     0.289,    51.000,   100.000,    10.000,     2.000,    20.000,     0.010,     0.140,     0.140,     0.700,     2.022,     0.100,     0.100,    11.100,    11.910,    31.000,      0.00,     0.000,    0.5138,    0.0000,    0.0246,     2.503,     2.200,     6.700,     2.941, 0.134E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.594E-08, 0.121E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.426E+03, 0.142E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     0.495,     0.952,     0.829,
    64.604,   600.000,   123.800,     7.523,    -0.006,    12.776,   222.543,     0.508,    51.450,  2866.000,     1.000,     7.202,   226.990,   209.946,   323.658,   341.930,    -1.278,   -34.038,     0.290,    51.000,   100.000,     9.144,     1.947,    19.979,     0.010,     0.140,     0.140,     0.695,     2.022,     0.099,     0.092,    11.113,    11.813,    31.000, 0.263E-03,     0.000,    0.5129,    0.0001,    0.0245,     2.428,     2.140,     6.710,     2.954, 0.138E+02, 0.510E+00, 0.634E+01,-0.583E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.131E+01, 0.351E+02, 0.364E+02, 0.000E+00, 0.000E+00, 0.310E-01, 0.125E-01, 0.634E+01, 0.000E+00, 0.000E+00, 0.434E+03, 0.145E+02, 0.192E+04, 0.000E+00,-0.105E+05, 0.000E+00, 0.000E+00, 0.000E+00,-0.945E+01,     0.498,     0.952,     0.781,
    64.701,   600.000,   123.800,     7.577,    -0.009,    12.420,    77.097,     0.503,    51.450,  2866.000,     1.000,     7.220,   122.418,    72.733,   331.841,   342.229,   -14.127,   -45.947,     0.341,    51.000,   100.000,     8.410,     1.910,    19.961,     0.010,     0.140,     0.140,     0.691,     2.022,     0.098,     0.074,    11.121,    11.739,    31.000, 0.474E-03,     0.000,    0.5113,    0.0001,    0.0244,     2.354,     2.081,     6.720,     2.980, 0.141E+02, 0.413E+00, 0.423E+01,-0.382E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.131E+01, 0.352E+02, 0.365E+02, 0.000E+00, 0.000E+00, 0.347E-01, 0.126E-01, 0.423E+01, 0.000E+00, 0.000E+00, 0.436E+03, 0.145E+02, 0.218E+04, 0.000E+00,-0.121E+05, 0.000E+00, 0.000E+00, 0.000E+00,-0.157E+02,     0.502,     0.952,     0.410,
    64.806,   600.000,   123.800,     7.593,    -0.013,    12.998,     0.000,     0.499,    51.450,  2866.000,     1.000,     7.229,    70.109,     0.000,   340.156,   342.279,   -24.767,   -47.465,     0.236,    51.000,   100.000,     7.688,     1.872,    19.941,     0.010,     0.141,     0.140,     0.686,     2.022,     0.097,     0.055,    11.128,    11.658,    31.000, 0.654E-03,     0.000,    0.5098,    0.0001,    0.0244,     2.287,     2.027,     6.730,     3.004, 0.142E+02, 0.313E+00, 0.000E+00, 0.313E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.131E+01, 0.351E+02, 0.364E+02, 0.000E+00, 0.000E+00, 0.296E-01, 0.127E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.434E+03, 0.145E+02, 0.148E+04, 0.000E+00,-0.818E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.223E+02,     0.508,     0.953,     0.000,
    64.903,   600.000,   123.800,     7.616,    -0.003,    12.666,     0.000,     0.496,    51.450,  2866.000,     1.000,     7.235,    64.330,     0.000,   344.238,   342.389,   -24.407,   -38.074,     0.134,    51.000,   100.000,     7.069,     1.831,    19.934,     0.010,     0.141,     0.140,     0.681,     2.022,     0.095,     0.043,    11.126,    11.630,    31.000, 0.779E-03,     0.000,    0.5088,    0.0001,    0.0244,     2.220,     1.973,     6.730,     3.023, 0.143E+02, 0.247E+00, 0.000E+00, 0.247E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.130E+01, 0.350E+02, 0.363E+02, 0.000E+00, 0.000E+00, 0.171E-01, 0.128E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.434E+03, 0.145E+02, 0.839E+03, 0.000E+00,-0.465E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.284E+02,     0.515,     0.953,     0.000,
    65.000,   600.000,   123.800,     7.640,     0.007,    12.670,     0.000,     0.495,    51.450,  2866.000,     1.000,     7.241,    66.682,     0.000,   340.906,   342.507,   -31.690,   -36.593,     0.134,    51.000,   100.000,     6.500,     1.793,    19.927,     0.010,     0.141,     0.141,     0.677,     2.023,     0.094,     0.041,    11.123,    11.605,    31.000, 0.886E-03,     0.000,    0.5084,    0.0001,    0.0246,     2.167,     1.930,     6.730,     3.030, 0.144E+02, 0.230E+00, 0.000E+00, 0.230E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.129E+01, 0.350E+02, 0.363E+02, 0.000E+00, 0.000E+00, 0.186E-01, 0.129E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.433E+03, 0.144E+02, 0.834E+03, 0.000E+00,-0.464E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.344E+02,     0.524,     0.953,     0.000,
    65.104,   600.000,   123.802,     7.623,     0.029,    13.804,     0.000,     0.496,    51.452,  2866.000,     1.000,     7.241,   -59.435,     0.000,   305.769,   342.447,    36.083,   -13.326,     0.329,    51.000,   100.000,     5.942,     1.763,    19.917,     0.011,     0.141,     0.141,     0.672,     2.023,     0.093,     0.048,    11.123,    11.564,    31.000, 0.101E-02,     0.000,    0.5089,    0.0001,    0.0249,     2.137,     1.906,     6.740,     3.025, 0.143E+02, 0.269E+00, 0.000E+00, 0.269E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.127E+01, 0.346E+02, 0.359E+02, 0.000E+00, 0.000E+00, 0.361E-01, 0.129E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.428E+03, 0.143E+02, 0.206E+04, 0.000E+00,-0.112E+05, 0.000E+00, 0.000E+00, 0.000E+00,-0.408E+02,     0.535,     0.953,     0.000,
    65.201,   600.000,   123.801,     7.547,     0.050,    11.974,     0.000,     0.498,    51.451,  2866.000,     1.000,     7.229,  -150.949,     0.000,   258.699,   342.088,    54.870,    12.690,     0.295,    51.000,   100.000,     5.465,     1.743,    19.904,     0.011,     0.142,     0.141,     0.668,     2.023,     0.093,     0.062,    11.128,    11.499,    31.000, 0.116E-02,     0.000,    0.5100,    0.0001,    0.0256,     2.128,     1.898,     6.740,     3.010, 0.141E+02, 0.339E+00, 0.000E+00, 0.339E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.124E+01, 0.339E+02, 0.351E+02, 0.000E+00, 0.000E+00, 0.339E-01, 0.126E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.419E+03, 0.140E+02, 0.189E+04, 0.000E+00,-0.992E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.466E+02,     0.550,     0.953,     0.000,
    65.306,   600.000,   123.801,     7.474,     0.047,    12.742,    51.949,     0.501,    51.451,  2866.000,     1.000,     7.210,  -122.502,    49.008,   245.035,   341.720,    56.331,    18.495,     0.239,    51.000,   100.000,     4.999,     1.753,    19.912,     0.012,     0.142,     0.141,     0.663,     2.023,     0.093,     0.075,    11.115,    11.527,    31.000, 0.138E-02,     0.000,    0.5110,    0.0001,    0.0263,     2.156,     1.921,     6.740,     2.994, 0.138E+02, 0.403E+00, 0.301E+01,-0.260E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.123E+01, 0.331E+02, 0.344E+02, 0.000E+00, 0.000E+00, 0.303E-01, 0.124E-01, 0.299E+01, 0.000E+00, 0.000E+00, 0.410E+03, 0.137E+02, 0.161E+04, 0.000E+00,-0.806E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.528E+02,     0.564,     0.953,     0.298,
    65.403,   600.000,   123.801,     7.508,     0.049,    12.620,   475.656,     0.503,    51.451,  2866.000,     1.000,     7.216,   276.130,   448.733,   245.662,   341.827,    66.085,    10.353,     0.290,    51.000,   100.000,     4.599,     1.719,    19.900,     0.013,     0.142,     0.141,     0.659,     2.023,     0.092,     0.087,    11.122,    11.466,    31.000, 0.156E-02,     0.000,    0.5119,    0.0001,    0.0270,     2.130,     1.900,     6.750,     2.982, 0.140E+02, 0.476E+00, 0.693E+01,-0.645E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.122E+01, 0.332E+02, 0.344E+02, 0.000E+00, 0.000E+00, 0.343E-01, 0.125E-01, 0.689E+01, 0.000E+00, 0.000E+00, 0.410E+03, 0.137E+02, 0.191E+04, 0.000E+00,-0.958E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.585E+02,     0.581,     0.953,     0.881,
    65.500,   600.000,   123.801,     7.711,     0.053,    12.642,   757.994,     0.503,    51.451,  2866.000,     1.000,     7.270,   570.682,   715.089,   258.308,   342.777,    67.786,    -7.849,     0.291,    51.000,   100.000,     4.229,     1.686,    19.888,     0.013,     0.142,     0.141,     0.655,     2.023,     0.091,     0.091,    11.128,    11.402,    31.000, 0.177E-02,     0.000,    0.5120,    0.0001,    0.0277,     2.093,     1.870,     6.750,     2.980, 0.148E+02, 0.523E+00, 0.781E+01,-0.729E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.126E+01, 0.343E+02, 0.356E+02, 0.000E+00, 0.000E+00, 0.352E-01, 0.132E-01, 0.777E+01, 0.000E+00, 0.000E+00, 0.425E+03, 0.142E+02, 0.174E+04, 0.000E+00,-0.954E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.641E+02,     0.596,     0.953,     0.752,
    65.604,   600.000,   123.801,     7.957,     0.054,    12.368,   640.774,     0.501,    51.451,  2866.000,     1.000,     7.354,   493.927,   604.504,   273.797,   343.995,    64.811,   -24.432,     0.228,    51.000,   100.000,     3.863,     1.657,    19.876,     0.014,     0.142,     0.141,     0.650,     2.023,     0.090,     0.080,    11.129,    11.356,    31.000, 0.198E-02,     0.000,    0.5110,    0.0001,    0.0283,     2.044,     1.830,     6.760,     2.995, 0.157E+02, 0.491E+00, 0.751E+01,-0.702E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.131E+01, 0.358E+02, 0.371E+02, 0.000E+00, 0.000E+00, 0.328E-01, 0.141E-01, 0.746E+01, 0.000E+00, 0.000E+00, 0.443E+03, 0.148E+02, 0.120E+04, 0.000E+00,-0.730E+04, 0.000E+00, 0.000E+00, 0.000E+00,-0.701E+02,     0.610,     0.953,     0.815,
