$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
    64.500,    7.40
    64.604,    7.40
    64.701,    7.42
    64.806,    7.42
    64.903,    7.43
    65.000,    7.46
    65.104,    7.52
    65.201,    7.54
    65.306,    7.49
    65.403,    7.50
    65.500,    7.58
    65.604,    7.80
    65.701,    7.99
    65.806,    8.06
    65.903,    8.02
    66.000,    7.97
    66.104,    7.93
    66.201,    7.89
    66.306,    7.85
    66.403,    7.84
    66.500,    7.86
    66.604,    7.87
    66.701,    7.85
    66.806,    7.78
    66.903,    7.71
    67.000,    7.66
    67.104,    7.60
    67.201,    7.57
    67.306,    7.54
    67.403,    7.52
    67.500,    7.51
    67.604,    7.56
    67.701,    7.77
    67.806,    8.03
    67.903,    8.17
    68.000,    8.24
    68.104,    8.24
    68.201,    8.32
    68.306,    8.37
    68.403,    8.43
    68.500,    8.54
    68.604,    8.75
    68.701,    8.98
    68.806,    9.07
    68.903,    9.05
    69.000,    9.02
    69.104,    8.99
    69.201,    8.96
    69.306,    8.93
    69.403,    8.94
    69.500,    8.98
    69.604,    9.04
    69.701,    9.04
    69.806,    8.98
    69.903,    8.90
    70.000,    8.82
    70.104,    8.79
    70.201,    8.71
    70.306,    8.65
    70.403,    8.66
    70.500,    8.79
    70.604,    9.13
    70.701,    9.51
    70.806,    9.67
    70.903,    9.64
    71.000,    9.62
    71.104,    9.58
    71.201,    9.53
    71.306,    9.47
    71.403,    9.42
    71.500,    9.31
    71.604,    9.25
    71.701,    9.10
    71.806,    8.91
    71.903,    8.69
    72.000,    8.47
    72.104,    8.17
    72.201,    7.93
    72.306,    7.80
    72.403,    7.72
    72.500,    7.64
    72.604,    7.54
    72.701,    7.46
    72.806,    7.39
    72.903,    7.40
    73.000,    7.43
    73.104,    7.46
    73.201,    7.52
    73.306,    7.52
    73.403,    7.59
    73.500,    7.80
    73.604,    8.23
    73.701,    8.55
    73.806,    8.69
    73.903,    8.76
    74.000,    8.80
    74.104,    8.81
    74.201,    8.81
    74.306,    8.80
    74.403,    8.83
    74.500,    8.90
    74.604,    8.99
    74.701,    9.03
    74.806,    8.99
    74.903,    8.94
    75.000,    8.91
    75.104,    8.87
    75.201,    8.81
    75.306,    8.76
    75.403,    8.72
    75.500,    8.73
    75.604,    8.60
    75.701,    8.32
    75.806,    7.95
    75.903,    7.81
    76.000,    7.69
    76.104,    7.66
    76.201,    7.66
    76.306,    7.71
    76.403,    7.77
    76.500,    7.82
    76.604,    7.91
    76.701,    7.92
    76.806,    7.88
    76.903,    7.85
    77.000,    7.83
    77.104,    7.82
    77.201,    7.83
    77.306,    7.85
    77.403,    7.95
    77.500,    8.17
    77.604,    8.41
    77.701,    8.69
    77.806,    8.82
    77.903,    8.86
    78.000,    8.87
    78.104,    8.87
    78.201,    8.86
    78.306,    8.85
    78.403,    8.88
    78.500,    9.00
    78.604,    9.21
    78.701,    9.29
    78.806,    9.28
    78.903,    9.23
    79.000,    9.16
    79.104,    9.09
    79.201,    9.06
    79.306,    9.06
    79.403,    9.04
    79.500,    9.02
    79.604,    9.02
    79.701,    9.12
    79.806,    9.11
    79.903,    9.09
    80.000,    9.05
    80.104,    9.02
    80.201,    9.00
    80.306,    9.00
    80.403,    9.02
    80.500,    9.01
    80.604,    9.02
    80.701,    9.18
    80.806,    9.49
    80.903,    9.54
    81.000,    9.53
    81.104,    9.51
    81.201,    9.50
    81.306,    9.49
    81.403,    9.51
    81.500,    9.64
    81.604,   10.04
    81.701,   10.34
    81.806,   10.43
    81.903,   10.41
    82.000,   10.37
    82.104,   10.33
    82.201,   10.28
    82.306,   10.22
    82.403,   10.22
    82.500,   10.24
    82.604,   10.14
    82.701,    9.92
    82.806,    9.69
    82.903,    9.55
    83.000,    9.48
    83.104,    9.47
    83.201,    9.46
    83.306,    9.45
    83.403,    9.46
    83.500,    9.43
    83.604,    9.36
    83.701,    9.34
    83.806,    9.28
    83.903,    9.19
    84.000,    9.13
    84.104,    9.12
    84.201,    9.19
    84.306,    9.19
    84.403,    9.25
    84.500,    9.36
    84.604,    9.53
    84.701,    9.76
    84.806,    9.89
    84.903,    9.93
    85.000,    9.94
    85.104,    9.93
    85.201,    9.92
    85.306,    9.92
    85.403,    9.92
    85.500,    9.94
    85.604,    9.96
    85.701,    9.96
    85.806,    9.94
    85.903,    9.92
    86.000,    9.89
    86.104,    9.84
    86.201,    9.79
    86.306,    9.73
    86.403,    9.65
    86.500,    9.68
    86.604,    9.65
    86.701,    9.62
    86.806,    9.54
    86.903,    9.48
    87.000,    9.44
    87.104,    9.38
    87.201,    9.30
    87.306,    9.23
    87.403,    9.18
    87.500,    9.13
    87.604,    9.09
    87.701,    9.02
    87.806,    9.03
    87.903,    9.01
    88.000,    8.99
    88.104,    9.02
    88.201,    9.06
    88.306,    9.11
    88.403,    9.18
    88.500,    9.33
    88.604,    9.64
    88.701,   10.06
    88.806,   10.35
    88.903,   10.38
    89.000,   10.40
    89.104,   10.38
    89.201,   10.37
    89.306,   10.35
    89.403,   10.36
    89.500,   10.38
    89.604,   10.36
    89.701,   10.33
    89.806,   10.02
    89.903,    9.72
    90.000,    9.66
    90.104,    9.80
    90.201,    9.89
    90.306,    9.84
    90.403,    9.90
    90.500,    9.97
    90.604,   10.08
    90.701,   10.17
    90.806,   10.19
    90.903,   10.20
    91.000,   10.20
    91.104,   10.20
    91.201,   10.19
    91.306,   10.20
    91.403,   10.23
    91.500,   10.32
    91.604,   10.64
    91.701,   10.80
    91.806,   10.88
    91.903,   10.85
    92.000,   10.78
    92.104,   10.71
    92.201,   10.63
    92.306,   10.56
    92.403,   10.49
    92.500,   10.53
    92.604,   10.47
    92.701,   10.30
    92.806,   10.12
    92.903,   10.05
    93.000,   10.09
    93.104,   10.26
    93.201,   10.37
    93.306,   10.37
    93.403,   10.42
    93.500,   10.43
    93.604,   10.34
    93.701,   10.11
    93.806,    9.98
    93.903,   10.01
    94.000,    9.94
    94.104,    9.98
    94.201,   10.14
    94.306,   10.26
    94.403,   10.41
    94.500,   10.67
    94.604,   11.07
    94.701,   11.46
    94.806,   11.64
    94.903,   11.71
    95.000,   11.77
    95.104,   11.82
    95.201,   11.84
    95.306,   11.85
    95.403,   11.93
    95.500,   12.19
    95.604,   12.48
    95.701,   12.79
    95.806,   12.87
    95.903,   12.83
    96.000,   12.80
    96.104,   12.76
    96.201,   12.73
    96.306,   12.70
    96.403,   12.72
    96.500,   12.77
    96.604,   12.88
    96.701,   12.92
    96.806,   12.38
    96.903,   11.69
    97.000,   11.49
    97.104,   11.66
    97.201,   11.78
    97.306,   11.76
    97.403,   11.70
    97.500,   11.64
    97.604,   11.65
    97.701,   11.78
    97.806,   11.84
    97.903,   11.78
    98.000,   11.77
    98.104,   11.81
    98.201,   11.88
    98.306,   11.89
    98.403,   11.93
    98.500,   12.01
    98.604,   12.10
    98.701,   12.07
    98.806,   11.76
    98.903,   11.57
    99.000,   11.51
    99.104,   11.48
    99.201,   11.72
    99.306,   11.91
    99.403,   12.07
    99.500,   12.41
    99.604,   12.88
    99.701,   13.25
    99.806,   13.36
    99.903,   13.38
   100.000,   13.37
   100.104,   13.36
   100.201,   13.34
   100.306,   13.31
   100.403,   13.35
   100.500,   13.48
   100.604,   13.84
   100.701,   14.05
   100.806,   14.06
   100.903,   13.98
   101.000,   13.94
   101.104,   13.86
   101.201,   13.82
   101.306,   13.79
   101.403,   13.82
   101.500,   13.97
   101.604,   14.30
   101.701,   14.54
   101.806,   14.62
   101.903,   14.59
   102.000,   14.52
   102.104,   14.39
   102.201,   14.24
   102.306,   14.09
   102.403,   13.98
   102.500,   13.95
   102.604,   14.01
   102.701,   14.08
   102.806,   14.01
   102.903,   13.85
   103.000,   13.73
   103.104,   13.80
   103.201,   13.93
   103.306,   13.92
   103.403,   13.89
   103.500,   13.91
   103.604,   13.94
   103.701,   13.95
   103.806,   13.94
   103.903,   13.89
   104.000,   13.83
   104.104,   13.69
   104.201,   13.56
   104.306,   13.44
   104.403,   13.38
   104.500,   13.32
   104.604,   13.31
   104.701,   13.32
   104.806,   13.27
   104.903,   13.23
   105.000,   13.19
