$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,T(C)
    64.500,    7.25
    64.604,    7.28
    64.701,    7.29
    64.806,    7.28
    64.903,    7.28
    65.000,    7.29
    65.104,    7.30
    65.201,    7.40
    65.306,    7.43
    65.403,    7.47
    65.500,    7.51
    65.604,    7.53
    65.701,    7.59
    65.806,    7.66
    65.903,    7.72
    66.000,    7.78
    66.104,    7.75
    66.201,    7.69
    66.306,    7.63
    66.403,    7.62
    66.500,    7.60
    66.604,    7.55
    66.701,    7.53
    66.806,    7.50
    66.903,    7.48
    67.000,    7.46
    67.104,    7.45
    67.201,    7.43
    67.306,    7.41
    67.403,    7.38
    67.500,    7.35
    67.604,    7.31
    67.701,    7.30
    67.806,    7.31
    67.903,    7.33
    68.000,    7.35
    68.104,    7.38
    68.201,    7.42
    68.306,    7.46
    68.403,    7.57
    68.500,    7.78
    68.604,    8.16
    68.701,    8.44
    68.806,    8.62
    68.903,    8.75
    69.000,    8.80
    69.104,    8.82
    69.201,    8.82
    69.306,    8.78
    69.403,    8.73
    69.500,    8.68
    69.604,    8.63
    69.701,    8.53
    69.806,    8.34
    69.903,    8.11
    70.000,    7.94
    70.104,    7.80
    70.201,    7.69
    70.306,    7.60
    70.403,    7.56
    70.500,    7.61
    70.604,    7.69
    70.701,    7.83
    70.806,    7.90
    70.903,    7.90
    71.000,    7.81
    71.104,    7.56
    71.201,    7.41
    71.306,    7.35
    71.403,    7.38
    71.500,    7.40
    71.604,    7.49
    71.701,    7.50
    71.806,    7.48
    71.903,    7.44
    72.000,    7.38
    72.104,    7.30
    72.201,    7.23
    72.306,    7.17
    72.403,    7.14
    72.500,    7.11
    72.604,    7.08
    72.701,    7.05
    72.806,    7.04
    72.903,    7.04
    73.000,    7.05
    73.104,    7.07
    73.201,    7.09
    73.306,    7.14
    73.403,    7.30
    73.500,    7.55
    73.604,    7.88
    73.701,    8.30
    73.806,    8.58
    73.903,    8.70
    74.000,    8.75
    74.104,    8.78
    74.201,    8.80
    74.306,    8.79
    74.403,    8.81
    74.500,    8.83
    74.604,    8.83
    74.701,    8.82
    74.806,    8.82
    74.903,    8.80
    75.000,    8.76
    75.104,    8.66
    75.201,    8.29
    75.306,    7.96
    75.403,    7.88
    75.500,    7.83
    75.604,    7.70
    75.701,    7.56
    75.806,    7.41
    75.903,    7.34
    76.000,    7.30
    76.104,    7.28
    76.201,    7.29
    76.306,    7.32
    76.403,    7.36
    76.500,    7.40
    76.604,    7.43
    76.701,    7.46
    76.806,    7.46
    76.903,    7.47
    77.000,    7.49
    77.104,    7.51
    77.201,    7.55
    77.306,    7.62
    77.403,    7.70
    77.500,    7.83
    77.604,    8.08
    77.701,    8.31
    77.806,    8.54
    77.903,    8.72
    78.000,    8.80
    78.104,    8.82
    78.201,    8.84
    78.306,    8.82
    78.403,    8.85
    78.500,    8.88
    78.604,    8.90
    78.701,    8.91
    78.806,    8.90
    78.903,    8.90
    79.000,    8.84
    79.104,    8.80
    79.201,    8.73
    79.306,    8.53
    79.403,    8.20
    79.500,    7.92
    79.604,    7.78
    79.701,    7.69
    79.806,    7.65
    79.903,    7.62
    80.000,    7.61
    80.104,    7.63
    80.201,    7.68
    80.306,    7.79
    80.403,    7.95
    80.500,    8.04
    80.604,    8.10
    80.701,    8.20
    80.806,    8.66
    80.903,    9.37
    81.000,    9.50
    81.104,    9.50
    81.201,    9.50
    81.306,    9.49
    81.403,    9.49
    81.500,    9.51
    81.604,    9.58
    81.701,    9.66
    81.806,    9.91
    81.903,    9.98
    82.000,    9.89
    82.104,    9.76
    82.201,    9.44
    82.306,    9.29
    82.403,    9.27
    82.500,    9.18
    82.604,    8.92
    82.701,    8.60
    82.806,    8.35
    82.903,    8.22
    83.000,    8.18
    83.104,    8.21
    83.201,    8.24
    83.306,    8.31
    83.403,    8.39
    83.500,    8.45
    83.604,    8.44
    83.701,    8.46
    83.806,    8.44
    83.903,    8.40
    84.000,    8.42
    84.104,    8.47
    84.201,    8.54
    84.306,    8.63
    84.403,    8.91
    84.500,    9.21
    84.604,    9.36
    84.701,    9.49
    84.806,    9.70
    84.903,    9.84
    85.000,    9.89
    85.104,    9.91
    85.201,    9.91
    85.306,    9.91
    85.403,    9.91
    85.500,    9.91
    85.604,    9.87
    85.701,    9.74
    85.806,    9.42
    85.903,    8.93
    86.000,    8.64
    86.104,    8.41
    86.201,    8.34
    86.306,    8.25
    86.403,    8.16
    86.500,    8.11
    86.604,    8.12
    86.701,    8.14
    86.806,    8.18
    86.903,    8.21
    87.000,    8.27
    87.104,    8.33
    87.201,    8.39
    87.306,    8.45
    87.403,    8.51
    87.500,    8.55
    87.604,    8.58
    87.701,    8.59
    87.806,    8.62
    87.903,    8.66
    88.000,    8.69
    88.104,    8.75
    88.201,    8.81
    88.306,    8.85
    88.403,    8.90
    88.500,    8.99
    88.604,    9.04
    88.701,    9.13
    88.806,    9.26
    88.903,    9.36
    89.000,    9.43
    89.104,    9.45
    89.201,    9.44
    89.306,    9.39
    89.403,    9.46
    89.500,    9.43
    89.604,    9.33
    89.701,    9.13
    89.806,    8.90
    89.903,    8.77
    90.000,    8.73
    90.104,    8.73
    90.201,    8.77
    90.306,    8.85
    90.403,    8.94
    90.500,    9.12
    90.604,    9.47
    90.701,    9.83
    90.806,   10.04
    90.903,   10.16
    91.000,   10.16
    91.104,   10.18
    91.201,   10.19
    91.306,   10.20
    91.403,   10.22
    91.500,   10.25
    91.604,   10.29
    91.701,   10.37
    91.806,   10.39
    91.903,   10.19
    92.000,   10.08
    92.104,   10.02
    92.201,    9.79
    92.306,    9.41
    92.403,    9.13
    92.500,    8.85
    92.604,    8.60
    92.701,    8.37
    92.806,    8.31
    92.903,    8.40
    93.000,    8.55
    93.104,    8.84
    93.201,    8.94
    93.306,    9.04
    93.403,    9.13
    93.500,    9.19
    93.604,    9.19
    93.701,    9.19
    93.806,    9.21
    93.903,    9.27
    94.000,    9.35
    94.104,    9.43
    94.201,    9.49
    94.306,    9.53
    94.403,    9.49
    94.500,    9.54
    94.604,    9.83
    94.701,   10.37
    94.806,   10.88
    94.903,   11.29
    95.000,   11.54
    95.104,   11.62
    95.201,   11.65
    95.306,   11.79
    95.403,   11.84
    95.500,   11.85
    95.604,   11.84
    95.701,   11.92
    95.806,   11.85
    95.903,   11.64
    96.000,   11.29
    96.104,   10.97
    96.201,   10.67
    96.306,   10.10
    96.403,    9.95
    96.500,    9.74
    96.604,    9.80
    96.701,    9.82
    96.806,    7.87
    96.903,    7.75
    97.000,    7.96
    97.104,    8.78
    97.201,    9.21
    97.306,    9.45
    97.403,    9.40
    97.500,    9.34
    97.604,    9.50
    97.701,    9.82
    97.806,   10.14
    97.903,   10.37
    98.000,   10.59
    98.104,   10.69
    98.201,   10.73
    98.306,   10.71
    98.403,   10.78
    98.500,   10.79
    98.604,   10.80
    98.701,   10.56
    98.806,   10.14
    98.903,    9.86
    99.000,    9.81
    99.104,    9.82
    99.201,   10.09
    99.306,   10.53
    99.403,   11.09
    99.500,   12.04
    99.604,   12.41
    99.701,   12.83
    99.806,   13.18
    99.903,   13.30
   100.000,   13.35
   100.104,   13.35
   100.201,   13.21
   100.306,   12.47
   100.403,   12.63
   100.500,   12.61
   100.604,   13.05
   100.701,   13.20
   100.806,   13.22
   100.903,   13.37
   101.000,   13.70
   101.104,   13.68
   101.201,   13.64
   101.306,   13.41
   101.403,   12.89
   101.500,   12.59
   101.604,   12.99
   101.701,   12.99
   101.806,   12.72
   101.903,   12.41
   102.000,   12.24
   102.104,   12.08
   102.201,   11.89
   102.306,   11.66
   102.403,   11.51
   102.500,   11.49
   102.604,   11.58
   102.701,   11.69
   102.806,   11.66
   102.903,   11.60
   103.000,   11.63
   103.104,   11.80
   103.201,   11.90
   103.306,   11.96
   103.403,   11.99
   103.500,   12.03
   103.604,   12.01
   103.701,   11.92
   103.806,   11.83
   103.903,   11.66
   104.000,   11.37
   104.104,   11.00
   104.201,   10.79
   104.306,   10.65
   104.403,   10.63
   104.500,   10.72
   104.604,   10.97
   104.701,   11.32
   104.806,   11.56
   104.903,   11.80
   105.000,   12.81
   105.104,   13.00
   105.201,   13.08
   105.306,   13.09
   105.403,   13.11
   105.500,   13.06
   105.604,   13.12
   105.701,   12.97
   105.806,   12.88
   105.903,   12.87
   106.000,   12.82
   106.104,   12.63
   106.201,   12.58
   106.306,   12.56
   106.403,   12.68
   106.500,   12.72
   106.604,   12.81
   106.701,   12.95
   106.806,   13.00
   106.903,   12.99
   107.000,   13.09
   107.104,   13.19
   107.201,   12.99
   107.306,   12.43
   107.403,   12.36
   107.500,   11.89
   107.604,   11.67
   107.701,   11.50
   107.806,   11.33
   107.903,   11.18
   108.000,   11.14
   108.104,   11.27
   108.201,   11.35
   108.306,   11.54
   108.403,   11.84
   108.500,   12.15
   108.604,   12.24
   108.701,   12.22
   108.806,   12.32
   108.903,   12.32
   109.000,   12.19
   109.104,   12.00
   109.201,   11.83
   109.306,   11.70
   109.403,   11.59
   109.500,   11.52
   109.604,   11.42
   109.701,   11.41
   109.806,   11.48
   109.903,   11.59
   110.000,   11.70
   110.104,   11.83
   110.201,   11.97
   110.306,   12.08
   110.403,   12.17
   110.500,   12.34
   110.604,   12.52
   110.701,   12.57
   110.806,   12.42
   110.903,   12.15
   111.000,   11.91
   111.104,   11.83
   111.201,   11.84
   111.306,   11.85
   111.403,   11.92
   111.500,   12.07
   111.604,   12.24
   111.701,   12.31
   111.806,   12.29
   111.903,   12.27
   112.000,   12.27
   112.104,   12.18
   112.201,   12.10
   112.306,   11.96
   112.403,   12.01
   112.500,   12.04
   112.604,   12.07
   112.701,   12.12
   112.806,   12.04
   112.903,   11.93
   113.000,   11.87
   113.104,   11.83
   113.201,   11.68
   113.306,   11.61
   113.403,   11.74
   113.500,   11.86
   113.604,   11.92
   113.701,   11.87
   113.806,   11.83
   113.903,   11.84
   114.000,   11.82
   114.104,   11.74
   114.201,   11.73
   114.306,   11.83
   114.403,   12.03
   114.500,   12.24
   114.604,   12.31
   114.701,   12.24
   114.806,   12.26
   114.903,   12.28
   115.000,   12.12
   115.104,   11.92
   115.201,   11.88
   115.306,   11.85
   115.403,   11.89
   115.500,   12.00
   115.604,   12.15
   115.701,   12.21
   115.806,   12.22
   115.903,   12.13
   116.000,   11.97
   116.104,   11.66
   116.201,   11.31
   116.306,   11.49
   116.403,   11.47
   116.500,   11.50
   116.604,   11.59
   116.701,   11.70
   116.806,   11.93
   116.903,   12.19
   117.000,   12.18
   117.104,   12.31
   117.201,   12.42
   117.306,   12.40
   117.403,   12.32
   117.500,   12.31
   117.604,   12.21
   117.701,   12.09
   117.806,   11.92
   117.903,   11.68
   118.000,   11.61
   118.104,   11.65
   118.201,   11.62
   118.306,   11.60
   118.403,   11.72
   118.500,   11.93
   118.604,   12.51
   118.701,   13.17
   118.806,   13.18
   118.903,   12.52
   119.000,   11.85
   119.104,   11.28
   119.201,   10.83
   119.306,   10.76
   119.403,   10.77
   119.500,   10.86
   119.604,   11.33
   119.701,   11.68
   119.806,   12.14
   119.903,   12.33
   120.000,   11.96
   120.104,   11.41
   120.201,   11.29
   120.306,   11.31
   120.403,   11.23
   120.500,   11.19
   120.604,   11.28
   120.701,   11.61
   120.806,   11.84
   120.903,   11.94
   121.000,   11.98
   121.104,   11.87
   121.201,   11.72
   121.306,   11.49
   121.403,   11.32
   121.500,   11.22
   121.604,   11.09
   121.701,   11.16
   121.806,   11.30
   121.903,   11.64
   122.000,   12.07
   122.104,   12.27
   122.201,   12.49
   122.306,   12.54
   122.403,   12.33
   122.500,   12.07
   122.604,   11.86
   122.701,   11.75
   122.806,   11.71
   122.903,   11.84
   123.000,   12.15
   123.104,   12.52
   123.201,   12.79
   123.306,   12.99
   123.403,   13.01
   123.500,   12.84
   123.604,   12.54
   123.701,   12.25
   123.806,   12.14
   123.903,   12.08
   124.000,   12.04
   124.104,   12.37
   124.201,   12.85
   124.306,   13.18
   124.403,   13.29
   124.500,   13.12
   124.604,   12.71
   124.701,   12.30
   124.806,   11.84
   124.903,   11.54
   125.000,   11.45
   125.104,   11.55
   125.201,   11.98
   125.306,   12.64
   125.403,   12.96
   125.500,   13.01
   125.604,   13.06
   125.701,   12.85
   125.806,   12.41
   125.903,   12.09
   126.000,   11.89
   126.104,   11.90
   126.201,   12.04
   126.306,   12.27
   126.403,   12.67
   126.500,   12.99
   126.604,   13.00
   126.701,   12.94
   126.806,   12.70
   126.903,   12.38
   127.000,   12.09
   127.104,   11.84
   127.201,   11.71
   127.306,   11.69
   127.403,   11.74
   127.500,   11.90
   127.604,   12.22
   127.701,   12.49
   127.806,   12.73
   127.903,   12.79
   128.000,   12.75
   128.104,   12.63
   128.201,   12.39
   128.306,   12.14
   128.403,   12.06
   128.500,   12.09
   128.604,   12.29
   128.701,   12.45
   128.806,   12.48
   128.903,   12.53
   129.000,   12.41
   129.104,   12.31
   129.201,   12.32
   129.306,   12.61
   129.403,   12.87
   129.500,   12.94
   129.604,   13.16
   129.701,   13.24
   129.806,   13.04
   129.903,   12.88
   130.000,   12.84
   130.104,   12.77
   130.201,   12.70
   130.306,   12.81
   130.403,   12.90
   130.500,   12.83
   130.604,   12.70
   130.701,   12.58
   130.806,   12.24
   130.903,   12.07
   131.000,   12.27
   131.104,   12.51
   131.201,   12.57
   131.306,   12.65
   131.403,   12.94
   131.500,   13.17
   131.604,   13.13
   131.701,   13.15
   131.806,   13.33
   131.903,   13.22
   132.000,   12.91
   132.104,   12.73
   132.201,   12.78
   132.306,   12.68
   132.403,   12.58
   132.500,   12.82
   132.604,   13.12
   132.701,   12.89
   132.806,   12.96
   132.903,   13.00
   133.000,   12.65
   133.104,   12.36
   133.201,   12.45
   133.306,   12.56
   133.403,   12.58
   133.500,   12.97
   133.604,   13.36
   133.701,   13.05
   133.806,   13.10
   133.903,   13.32
   134.000,   12.98
   134.104,   12.85
   134.201,   13.04
   134.306,   13.21
   134.403,   13.08
   134.500,   13.14
   134.604,   13.20
   134.701,   12.83
   134.806,   12.78
   134.903,   12.84
   135.000,   12.65
   135.104,   12.61
   135.201,   12.66
   135.306,   12.44
   135.403,   11.94
   135.500,   11.77
   135.604,   11.77
   135.701,   11.68
   135.806,   12.18
   135.903,   13.13
   136.000,   13.50
   136.104,   13.64
   136.201,   13.76
   136.306,   13.52
   136.403,   12.92
   136.500,   12.51
   136.604,   12.38
   136.701,   12.14
   136.806,   12.07
   136.903,   12.36
   137.000,   12.60
   137.104,   12.91
   137.201,   13.72
   137.306,   13.87
   137.403,   13.89
   137.500,   13.76
   137.604,   13.20
   137.701,   12.57
   137.806,   12.15
   137.903,   11.99
   138.000,   11.92
   138.104,   12.27
   138.201,   13.03
   138.306,   13.62
   138.403,   13.82
   138.500,   13.69
   138.604,   14.03
   138.701,   13.70
   138.806,   12.87
   138.903,   11.55
   139.000,   11.39
   139.104,   11.09
   139.201,   11.31
   139.306,   11.11
   139.403,   11.72
   139.500,   12.21
   139.604,   12.31
   139.701,   12.52
   139.806,   12.41
   139.903,   12.03
   140.000,   12.01
   140.104,   12.08
   140.201,   12.11
   140.306,   12.66
   140.403,   13.24
   140.500,   13.25
   140.604,   12.94
   140.701,   12.65
   140.806,   12.59
   140.903,   12.91
   141.000,   13.27
   141.104,   13.74
   141.201,   13.97
   141.306,   13.86
   141.403,   13.56
   141.500,   13.21
   141.604,   12.99
   141.701,   12.95
   141.806,   13.21
   141.903,   13.65
   142.000,   13.99
   142.104,   13.93
   142.201,   13.86
   142.306,   13.51
   142.403,   13.05
   142.500,   12.84
   142.604,   12.89
   142.701,   12.74
   142.806,   12.93
   142.903,   13.41
   143.000,   13.28
   143.104,   13.70
   143.201,   14.07
   143.306,   13.81
   143.403,   13.55
   143.500,   13.52
   143.604,   13.32
   143.701,   13.48
   143.806,   13.77
   143.903,   13.42
   144.000,   13.66
   144.104,   13.34
   144.201,   12.72
   144.306,   12.33
   144.403,   12.08
   144.500,   12.01
   144.604,   12.30
   144.701,   12.66
   144.806,   12.58
   144.903,   12.69
   145.000,   12.41
   145.104,   11.80
   145.201,   12.13
   145.306,   12.17
   145.403,   11.87
   145.500,   12.30
   145.604,   12.72
   145.701,   13.24
   145.806,   13.17
   145.903,   13.02
   146.000,   12.94
   146.104,   12.93
   146.201,   13.19
   146.306,   13.57
   146.403,   13.82
   146.500,   13.95
   146.604,   13.81
   146.701,   13.58
   146.806,   13.24
   146.903,   13.02
   147.000,   13.13
   147.104,   13.64
   147.201,   14.10
   147.306,   14.54
   147.403,   14.33
   147.500,   13.82
   147.604,   13.33
   147.701,   12.84
   147.806,   12.69
   147.903,   13.32
   148.000,   14.04
   148.104,   14.62
   148.201,   14.93
   148.306,   14.50
   148.403,   13.82
   148.500,   13.28
   148.604,   12.93
   148.701,   12.95
   148.806,   13.50
   148.903,   14.18
   149.000,   14.50
   149.104,   14.40
   149.201,   14.19
   149.306,   13.71
   149.403,   13.27
   149.500,   13.13
   149.604,   13.28
   149.701,   13.51
   149.806,   13.92
   149.903,   14.27
   150.000,   14.14
   150.104,   14.06
   150.201,   13.99
   150.306,   13.82
   150.403,   13.78
   150.500,   14.01
   150.604,   14.17
   150.701,   13.37
   150.806,   13.16
   150.903,   13.01
   151.000,   13.63
   151.104,   13.28
   151.201,   13.51
   151.306,   13.46
   151.403,   13.49
   151.500,   13.78
   151.604,   13.75
   151.701,   13.71
   151.806,   14.17
   151.903,   13.88
   152.000,   13.88
   152.104,   14.17
   152.201,   14.24
   152.306,   14.38
   152.403,   14.50
   152.500,   14.36
   152.604,   14.39
   152.701,   14.13
   152.806,   14.32
   152.903,   14.25
   153.000,   14.25
   153.104,   14.24
   153.201,   13.92
   153.306,   13.91
   153.403,   14.08
   153.500,   13.14
   153.604,   13.86
   153.701,   13.66
   153.806,   13.71
   153.903,   13.88
   154.000,   13.41
   154.104,   13.57
   154.201,   12.68
   154.306,   13.38
   154.403,   13.74
   154.500,   13.58
   154.604,   13.43
   154.701,   12.97
   154.806,   12.89
   154.903,   12.79
   155.000,   12.79
   155.104,   12.95
   155.201,   12.94
   155.306,   13.31
   155.403,   13.32
   155.500,   13.40
   155.604,   13.55
   155.701,   13.18
   155.806,   13.12
   155.903,   12.87
   156.000,   12.76
   156.104,   12.93
   156.201,   14.04
   156.306,   14.28
   156.403,   13.63
   156.500,   13.64
   156.604,   13.71
   156.701,   14.47
   156.806,   14.15
   156.903,   14.06
   157.000,   14.20
   157.104,   13.49
   157.201,   13.71
   157.306,   13.92
   157.403,   13.69
   157.500,   13.31
   157.604,   13.21
   157.701,   13.01
   157.806,   14.15
   157.903,   14.29
   158.000,   13.26
   158.104,   13.33
   158.201,   13.56
   158.306,   13.59
   158.403,   13.59
   158.500,   13.54
   158.604,   13.39
   158.701,   13.34
   158.806,   14.45
   158.903,   13.10
   159.000,   13.24
   159.104,   13.33
   159.201,   13.55
   159.306,   13.46
   159.403,   13.36
   159.500,   13.22
   159.604,   13.23
   159.701,   13.55
   159.806,   13.33
   159.903,   13.53
   160.000,   13.29
   160.104,   13.40
   160.201,   13.60
   160.306,   13.57
   160.403,   13.43
   160.500,   12.92
   160.604,   12.86
   160.701,   12.96
   160.806,   13.33
   160.903,   13.71
   161.000,   13.48
   161.104,   13.42
   161.201,   13.26
   161.306,   13.20
   161.403,   13.31
   161.500,   13.43
   161.604,   13.51
   161.701,   13.51
   161.806,   13.78
   161.903,   13.74
   162.000,   14.00
   162.104,   13.67
   162.201,   13.40
   162.306,   13.41
   162.403,   13.46
   162.500,   13.82
   162.604,   13.85
   162.701,   13.57
   162.806,   13.02
   162.903,   12.74
   163.000,   12.85
   163.104,   13.40
   163.201,   13.89
   163.306,   13.84
   163.403,   13.48
   163.500,   14.12
   163.604,   13.84
   163.701,   14.12
   163.806,   13.68
   163.903,   14.11
   164.000,   14.29
   164.104,   15.08
   164.201,   14.73
   164.306,   14.60
   164.403,   13.47
   164.500,   13.60
   164.604,   14.80
   164.701,   14.72
   164.806,   13.60
   164.903,   13.60
   165.000,   13.74
   165.104,   13.97
   165.201,   13.96
   165.306,   13.80
   165.403,   13.69
   165.500,   13.57
   165.604,   13.71
   165.701,   13.77
   165.806,   13.70
   165.903,   13.43
   166.000,   13.01
   166.104,   12.87
   166.201,   12.95
   166.306,   13.41
   166.403,   13.85
   166.500,   14.16
   166.604,   14.32
   166.701,   13.99
   166.806,   13.44
   166.903,   12.94
   167.000,   12.81
   167.104,   13.10
   167.201,   13.62
   167.306,   13.92
   167.403,   13.91
   167.500,   13.73
   167.604,   13.53
   167.701,   13.59
   167.806,   13.52
   167.903,   13.69
   168.000,   13.62
   168.104,   13.67
   168.201,   13.85
   168.306,   14.06
   168.403,   14.43
   168.500,   14.46
   168.604,   14.36
   168.701,   13.96
   168.806,   13.46
   168.903,   13.50
   169.000,   13.41
   169.104,   13.51
   169.201,   13.59
   169.306,   13.42
   169.403,   13.52
   169.500,   13.80
   169.604,   14.30
   169.701,   14.69
   169.806,   14.63
   169.903,   14.22
   170.000,   13.89
   170.104,   13.69
   170.201,   13.81
   170.306,   14.13
   170.403,   14.32
   170.500,   14.21
   170.604,   13.72
   170.701,   13.40
   170.806,   13.15
   170.903,   13.30
   171.000,   13.65
   171.104,   14.15
   171.201,   14.57
   171.306,   14.46
   171.403,   14.29
   171.500,   14.06
   171.604,   14.24
   171.701,   14.72
   171.806,   14.57
   171.903,   14.32
   172.000,   13.53
   172.104,   13.11
   172.201,   13.03
   172.306,   13.27
   172.403,   13.55
   172.500,   13.48
   172.604,   13.36
   172.701,   13.26
   172.806,   13.43
   172.903,   14.07
   173.000,   14.54
   173.104,   14.69
   173.201,   14.60
   173.306,   14.26
   173.403,   13.98
   173.500,   14.01
   173.604,   14.13
   173.701,   14.18
   173.806,   14.15
   173.903,   13.56
   174.000,   13.43
   174.104,   13.44
   174.201,   13.58
   174.306,   13.88
   174.403,   13.79
   174.500,   13.95
   174.604,   13.86
   174.701,   14.08
   174.806,   14.54
   174.903,   14.70
   175.000,   14.62
   175.104,   14.24
   175.201,   13.94
   175.306,   13.70
   175.403,   14.09
   175.500,   14.20
   175.604,   14.44
   175.701,   14.15
   175.806,   13.60
   175.903,   13.49
   176.000,   13.23
   176.104,   13.66
   176.201,   13.97
   176.306,   14.27
   176.403,   14.23
   176.500,   13.78
   176.604,   13.64
   176.701,   13.52
   176.806,   13.90
   176.903,   14.49
   177.000,   14.98
   177.104,   15.04
   177.201,   14.90
   177.306,   14.38
   177.403,   14.30
   177.500,   14.31
   177.604,   14.48
   177.701,   14.76
   177.806,   14.22
   177.903,   14.10
   178.000,   13.72
   178.104,   13.64
   178.201,   13.85
   178.306,   14.17
   178.403,   14.19
   178.500,   14.15
   178.604,   13.99
   178.701,   13.90
   178.806,   14.19
   178.903,   14.61
   179.000,   14.93
   179.104,   14.81
   179.201,   14.54
   179.306,   14.33
   179.403,   14.20
   179.500,   14.33
   179.604,   14.26
   179.701,   14.17
   179.806,   14.03
   179.903,   13.80
   180.000,   13.91
   180.104,   13.85
   180.201,   13.98
   180.306,   14.09
   180.403,   14.38
   180.500,   14.50
   180.604,   14.45
   180.701,   14.24
   180.806,   14.04
   180.903,   14.10
   181.000,   14.52
   181.104,   14.77
   181.201,   14.74
   181.306,   14.49
   181.403,   14.23
   181.500,   14.20
   181.604,   14.35
   181.701,   14.54
   181.806,   14.47
   181.903,   14.22
   182.000,   13.93
   182.104,   14.06
   182.201,   14.22
   182.306,   14.46
   182.403,   14.53
   182.500,   14.65
   182.604,   14.72
   182.701,   14.91
   182.806,   15.12
   182.903,   15.00
   183.000,   14.79
   183.104,   14.34
   183.201,   14.30
   183.306,   14.58
   183.403,   15.06
   183.500,   15.10
   183.604,   14.74
   183.701,   14.15
   183.806,   13.92
   183.903,   14.29
   184.000,   14.82
   184.104,   15.33
   184.201,   15.15
   184.306,   14.65
   184.403,   14.36
   184.500,   14.49
   184.604,   15.03
   184.701,   15.19
   184.806,   14.80
   184.903,   14.13
   185.000,   14.16
   185.104,   14.58
   185.201,   15.36
   185.306,   15.14
   185.403,   14.61
   185.500,   14.20
   185.604,   14.64
   185.701,   15.24
   185.806,   15.43
   185.903,   14.73
   186.000,   14.26
   186.104,   14.17
   186.201,   14.94
   186.306,   15.42
   186.403,   15.36
   186.500,   14.82
   186.604,   14.47
   186.701,   14.06
   186.806,   14.16
   186.903,   14.42
   187.000,   14.91
   187.104,   14.93
   187.201,   14.94
   187.306,   14.58
   187.403,   14.66
   187.500,   14.67
   187.604,   14.86
   187.701,   14.46
   187.806,   14.34
   187.903,   14.49
   188.000,   14.94
   188.104,   15.28
   188.201,   15.07
   188.306,   14.65
   188.403,   14.52
   188.500,   14.66
   188.604,   15.06
   188.701,   15.11
   188.806,   15.03
   188.903,   14.65
   189.000,   14.53
   189.104,   14.60
   189.201,   14.98
   189.306,   15.03
   189.403,   15.05
   189.500,   15.03
   189.604,   15.22
   189.701,   15.32
   189.806,   15.21
   189.903,   14.65
   190.000,   14.31
   190.104,   14.39
   190.201,   14.91
   190.306,   15.11
   190.403,   14.96
   190.500,   14.55
   190.604,   14.43
   190.701,   14.48
   190.806,   14.85
   190.903,   15.20
   191.000,   15.22
   191.104,   15.36
   191.201,   15.36
   191.306,   15.55
   191.403,   15.73
   191.500,   15.66
   191.604,   15.40
   191.701,   14.83
   191.806,   14.57
   191.903,   14.57
   192.000,   14.74
   192.104,   14.88
   192.201,   15.05
   192.306,   14.90
   192.403,   15.08
   192.500,   15.09
   192.604,   15.39
   192.701,   15.24
   192.806,   15.18
   192.903,   14.89
   193.000,   14.91
   193.104,   15.10
   193.201,   15.13
   193.306,   14.76
   193.403,   14.55
   193.500,   14.54
   193.604,   14.84
   193.701,   14.94
   193.806,   14.87
   193.903,   14.70
   194.000,   15.02
   194.104,   15.64
   194.201,   16.35
   194.306,   16.09
   194.403,   15.36
   194.500,   15.13
   194.604,   15.24
   194.701,   15.43
   194.806,   15.47
   194.903,   15.22
   195.000,   15.08
   195.104,   15.09
   195.201,   15.31
   195.306,   15.46
   195.403,   15.56
   195.500,   15.42
   195.604,   15.12
   195.701,   14.70
   195.806,   14.71
   195.903,   15.06
   196.000,   15.76
   196.104,   15.90
   196.201,   15.62
   196.306,   14.95
   196.403,   14.92
   196.500,   15.37
   196.604,   16.15
   196.701,   16.24
   196.806,   15.52
   196.903,   14.82
   197.000,   14.34
   197.104,   14.75
   197.201,   14.90
   197.306,   15.14
   197.403,   15.10
   197.500,   15.17
   197.604,   15.35
   197.701,   15.57
   197.806,   15.65
   197.903,   15.50
   198.000,   15.59
   198.104,   16.34
   198.201,   16.52
   198.306,   15.75
   198.403,   15.43
   198.500,   15.14
   198.604,   15.56
   198.701,   15.52
   198.806,   15.31
   198.903,   14.85
   199.000,   14.92
   199.104,   15.42
   199.201,   15.99
   199.306,   15.95
   199.403,   15.78
   199.500,   15.65
   199.604,   15.83
   199.701,   15.88
   199.806,   15.93
   199.903,   15.47
   200.000,   15.05
   200.104,   14.71
   200.201,   15.00
   200.306,   15.22
   200.403,   15.66
