 JDAY,ELEVATION(m),TEMPERATURE(C)
   64.5000,  123.90,  -99.00,
   64.5000,  123.80,    7.40,
   64.5000,  120.35,    7.40,
   64.5000,  118.35,    7.30,
   64.5000,  116.35,    7.30,
   64.5000,  114.35,    7.30,
   64.5000,  112.35,    7.30,
   64.5000,  110.35,    7.30,
   64.5000,  108.35,    7.20,
   64.5000,  106.35,    7.10,
   64.5000,  104.35,    7.00,
   64.5000,  102.35,    7.00,
   64.5000,  100.35,    6.80,
   64.5000,   98.35,    6.70,
   64.5000,   96.35,    6.70,
   64.5000,   94.35,    6.60,
   64.5000,   92.35,    6.60,
   64.5000,   90.35,    6.60,
   64.5000,   88.35,    6.60,
   64.5000,   86.35,    6.50,
   64.5000,   84.35,    6.50,
   64.5000,   82.35,    6.50,
   64.5000,   80.35,    6.50,
   64.5000,   78.35,    6.50,
   64.5000,   76.35,    6.50,
   64.5000,   74.35,    6.50,
   64.5000,   72.35,    6.50,
   64.5000,   70.35,    6.50,
   64.5000,   68.35,    6.50,
   65.5000,  123.90,  -99.00,
   65.5000,  123.80,    7.72,
   65.5000,  120.35,    7.62,
   65.5000,  118.35,    7.55,
   65.5000,  116.35,    7.52,
   65.5000,  114.35,    7.50,
   65.5000,  112.35,    7.49,
   65.5000,  110.35,    7.48,
   65.5000,  108.35,    7.48,
   65.5000,  106.35,    7.48,
   65.5000,  104.35,    7.48,
   65.5000,  102.35,    7.46,
   65.5000,  100.35,    7.42,
   65.5000,   98.35,    7.36,
   65.5000,   96.35,    7.28,
   65.5000,   94.35,    7.16,
   65.5000,   92.35,    7.00,
   65.5000,   90.35,    6.84,
   65.5000,   88.35,    6.71,
   65.5000,   86.35,    6.65,
   65.5000,   84.35,    6.61,
   65.5000,   82.35,    6.56,
   65.5000,   80.35,    6.52,
   65.5000,   78.35,    6.51,
   65.5000,   76.35,    6.50,
   65.5000,   74.35,    6.50,
   65.5000,   72.35,    6.50,
   65.5000,   70.35,    6.50,
   65.5000,   68.35,    6.50,
   66.5000,  123.90,  -99.00,
   66.5000,  123.80,    7.93,
   66.5000,  120.35,    7.84,
   66.5000,  118.35,    7.81,
   66.5000,  116.35,    7.80,
   66.5000,  114.35,    7.77,
   66.5000,  112.35,    7.70,
   66.5000,  110.35,    7.62,
   66.5000,  108.35,    7.57,
   66.5000,  106.35,    7.52,
   66.5000,  104.35,    7.49,
   66.5000,  102.35,    7.45,
   66.5000,  100.35,    7.38,
   66.5000,   98.35,    7.22,
   66.5000,   96.35,    6.99,
   66.5000,   94.35,    6.77,
   66.5000,   92.35,    6.66,
   66.5000,   90.35,    6.62,
   66.5000,   88.35,    6.59,
   66.5000,   86.35,    6.56,
   66.5000,   84.35,    6.53,
   66.5000,   82.35,    6.51,
   66.5000,   80.35,    6.51,
   66.5000,   78.35,    6.51,
   66.5000,   76.35,    6.51,
   66.5000,   74.35,    6.51,
