$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,QWD(m3s-1)
    64.500,    0.0200
    64.604,    0.0200
    64.701,    0.0200
    64.806,    0.0200
    64.903,    0.0200
    65.000,    0.0200
    65.104,    0.0200
    65.201,    0.0200
    65.306,    0.0200
    65.403,    0.0200
    65.500,    0.0200
    65.604,    0.0200
    65.701,    0.0200
    65.806,    0.0200
    65.903,    0.0200
    66.000,    0.0200
    66.104,    0.0200
    66.201,    0.0200
    66.306,    0.0200
    66.403,    0.0200
    66.500,    0.0200
    66.604,    0.0200
    66.701,    0.0200
    66.806,    0.0200
    66.903,    0.0200
    67.000,    0.0200
    67.104,    0.0200
    67.201,    0.0200
    67.306,    0.0200
    67.403,    0.0200
    67.500,    0.0200
    67.604,    0.0200
    67.701,    0.0200
    67.806,    0.0200
    67.903,    0.0200
    68.000,    0.0200
    68.104,    0.0200
    68.201,    0.0200
    68.306,    0.0200
    68.403,    0.0200
    68.500,    0.0200
    68.604,    0.0200
    68.701,    0.0200
    68.806,    0.0200
    68.903,    0.0200
    69.000,    0.0200
    69.104,    0.0200
    69.201,    0.0200
    69.306,    0.0200
    69.403,    0.0200
    69.500,    0.0200
    69.604,    0.0200
    69.701,    0.0200
    69.806,    0.0200
    69.903,    0.0200
    70.000,    0.0200
    70.104,    0.0200
    70.201,    0.0200
    70.306,    0.0200
    70.403,    0.0200
    70.500,    0.0200
    70.604,    0.0200
    70.701,    0.0200
    70.806,    0.0200
    70.903,    0.0200
    71.000,    0.0200
    71.104,    0.0200
    71.201,    0.0200
    71.306,    0.0200
    71.403,    0.0200
    71.500,    0.0200
    71.604,    0.0200
    71.701,    0.0200
    71.806,    0.0200
    71.903,    0.0200
    72.000,    0.0200
    72.104,    0.0200
    72.201,    0.0200
    72.306,    0.0200
    72.403,    0.0200
    72.500,    0.0200
    72.604,    0.0200
    72.701,    0.0200
    72.806,    0.0200
    72.903,    0.0200
    73.000,    0.0200
    73.104,    0.0200
    73.201,    0.0200
    73.306,    0.0200
    73.403,    0.0200
    73.500,    0.0200
    73.604,    0.0200
    73.701,    0.0200
    73.806,    0.0200
    73.903,    0.0200
    74.000,    0.0200
    74.104,    0.0200
    74.201,    0.0200
    74.306,    0.0200
    74.403,    0.0200
    74.500,    0.0200
    74.604,    0.0200
