Constituent,Julian_day,Seg_26 ,
Temperature,   100.701,      11.501,
Temperature,   110.701,      12.077,
Temperature,   120.701,      13.676,
Temperature,   130.701,      14.320,
Temperature,   140.701,      15.431,
Temperature,   150.701,      16.740,
Temperature,   160.701,      17.805,
Temperature,   170.701,      18.039,
Temperature,   180.701,      19.120,
Temperature,   190.701,      20.397,
Temperature,   200.701,      20.978,
Temperature,   210.701,      20.419,
Temperature,   220.701,      20.661,
Temperature,   230.701,      20.703,
Temperature,   240.701,      20.583,
Temperature,   250.701,      20.490,
Temperature,   260.701,      20.287,
Temperature,   270.701,      18.750,
Temperature,   280.701,      17.291,
Temperature,   290.701,      16.742,
Temperature,   300.701,      15.593,
Temperature,   310.701,      14.446,
Temperature,   320.701,      13.858,
Temperature,   330.701,      11.870,
Temperature,   340.701,      10.753,
Temperature,   350.701,      10.200,
