JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    64.500,   600.000,   123.800,     7.200,     0.000,     8.603,   265.401,     0.450,    51.450,  2866.000,     1.000,     7.173,   253.587,   250.378,   317.874,   341.344,     1.715,   -28.395,     0.000,
    64.604,   600.000,   123.800,     7.200,     0.003,    12.776,   222.543,     0.450,    51.450,  2866.000,     1.000,     7.202,   227.040,   209.946,   323.658,   341.918,    -1.299,   -34.056,     0.000,
    64.701,   600.000,   123.800,     7.200,     0.004,    12.420,    77.097,     0.450,    51.450,  2866.000,     1.000,     7.220,   122.487,    72.733,   331.841,   342.214,   -14.156,   -45.972,     0.000,
    64.806,   600.000,   123.800,     7.199,     0.007,    12.999,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.229,    70.159,     0.000,   340.156,   342.267,   -24.787,   -47.483,     0.000,
    64.903,   600.000,   123.800,     7.197,     0.004,    12.666,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.235,    64.379,     0.000,   344.238,   342.374,   -24.425,   -38.090,     0.000,
    65.000,   600.000,   123.800,     7.195,     0.000,    12.671,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.241,    66.731,     0.000,   340.906,   342.492,   -31.708,   -36.609,     0.000,
    65.104,   600.000,   123.802,     7.190,    -0.009,    13.804,     0.000,     0.450,    51.452,  2866.000,     1.000,     7.240,   -59.467,     0.000,   305.769,   342.454,    36.096,   -13.314,     0.000,
    65.201,   600.000,   123.801,     7.182,    -0.024,    11.991,     0.000,     0.450,    51.451,  2866.000,     1.000,     7.225,  -150.871,     0.000,   258.699,   342.070,    54.838,    12.662,     0.000,
    65.306,   600.000,   123.801,     7.179,    -0.030,    12.738,    51.949,     0.450,    51.451,  2866.000,     1.000,     7.200,  -122.302,    49.008,   245.035,   341.671,    56.251,    18.423,     0.000,
    65.403,   600.000,   123.801,     7.181,    -0.034,    12.629,   475.656,     0.450,    51.451,  2866.000,     1.000,     7.208,   276.404,   448.733,   245.662,   341.764,    65.973,    10.254,     0.000,
    65.500,   600.000,   123.801,     7.195,    -0.034,    12.639,   757.994,     0.450,    51.451,  2866.000,     1.000,     7.263,   570.846,   715.089,   258.308,   342.740,    67.719,    -7.908,     0.000,
    65.604,   600.000,   123.801,     7.225,    -0.032,    12.371,   640.774,     0.450,    51.451,  2866.000,     1.000,     7.347,   493.904,   604.504,   273.797,   344.001,    64.820,   -24.424,     0.000,
    65.701,   600.000,   123.800,     7.264,    -0.029,    12.524,   223.586,     0.450,    51.450,  2866.000,     1.000,     7.409,    97.166,   210.930,   270.987,   344.526,    57.154,   -16.929,     0.000,
    65.806,   600.000,   123.800,     7.304,    -0.027,    12.539,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.432,  -137.586,     0.000,   255.959,   344.161,    50.946,    -1.561,     0.000,
    65.903,   600.000,   123.800,     7.333,    -0.024,    12.557,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.442,  -166.471,     0.000,   239.216,   343.743,    48.830,    13.114,     0.000,
    66.000,   600.000,   123.800,     7.355,    -0.020,    12.552,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.447,  -180.178,     0.000,   234.687,   343.363,    48.403,    23.099,     0.000,
    66.104,   600.000,   123.800,     7.373,    -0.016,    12.638,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.448,  -200.266,     0.000,   227.934,   342.956,    52.653,    32.591,     0.000,
    66.201,   600.000,   123.800,     7.387,    -0.011,    12.538,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.446,  -213.461,     0.000,   223.141,   342.637,    54.278,    39.687,     0.000,
    66.306,   600.000,   123.800,     7.398,    -0.004,    12.450,    52.875,     0.450,    51.450,  2866.000,     1.000,     7.443,  -143.890,    49.882,   232.505,   342.338,    50.371,    33.568,     0.000,
    66.403,   600.000,   123.799,     7.406,     0.005,    12.541,   250.878,     0.450,    51.449,  2866.000,     1.000,     7.458,   113.471,   236.677,   271.998,   342.351,    41.471,    11.382,     0.000,
    66.500,   600.000,   123.799,     7.420,     0.013,    12.725,   512.684,     0.450,    51.449,  2866.000,     1.000,     7.503,   407.724,   483.664,   292.732,   342.997,    42.665,   -16.990,     0.000,
    66.604,   600.000,   123.800,     7.441,     0.019,    12.694,   391.790,     0.450,    51.450,  2866.000,     1.000,     7.566,   348.563,   369.613,   325.080,   344.030,    42.239,   -40.140,     0.000,
    66.701,   600.000,   123.800,     7.459,     0.022,    12.553,   145.154,     0.450,    51.450,  2866.000,     1.000,     7.602,   122.021,   136.938,   325.910,   344.546,    36.459,   -40.180,     0.000,
    66.806,   600.000,   123.800,     7.466,     0.024,    12.656,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.600,   -43.305,     0.000,   302.169,   344.473,    28.239,   -27.238,     0.000,
    66.903,   600.000,   123.800,     7.459,     0.022,    12.518,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.573,   -70.880,     0.000,   279.062,   344.188,    21.334,   -15.578,     0.000,
    67.000,   600.000,   123.799,     7.442,     0.021,    12.566,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.535,   -58.633,     0.000,   279.317,   343.881,    14.132,   -20.062,     0.000,
    67.104,   600.000,   123.800,     7.417,     0.018,    12.764,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.492,    14.419,     0.000,   322.401,   343.625,    -6.737,   -28.906,     0.000,
    67.201,   600.000,   123.800,     7.395,     0.016,    12.565,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.460,    44.695,     0.000,   340.669,   343.559,   -16.462,   -31.123,     0.000,
    67.306,   600.000,   123.800,     7.375,     0.015,    12.542,    21.215,     0.450,    51.450,  2866.000,     1.000,     7.428,    73.762,    20.014,   342.331,   343.498,   -22.624,   -32.292,     0.000,
    67.403,   600.000,   123.799,     7.359,     0.015,    12.646,   173.612,     0.450,    51.449,  2866.000,     1.000,     7.413,   239.500,   163.785,   350.257,   343.650,   -31.048,   -38.059,     0.000,
    67.500,   600.000,   123.800,     7.341,     0.014,    13.152,   269.267,     0.450,    51.450,  2866.000,     1.000,     7.419,   398.277,   254.026,   375.902,   344.181,   -52.701,   -59.829,     0.000,
    67.604,   600.000,   123.801,     7.316,     0.009,    13.263,   349.011,     0.450,    51.451,  2866.000,     1.000,     7.446,   566.530,   329.256,   399.357,   345.139,   -69.785,  -113.270,     0.000,
    67.701,   600.000,   123.801,     7.292,     0.000,    12.370,   105.974,     0.450,    51.451,  2866.000,     1.000,     7.474,   356.372,    99.976,   412.310,   345.985,   -67.358,  -122.713,     0.000,
    67.806,   600.000,   123.800,     7.269,    -0.004,    12.475,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.482,   165.319,     0.000,   368.965,   346.333,   -51.684,   -91.004,     0.000,
    67.903,   600.000,   123.800,     7.246,    -0.004,    12.816,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.476,    90.853,     0.000,   330.253,   346.317,   -43.233,   -63.684,     0.000,
    68.000,   600.000,   123.800,     7.222,    -0.005,    12.793,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.468,   106.470,     0.000,   327.116,   346.249,   -59.640,   -65.963,     0.000,
    68.104,   600.000,   123.800,     7.197,    -0.007,    12.586,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.463,    92.072,     0.000,   318.146,   346.226,   -58.816,   -61.336,     0.000,
    68.201,   600.000,   123.800,     7.180,    -0.008,    12.578,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.462,    71.141,     0.000,   313.882,   346.210,   -51.733,   -51.736,     0.000,
    68.306,   600.000,   123.800,     7.171,    -0.010,    13.031,    57.570,     0.450,    51.450,  2866.000,     1.000,     7.470,    99.916,    54.312,   317.663,   346.189,   -24.624,   -49.506,     0.000,
    68.403,   600.000,   123.801,     7.178,    -0.017,    12.697,   197.043,     0.450,    51.451,  2866.000,     1.000,     7.510,   238.477,   185.890,   356.640,   346.531,    15.525,   -58.004,     0.000,
    68.500,   600.000,   123.801,     7.200,    -0.025,    12.692,   443.544,     0.450,    51.451,  2866.000,     1.000,     7.597,   468.006,   418.437,   354.456,   347.352,    25.947,   -68.412,     0.000,
    68.604,   600.000,   123.802,     7.234,    -0.039,    13.263,   553.550,     0.450,    51.452,  2866.000,     1.000,     7.747,   549.206,   522.217,   335.254,   348.674,    45.448,   -85.857,     0.000,
