$Temperature file for segment 31
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    64.500,    7.25,            7.25,
    64.604,    7.28,            7.28,
    64.701,    7.29,            7.29,
    64.806,    7.28,            7.28,
    64.903,    7.28,            7.28,
    65.000,    7.29,            7.29,
    65.104,    7.30,            7.30,
    65.201,    7.40,            7.40,
    65.306,    7.44,            7.44,
    65.403,    7.47,            7.47,
    65.500,    7.52,            7.52,
    65.604,    7.62,            7.62,
    65.701,    7.81,            7.81,
    65.806,    7.85,            7.85,
    65.903,    7.87,            7.87,
    66.000,    7.87,            7.87,
    66.104,    7.83,            7.83,
    66.201,    7.80,            7.80,
    66.306,    7.76,            7.76,
    66.403,    7.73,            7.73,
    66.500,    7.71,            7.71,
    66.604,    7.69,            7.69,
    66.701,    7.66,            7.66,
    66.806,    7.62,            7.62,
    66.903,    7.58,            7.58,
    67.000,    7.54,            7.54,
    67.104,    7.51,            7.51,
    67.201,    7.49,            7.49,
    67.306,    7.47,            7.47,
    67.403,    7.45,            7.45,
    67.500,    7.43,            7.43,
    67.604,    7.44,            7.44,
    67.701,    7.46,            7.46,
    67.806,    7.51,            7.51,
    67.903,    7.57,            7.57,
    68.000,    7.65,            7.65,
    68.104,    7.79,            7.79,
    68.201,    7.90,            7.90,
    68.306,    7.99,            7.99,
    68.403,    8.09,            8.09,
    68.500,    8.23,            8.23,
    68.604,    8.43,            8.43,
    68.701,    8.67,            8.67,
    68.806,    8.83,            8.83,
    68.903,    8.90,            8.90,
    69.000,    8.92,            8.91,
    69.104,    8.88,            8.88,
    69.201,    8.82,            8.82,
    69.306,    8.76,            8.76,
    69.403,    8.73,            8.73,
    69.500,    8.74,            8.74,
    69.604,    8.73,            8.73,
    69.701,    8.68,            8.68,
    69.806,    8.59,            8.59,
    69.903,    8.47,            8.47,
    70.000,    8.33,            8.33,
    70.104,    8.18,            8.18,
    70.201,    8.06,            8.05,
    70.306,    7.96,            7.96,
    70.403,    7.96,            7.96,
    70.500,    8.03,            8.03,
    70.604,    8.19,            8.19,
    70.701,    8.47,            8.47,
    70.806,    8.83,            8.83,
    70.903,    9.00,            9.00,
    71.000,    9.08,            9.08,
    71.104,    9.05,            9.05,
    71.201,    8.96,            8.96,
    71.306,    8.86,            8.86,
    71.403,    8.77,            8.77,
    71.500,    8.60,            8.60,
    71.604,    8.39,            8.39,
    71.701,    8.21,            8.21,
    71.806,    8.05,            8.05,
    71.903,    7.87,            7.87,
    72.000,    7.74,            7.74,
    72.104,    7.59,            7.59,
    72.201,    7.46,            7.46,
    72.306,    7.39,            7.39,
    72.403,    7.32,            7.32,
    72.500,    7.28,            7.28,
    72.604,    7.23,            7.23,
    72.701,    7.20,            7.20,
    72.806,    7.17,            7.17,
    72.903,    7.17,            7.17,
    73.000,    7.18,            7.18,
    73.104,    7.19,            7.19,
    73.201,    7.21,            7.21,
    73.306,    7.28,            7.28,
    73.403,    7.44,            7.44,
    73.500,    7.68,            7.68,
    73.604,    8.11,            8.10,
    73.701,    8.53,            8.53,
    73.806,    8.75,            8.75,
    73.903,    8.80,            8.80,
    74.000,    8.80,            8.80,
    74.104,    8.78,            8.78,
    74.201,    8.77,            8.77,
    74.306,    8.75,            8.75,
    74.403,    8.76,            8.76,
    74.500,    8.79,            8.79,
    74.604,    8.80,            8.80,
    74.701,    8.81,            8.81,
    74.806,    8.78,            8.78,
    74.903,    8.76,            8.76,
    75.000,    8.74,            8.74,
    75.104,    8.69,            8.69,
    75.201,    8.63,            8.63,
    75.306,    8.49,            8.49,
    75.403,    8.32,            8.32,
    75.500,    8.10,            8.10,
    75.604,    7.91,            7.91,
    75.701,    7.76,            7.76,
    75.806,    7.63,            7.63,
    75.903,    7.54,            7.54,
    76.000,    7.50,            7.50,
    76.104,    7.48,            7.47,
    76.201,    7.48,            7.48,
    76.306,    7.52,            7.52,
    76.403,    7.56,            7.56,
    76.500,    7.59,            7.59,
    76.604,    7.64,            7.64,
    76.701,    7.65,            7.65,
    76.806,    7.65,            7.65,
    76.903,    7.64,            7.64,
    77.000,    7.63,            7.63,
    77.104,    7.64,            7.64,
    77.201,    7.66,            7.66,
    77.306,    7.69,            7.69,
    77.403,    7.76,            7.76,
    77.500,    7.93,            7.93,
    77.604,    8.18,            8.18,
    77.701,    8.41,            8.41,
    77.806,    8.63,            8.63,
    77.903,    8.73,            8.73,
    78.000,    8.76,            8.76,
    78.104,    8.78,            8.78,
    78.201,    8.79,            8.79,
    78.306,    8.78,            8.78,
    78.403,    8.81,            8.81,
    78.500,    8.86,            8.86,
    78.604,    8.92,            8.91,
    78.701,    8.94,            8.94,
    78.806,    8.93,            8.93,
    78.903,    8.94,            8.94,
    79.000,    8.91,            8.91,
    79.104,    8.87,            8.87,
    79.201,    8.81,            8.80,
    79.306,    8.74,            8.74,
    79.403,    8.72,            8.72,
    79.500,    8.70,            8.70,
    79.604,    8.67,            8.67,
    79.701,    8.61,            8.61,
    79.806,    8.53,            8.53,
    79.903,    8.45,            8.45,
    80.000,    8.38,            8.38,
    80.104,    8.33,            8.33,
    80.201,    8.35,            8.35,
    80.306,    8.40,            8.40,
    80.403,    8.45,            8.45,
    80.500,    8.47,            8.47,
    80.604,    8.49,            8.49,
    80.701,    8.60,            8.60,
    80.806,    9.17,            9.17,
    80.903,    9.46,            9.46,
    81.000,    9.50,            9.50,
    81.104,    9.50,            9.50,
    81.201,    9.49,            9.49,
    81.306,    9.47,            9.47,
    81.403,    9.49,            9.49,
    81.500,    9.53,            9.53,
    81.604,    9.81,            9.81,
    81.701,   10.01,           10.00,
    81.806,   10.12,           10.12,
    81.903,   10.17,           10.17,
    82.000,   10.18,           10.18,
    82.104,   10.14,           10.14,
    82.201,   10.01,           10.01,
    82.306,    9.91,            9.91,
    82.403,    9.80,            9.80,
    82.500,    9.64,            9.64,
    82.604,    9.40,            9.40,
    82.701,    9.17,            9.17,
    82.806,    8.99,            8.99,
    82.903,    8.85,            8.85,
    83.000,    8.80,            8.80,
    83.104,    8.81,            8.81,
    83.201,    8.81,            8.81,
    83.306,    8.82,            8.82,
    83.403,    8.85,            8.85,
    83.500,    8.86,            8.85,
    83.604,    8.83,            8.83,
    83.701,    8.82,            8.82,
    83.806,    8.76,            8.76,
    83.903,    8.69,            8.69,
    84.000,    8.66,            8.66,
    84.104,    8.71,            8.71,
    84.201,    8.80,            8.80,
    84.306,    8.92,            8.92,
    84.403,    9.11,            9.11,
    84.500,    9.27,            9.27,
    84.604,    9.43,            9.43,
    84.701,    9.67,            9.67,
    84.806,    9.82,            9.82,
    84.903,    9.90,            9.90,
    85.000,    9.93,            9.93,
    85.104,    9.94,            9.94,
    85.201,    9.94,            9.94,
    85.306,    9.94,            9.94,
    85.403,    9.94,            9.94,
    85.500,    9.95,            9.95,
    85.604,    9.96,            9.96,
    85.701,    9.90,            9.90,
    85.806,    9.80,            9.80,
    85.903,    9.68,            9.68,
    86.000,    9.56,            9.56,
    86.104,    9.38,            9.38,
