$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
    64.500,    7.40
    64.604,    7.40
    64.701,    7.42
    64.806,    7.42
    64.903,    7.43
    65.000,    7.46
    65.104,    7.52
    65.201,    7.54
    65.306,    7.49
    65.403,    7.50
    65.500,    7.59
    65.604,    7.78
    65.701,    7.95
    65.806,    8.02
    65.903,    7.98
    66.000,    7.93
    66.104,    7.89
    66.201,    7.85
    66.306,    7.81
    66.403,    7.81
    66.500,    7.83
    66.604,    7.85
    66.701,    7.84
    66.806,    7.79
    66.903,    7.73
    67.000,    7.67
    67.104,    7.61
    67.201,    7.58
    67.306,    7.55
    67.403,    7.53
    67.500,    7.52
    67.604,    7.57
    67.701,    7.78
    67.806,    8.04
    67.903,    8.17
    68.000,    8.24
    68.104,    8.25
    68.201,    8.32
    68.306,    8.37
    68.403,    8.43
    68.500,    8.55
    68.604,    8.76
    68.701,    9.02
    68.806,    9.06
    68.903,    9.04
    69.000,    9.01
    69.104,    8.97
    69.201,    8.94
    69.306,    8.90
    69.403,    8.91
    69.500,    8.95
    69.604,    9.00
    69.701,    9.00
    69.806,    8.92
    69.903,    8.81
    70.000,    8.70
    70.104,    8.64
    70.201,    8.55
    70.306,    8.50
    70.403,    8.53
    70.500,    8.68
    70.604,    9.03
    70.701,    9.40
    70.806,    9.56
    70.903,    9.53
    71.000,    9.51
    71.104,    9.48
    71.201,    9.43
    71.306,    9.38
    71.403,    9.34
    71.500,    9.26
    71.604,    9.22
    71.701,    9.09
    71.806,    8.90
    71.903,    8.69
    72.000,    8.47
    72.104,    8.18
    72.201,    7.95
    72.306,    7.82
    72.403,    7.74
    72.500,    7.65
    72.604,    7.55
    72.701,    7.45
    72.806,    7.39
    72.903,    7.40
    73.000,    7.43
    73.104,    7.45
    73.201,    7.52
    73.306,    7.53
    73.403,    7.59
    73.500,    7.83
    73.604,    8.27
    73.701,    8.63
    73.806,    8.83
    73.903,    8.82
    74.000,    8.81
    74.104,    8.79
    74.201,    8.77
    74.306,    8.75
    74.403,    8.77
    74.500,    8.82
    74.604,    8.88
    74.701,    8.88
    74.806,    8.85
    74.903,    8.83
    75.000,    8.79
    75.104,    8.74
    75.201,    8.71
    75.306,    8.67
    75.403,    8.65
    75.500,    8.66
    75.604,    8.57
    75.701,    8.35
    75.806,    8.01
    75.903,    7.82
    76.000,    7.74
    76.104,    7.70
    76.201,    7.69
    76.306,    7.73
    76.403,    7.79
    76.500,    7.83
    76.604,    7.88
    76.701,    7.87
    76.806,    7.85
    76.903,    7.83
    77.000,    7.81
    77.104,    7.81
    77.201,    7.81
    77.306,    7.82
    77.403,    7.90
    77.500,    8.09
    77.604,    8.31
    77.701,    8.59
    77.806,    8.74
    77.903,    8.77
    78.000,    8.80
    78.104,    8.80
    78.201,    8.80
    78.306,    8.79
    78.403,    8.83
    78.500,    8.94
    78.604,    9.16
    78.701,    9.25
    78.806,    9.24
    78.903,    9.18
    79.000,    9.10
    79.104,    9.02
    79.201,    8.98
    79.306,    8.97
    79.403,    8.96
    79.500,    8.95
    79.604,    8.96
    79.701,    9.06
    79.806,    9.05
    79.903,    9.02
    80.000,    8.99
    80.104,    8.96
    80.201,    8.94
    80.306,    8.95
    80.403,    8.97
    80.500,    8.97
    80.604,    9.00
    80.701,    9.27
    80.806,    9.57
    80.903,    9.55
    81.000,    9.52
    81.104,    9.50
    81.201,    9.49
    81.306,    9.47
    81.403,    9.50
    81.500,    9.62
    81.604,    9.99
    81.701,   10.27
    81.806,   10.36
    81.903,   10.34
    82.000,   10.30
    82.104,   10.26
    82.201,   10.21
    82.306,   10.16
    82.403,   10.16
    82.500,   10.14
    82.604,   10.15
    82.701,    9.96
    82.806,    9.74
    82.903,    9.60
    83.000,    9.51
    83.104,    9.48
    83.201,    9.45
    83.306,    9.41
    83.403,    9.41
    83.500,    9.39
    83.604,    9.33
    83.701,    9.33
    83.806,    9.25
    83.903,    9.15
    84.000,    9.08
    84.104,    9.08
    84.201,    9.18
    84.306,    9.18
    84.403,    9.24
    84.500,    9.36
    84.604,    9.55
    84.701,    9.77
    84.806,    9.90
    84.903,    9.95
    85.000,    9.96
    85.104,    9.96
    85.201,    9.95
    85.306,    9.94
    85.403,    9.95
    85.500,    9.97
    85.604,    9.99
    85.701,    9.99
    85.806,    9.97
    85.903,    9.95
    86.000,    9.92
    86.104,    9.87
    86.201,    9.80
    86.306,    9.73
    86.403,    9.65
    86.500,    9.70
    86.604,    9.68
    86.701,    9.64
    86.806,    9.56
    86.903,    9.49
    87.000,    9.44
    87.104,    9.38
    87.201,    9.30
    87.306,    9.22
    87.403,    9.16
    87.500,    9.11
    87.604,    9.05
    87.701,    9.03
    87.806,    8.99
    87.903,    9.01
    88.000,    8.99
    88.104,    9.01
    88.201,    9.03
    88.306,    9.08
    88.403,    9.16
    88.500,    9.31
    88.604,    9.62
    88.701,   10.04
    88.806,   10.33
    88.903,   10.37
    89.000,   10.38
    89.104,   10.37
    89.201,   10.35
    89.306,   10.33
    89.403,   10.35
    89.500,   10.37
    89.604,   10.35
    89.701,   10.32
    89.806,   10.03
    89.903,    9.74
    90.000,    9.67
    90.104,    9.80
    90.201,    9.88
    90.306,    9.82
    90.403,    9.87
    90.500,    9.94
    90.604,   10.05
    90.701,   10.15
    90.806,   10.18
    90.903,   10.19
    91.000,   10.19
    91.104,   10.18
    91.201,   10.17
    91.306,   10.18
    91.403,   10.20
    91.500,   10.28
    91.604,   10.56
    91.701,   10.80
    91.806,   10.88
    91.903,   10.85
    92.000,   10.80
    92.104,   10.73
    92.201,   10.65
    92.306,   10.57
    92.403,   10.50
    92.500,   10.54
    92.604,   10.46
    92.701,   10.26
    92.806,   10.08
    92.903,    9.98
    93.000,   10.01
    93.104,   10.17
    93.201,   10.28
    93.306,   10.31
    93.403,   10.37
    93.500,   10.40
    93.604,   10.32
    93.701,   10.09
    93.806,    9.93
    93.903,    9.93
    94.000,    9.86
    94.104,    9.88
    94.201,   10.01
    94.306,   10.13
    94.403,   10.29
    94.500,   10.56
    94.604,   10.99
    94.701,   11.41
    94.806,   11.63
    94.903,   11.74
    95.000,   11.83
    95.104,   11.90
    95.201,   11.95
    95.306,   11.98
    95.403,   12.05
    95.500,   12.29
    95.604,   12.63
    95.701,   12.89
    95.806,   12.95
    95.903,   12.90
    96.000,   12.85
    96.104,   12.81
    96.201,   12.77
    96.306,   12.74
    96.403,   12.76
    96.500,   12.80
    96.604,   12.89
    96.701,   12.96
    96.806,   12.40
    96.903,   11.24
    97.000,   11.09
    97.104,   11.52
    97.201,   11.83
    97.306,   11.83
    97.403,   11.77
    97.500,   11.67
    97.604,   11.57
    97.701,   11.57
    97.806,   11.65
    97.903,   11.75
    98.000,   11.91
    98.104,   12.01
    98.201,   12.02
    98.306,   12.00
    98.403,   12.03
    98.500,   12.09
    98.604,   12.14
    98.701,   12.09
    98.806,   11.79
    98.903,   11.54
    99.000,   11.44
    99.104,   11.39
    99.201,   11.65
    99.306,   11.86
    99.403,   12.02
    99.500,   12.38
    99.604,   12.90
    99.701,   13.21
    99.806,   13.29
    99.903,   13.30
   100.000,   13.32
   100.104,   13.33
   100.201,   13.32
   100.306,   13.29
   100.403,   13.33
   100.500,   13.56
   100.604,   13.82
   100.701,   13.99
   100.806,   14.03
   100.903,   14.00
   101.000,   13.98
   101.104,   13.96
   101.201,   13.93
   101.306,   13.89
   101.403,   13.92
   101.500,   14.07
   101.604,   14.37
   101.701,   14.61
   101.806,   14.68
   101.903,   14.65
   102.000,   14.56
   102.104,   14.41
   102.201,   14.26
   102.306,   14.10
   102.403,   13.98
   102.500,   13.93
   102.604,   13.97
   102.701,   14.04
   102.806,   13.97
   102.903,   13.80
   103.000,   13.67
   103.104,   13.77
   103.201,   13.91
   103.306,   13.89
   103.403,   13.87
   103.500,   13.89
   103.604,   13.92
   103.701,   13.94
   103.806,   13.93
   103.903,   13.88
   104.000,   13.82
   104.104,   13.67
   104.201,   13.54
   104.306,   13.42
   104.403,   13.37
   104.500,   13.33
   104.604,   13.31
   104.701,   13.32
   104.806,   13.27
   104.903,   13.23
   105.000,   13.19
