JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG
    64.500, 123.810, 123.806, 123.804, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799,
    64.604, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    64.701, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    64.806, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    64.903, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    65.000, 123.797, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    65.104, 123.791, 123.792, 123.793, 123.794, 123.795, 123.795, 123.795, 123.796, 123.796, 123.797, 123.797, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.802, 123.802, 123.802, 123.802, 123.802,
    65.201, 123.793, 123.794, 123.795, 123.795, 123.796, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.802, 123.802, 123.802,
    65.306, 123.795, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801,
    65.403, 123.794, 123.795, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.802,
